season,series_id,race_num,race_date,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
1956,V,1,02/25/56,Daytona Beach,Beach_And_Road_Course,28,Curtis Turner,turnecu01,14,Ford ,4.100,R,160,12650,117.801,0,96.052,1,https://www.racing-reference.info/race-results/1956-01/V, https://www.racing-reference.info/tracks/Beach_And_Road_Course,https://www.racing-reference.info/driver/turnecu01/
1956,V,2,03/18/56,Charlotte,Charlotte_Speedway,22,Curtis Turner,turnecu01,2,Ford ,0.750,D,100,4285,70.075,,,,https://www.racing-reference.info/race-results/1956-02/V, https://www.racing-reference.info/tracks/Charlotte_Speedway,https://www.racing-reference.info/driver/turnecu01/
1956,V,3,03/25/56,Hillsboro,Orange_Speedway,19,Curtis Turner,turnecu01,1,Ford ,0.900,D,90,4235,89.182,3,77.716,2,https://www.racing-reference.info/race-results/1956-03/V, https://www.racing-reference.info/tracks/Orange_Speedway,https://www.racing-reference.info/driver/turnecu01/
1956,V,4,04/08/56,Fayetteville,Champion_Speedway,18,Bob Welborn,welbobo01,1,Chevrolet ,0.333,P,50,3615,61.890,,48.719,6,https://www.racing-reference.info/race-results/1956-04/V, https://www.racing-reference.info/tracks/Champion_Speedway,https://www.racing-reference.info/driver/welbobo01/
1956,V,5,04/12/56,Atlanta,Peach_Bowl,21,Fonty Flock,flockfo01,2,Chevrolet ,0.250,P,50,4085,55.080,,52.432,4,https://www.racing-reference.info/race-results/1956-05/V, https://www.racing-reference.info/tracks/Peach_Bowl,https://www.racing-reference.info/driver/flockfo01/
1956,V,6,04/15/56,Montgomery,Montgomery_Speedway,23,Marvin Panch,panchma01,2,Dodge ,0.500,P,100,3885,69.471,,64.119,3,https://www.racing-reference.info/race-results/1956-06/V, https://www.racing-reference.info/tracks/Montgomery_Speedway,https://www.racing-reference.info/driver/panchma01/
1956,V,7,04/22/56,Hickory,Hickory_Speedway,14,Bob Welborn,welbobo01,2,Chevrolet ,0.400,D,80,3785,69.398,,79.712,3,https://www.racing-reference.info/race-results/1956-07/V, https://www.racing-reference.info/tracks/Hickory_Speedway,https://www.racing-reference.info/driver/welbobo01/
1956,V,8,04/28/56,Lancaster,Lancaster_Speedway,22,Larry Odo,odola01,20,Chevrolet ,0.500,D,100,3885,66.421,,50.847,,https://www.racing-reference.info/race-results/1956-08/V, https://www.racing-reference.info/tracks/Lancaster_Speedway,https://www.racing-reference.info/driver/odola01/
1956,V,9,04/29/56,Greensboro,Greensboro_Fairgrounds,20,Bob Welborn,welbobo01,8,Chevrolet ,0.333,D,50,3515,48.058,,36.492,2,https://www.racing-reference.info/race-results/1956-09/V, https://www.racing-reference.info/tracks/Greensboro_Fairgrounds,https://www.racing-reference.info/driver/welbobo01/
1956,V,10,05/06/56,Old Bridge,Old_Bridge_Stadium,20,Frank Mundy,mundyfr01,3,Dodge ,0.500,P,100,4285,72.058,,66.507,2,https://www.racing-reference.info/race-results/1956-10/V, https://www.racing-reference.info/tracks/Old_Bridge_Stadium,https://www.racing-reference.info/driver/mundyfr01/
1956,V,11,05/12/56,Raleigh,Raleigh_Speedway,18,Frank Mundy,mundyfr01,1,Dodge ,1.000,P,100,3785,82.229,,81.081,2,https://www.racing-reference.info/race-results/1956-11/V, https://www.racing-reference.info/tracks/Raleigh_Speedway,https://www.racing-reference.info/driver/mundyfr01/
1956,V,12,05/20/56,Langhorne,Langhorne_Speedway,26,Danny Letner,letneda01,2,Dodge ,1.000,D,150,7575,87.047,5,71.654,7,https://www.racing-reference.info/race-results/1956-12/V, https://www.racing-reference.info/tracks/Langhorne_Speedway,https://www.racing-reference.info/driver/letneda01/
1956,V,13,05/25/56,Roanoke,Starkey_Speedway,18,Curtis Turner,turnecu01,2,Ford ,0.500,D,100,4185,62.805,,,,https://www.racing-reference.info/race-results/1956-13/V, https://www.racing-reference.info/tracks/Starkey_Speedway,https://www.racing-reference.info/driver/turnecu01/
1956,V,14,05/26/56,Columbia,Columbia_Speedway,22,Jimmy Massey,masseji01,15,Chevrolet ,0.500,D,100,4285,61.623,,,8,https://www.racing-reference.info/race-results/1956-14/V, https://www.racing-reference.info/tracks/Columbia_Speedway,https://www.racing-reference.info/driver/masseji01/
1956,V,15,05/30/56,Kansas City,Lakeside_Stadium,17,Frank Mundy,mundyfr01,13,Dodge ,0.500,D,100,4085,61.412,1,,2,https://www.racing-reference.info/race-results/1956-15/V, https://www.racing-reference.info/tracks/Lakeside_Stadium,https://www.racing-reference.info/driver/mundyfr01/
1956,V,16,06/02/56,Tulsa,Tulsa_Fairgrounds,20,Frank Mundy,mundyfr01,1,Dodge ,0.500,D,100,4285,59.036,,54.176,4,https://www.racing-reference.info/race-results/1956-16/V, https://www.racing-reference.info/tracks/Tulsa_Fairgrounds,https://www.racing-reference.info/driver/mundyfr01/
1956,V,17,06/08/56,Oklahoma City,Taft_Stadium,20,Allen Adkins,adkinal01,13,Dodge ,0.250,D,50,3875,46.272,,41.969,1,https://www.racing-reference.info/race-results/1956-17/V, https://www.racing-reference.info/tracks/Taft_Stadium,https://www.racing-reference.info/driver/adkinal01/
1956,V,18,06/10/56,Hutchinson,Kansas_State_Fairgrounds,20,Frank Mundy,mundyfr01,2,Dodge ,0.500,D,125,5110,57.766,,54.440,4,https://www.racing-reference.info/race-results/1956-18/V, https://www.racing-reference.info/tracks/Kansas_State_Fairgrounds,https://www.racing-reference.info/driver/mundyfr01/
