season,series_id,race_num,race_date,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
1957,V,1,11/11/56,Jacksonville,Jacksonville_Speedway,19,Joe Weatherly,weathjo01,1,Ford ,0.500,D,100,3735,63.025,,54.299,1,https://www.racing-reference.info/race-results/1957-01/V, https://www.racing-reference.info/tracks/Jacksonville_Speedway,https://www.racing-reference.info/driver/weathjo01/
1957,V,2,02/16/57,Daytona Beach,Beach_And_Road_Course,28,Tim Flock,flockti01,1,Mercury ,4.100,R,160,12690,128.570,0,101.256,4,https://www.racing-reference.info/race-results/1957-02/V, https://www.racing-reference.info/tracks/Beach_And_Road_Course,https://www.racing-reference.info/driver/flockti01/
1957,V,3,03/10/57,Fayetteville,Champion_Speedway,21,Glen Wood,woodgl01,2,Ford ,0.333,P,50,3885,61.163,,58.251,3,https://www.racing-reference.info/race-results/1957-03/V, https://www.racing-reference.info/tracks/Champion_Speedway,https://www.racing-reference.info/driver/woodgl01/
1957,V,4,03/17/57,Greensboro,Greensboro_Fairgrounds,21,Curtis Turner,turnecu01,1,Ford ,0.333,D,50,3895,48.871,2,40.300,2,https://www.racing-reference.info/race-results/1957-04/V, https://www.racing-reference.info/tracks/Greensboro_Fairgrounds,https://www.racing-reference.info/driver/turnecu01/
1957,V,5,03/24/57,Manassas,Old_Dominion_Speedway,18,Joe Weatherly,weathjo01,16,Ford ,0.375,P,56,3765,67.669,,67.365,2,https://www.racing-reference.info/race-results/1957-05/V, https://www.racing-reference.info/tracks/Old_Dominion_Speedway,https://www.racing-reference.info/driver/weathjo01/
1957,V,6,03/31/57,Hillsboro,Orange_Speedway,21,Joe Weatherly,weathjo01,6,Ford ,0.900,D,99,3835,87.120,,82.519,,https://www.racing-reference.info/race-results/1957-06/V, https://www.racing-reference.info/tracks/Orange_Speedway,https://www.racing-reference.info/driver/weathjo01/
1957,V,7,04/07/57,Richmond,Richmond_Fairgrounds_Raceway,23,Glen Wood,woodgl01,4,Ford ,0.500,D,100,3885,63.003,,57.288,,https://www.racing-reference.info/race-results/1957-07/V, https://www.racing-reference.info/tracks/Richmond_Fairgrounds_Raceway,https://www.racing-reference.info/driver/woodgl01/
1957,V,8,04/13/57,Greenville,Greenville-Pickens_Speedway,20,Curtis Turner,turnecu01,4,Ford ,0.500,D,100,3745,63.247,,56.127,,https://www.racing-reference.info/race-results/1957-08/V, https://www.racing-reference.info/tracks/Greenville-Pickens_Speedway,https://www.racing-reference.info/driver/turnecu01/
1957,V,9,04/14/57,Wilson,Wilson_Speedway,19,Joe Weatherly,weathjo01,1,Ford ,0.500,D,100,3735,58.196,,55.325,2,https://www.racing-reference.info/race-results/1957-09/V, https://www.racing-reference.info/tracks/Wilson_Speedway,https://www.racing-reference.info/driver/weathjo01/
1957,V,10,04/20/57,Hickory,Hickory_Speedway,24,Curtis Turner,turnecu01,7,Ford ,0.400,D,60,3885,66.025,1,65.158,4,https://www.racing-reference.info/race-results/1957-10/V, https://www.racing-reference.info/tracks/Hickory_Speedway,https://www.racing-reference.info/driver/turnecu01/
1957,V,11,04/22/57,Winston-Salem,Bowman_Gray_Stadium,22,Curtis Turner,turnecu01,1,Ford ,0.250,P,35,3885,45.363,,35.775,2,https://www.racing-reference.info/race-results/1957-11/V, https://www.racing-reference.info/tracks/Bowman_Gray_Stadium,https://www.racing-reference.info/driver/turnecu01/
1957,V,12,04/28/57,Norfolk,Norfolk_Speedway,23,Curtis Turner,turnecu01,9,Ford ,0.400,D,80,3870,52.023,,45.354,1,https://www.racing-reference.info/race-results/1957-12/V, https://www.racing-reference.info/tracks/Norfolk_Speedway,https://www.racing-reference.info/driver/turnecu01/
1957,V,13,05/05/57,Langhorne,Langhorne_Speedway,22,Curtis Turner,turnecu01,1,Ford ,1.000,D,150,5490,90.000,1,82.886,0,https://www.racing-reference.info/race-results/1957-13/V, https://www.racing-reference.info/tracks/Langhorne_Speedway,https://www.racing-reference.info/driver/turnecu01/
1957,V,14,05/12/57,Darlington,Darlington_Raceway,27,Fireball Roberts,roberfi01,4,Ford ,1.375,P,301,16050,115.317,4,107.941,10,https://www.racing-reference.info/race-results/1957_Rebel_300/V, https://www.racing-reference.info/tracks/Darlington_Raceway,https://www.racing-reference.info/driver/roberfi01/
1957,V,15,05/17/57,Charlotte,Charlotte_Speedway,19,Curtis Turner,turnecu01,3,Ford ,0.500,D,100,3745,58.689,0,61.172,2,https://www.racing-reference.info/race-results/1957-15/V, https://www.racing-reference.info/tracks/Charlotte_Speedway,https://www.racing-reference.info/driver/turnecu01/
1957,V,16,05/18/57,Asheville,McCormick_Field,16,Curtis Turner,turnecu01,1,Ford ,0.250,P,38,3485,49.669,0,48.301,0,https://www.racing-reference.info/race-results/1957-16/V, https://www.racing-reference.info/tracks/McCormick_Field,https://www.racing-reference.info/driver/turnecu01/
1957,V,17,05/25/57,Spartanburg,Hub_City_Speedway,18,Curtis Turner,turnecu01,3,Ford ,0.500,D,100,3660,56.604,,55.012,2,https://www.racing-reference.info/race-results/1957-17/V, https://www.racing-reference.info/tracks/Hub_City_Speedway,https://www.racing-reference.info/driver/turnecu01/
1957,V,18,05/30/57,Syracuse,New_York_State_Fairgrounds,21,Possum Jones,jonespo01,1,Chevrolet ,1.000,D,100,4255,82.305,0,81.725,3,https://www.racing-reference.info/race-results/1957-18/V, https://www.racing-reference.info/tracks/New_York_State_Fairgrounds,https://www.racing-reference.info/driver/jonespo01/
1957,V,19,05/31/57,Old Bridge,Old_Bridge_Stadium,16,Bob Welborn,welbobo01,1,Chevrolet ,0.500,P,100,3460,75.503,,69.998,0,https://www.racing-reference.info/race-results/1957-19/V, https://www.racing-reference.info/tracks/Old_Bridge_Stadium,https://www.racing-reference.info/driver/welbobo01/
