race_id,race_level,race_season,driver_number,driver_full_name,manufacturer,finishing_position,NASCAR_driver_id,lap_num,lap_time,lap_speed,lap_running_position
5270,1,2023,24,William Byron,Chv,1,4184,0,,,2
5270,1,2023,24,William Byron,Chv,1,4184,1,32.77,164.785,2
5270,1,2023,24,William Byron,Chv,1,4184,2,29.594,182.469,2
5270,1,2023,24,William Byron,Chv,1,4184,3,29.649,182.131,2
5270,1,2023,24,William Byron,Chv,1,4184,4,29.806,181.172,2
5270,1,2023,24,William Byron,Chv,1,4184,5,29.903,180.584,2
5270,1,2023,24,William Byron,Chv,1,4184,6,30.045,179.730,2
5270,1,2023,24,William Byron,Chv,1,4184,7,30.088,179.474,2
5270,1,2023,24,William Byron,Chv,1,4184,8,30.194,178.843,2
5270,1,2023,24,William Byron,Chv,1,4184,9,30.323,178.083,2
5270,1,2023,24,William Byron,Chv,1,4184,10,30.22,178.690,1
5270,1,2023,24,William Byron,Chv,1,4184,11,30.453,177.322,1
5270,1,2023,24,William Byron,Chv,1,4184,12,30.497,177.067,1
5270,1,2023,5,Kyle Larson,Chv,2,4030,0,,,6
5270,1,2023,5,Kyle Larson,Chv,2,4030,1,32.733,164.971,4
5270,1,2023,5,Kyle Larson,Chv,2,4030,2,29.708,181.769,4
5270,1,2023,5,Kyle Larson,Chv,2,4030,3,29.966,180.204,4
5270,1,2023,5,Kyle Larson,Chv,2,4030,4,29.803,181.190,4
5270,1,2023,5,Kyle Larson,Chv,2,4030,5,29.846,180.929,4
5270,1,2023,5,Kyle Larson,Chv,2,4030,6,30.021,179.874,4
5270,1,2023,5,Kyle Larson,Chv,2,4030,7,30.166,179.009,3
5270,1,2023,5,Kyle Larson,Chv,2,4030,8,29.924,180.457,3
5270,1,2023,5,Kyle Larson,Chv,2,4030,9,30.109,179.348,3
5270,1,2023,5,Kyle Larson,Chv,2,4030,10,30.525,176.904,3
5270,1,2023,5,Kyle Larson,Chv,2,4030,11,30.392,177.678,2
5270,1,2023,5,Kyle Larson,Chv,2,4030,12,30.386,177.713,2
5270,1,2023,22,Joey Logano,Frd,3,3859,0,,,1
5270,1,2023,22,Joey Logano,Frd,3,3859,1,32.464,166.338,1
5270,1,2023,22,Joey Logano,Frd,3,3859,2,29.594,182.469,1
