season,series_id,race_num,race_date,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
1989,NW,1,04/08/89,Evergreen,Evergreen_Speedway,26,Bobby Fox,foxbo01,3,Chevrolet ,0.375,P,38,,,5,49.200,2,https://www.racing-reference.info/race-results/1989_Kaddyshack_100_%28April%29/NW, https://www.racing-reference.info/tracks/Evergreen_Speedway,https://www.racing-reference.info/driver/foxbo01/
1989,NW,2,04/23/89,Wenatchee,Wenatchee_Valley_Super_Oval,22,Ron Eaton,eatonro01,5,Pontiac ,0.250,P,25,,,5,44.955,1,https://www.racing-reference.info/race-results/1989_Mulhall_And_Sons_Construction_100/NW, https://www.racing-reference.info/tracks/Wenatchee_Valley_Super_Oval,https://www.racing-reference.info/driver/eatonro01/
1989,NW,3,05/06/89,Olympia,South_Sound_Speedway,22,Ron Eaton,eatonro01,6,Pontiac ,0.375,P,38,,,7,57.173,2,https://www.racing-reference.info/race-results/1989_Budweiser_100_%28May%29/NW, https://www.racing-reference.info/tracks/South_Sound_Speedway,https://www.racing-reference.info/driver/eatonro01/
1989,NW,4,05/07/89,Portland,Portland_Speedway,29,John Dillon,dillojo01,3,Pontiac ,0.500,P,50,,,2,75.503,1,https://www.racing-reference.info/race-results/1989_Star_Oilco_Valvoline_100/NW, https://www.racing-reference.info/tracks/Portland_Speedway,https://www.racing-reference.info/driver/dillojo01/
1989,NW,5,05/20/89,Victoria,Western_Speedway,21,Garrett Evans,evansga01,4,Pontiac ,0.400,P,40,,,7,58.992,4,https://www.racing-reference.info/race-results/1989_Gordon_And_Gordon_Interiors_100_%28May%29/NW, https://www.racing-reference.info/tracks/Western_Speedway,https://www.racing-reference.info/driver/evansga01/
1989,NW,6,06/03/89,Portland,Portland_Speedway,25,John Dillon,dillojo01,6,Pontiac ,0.500,P,50,,,4,62.048,1,https://www.racing-reference.info/race-results/1989_Winston_100/NW, https://www.racing-reference.info/tracks/Portland_Speedway,https://www.racing-reference.info/driver/dillojo01/
1989,NW,7,06/17/89,Tri-City,Tri-City_Raceway,25,Bobby Fox,foxbo01,5,Chevrolet ,0.500,P,50,,,5,77.121,3,https://www.racing-reference.info/race-results/1989_Miller_100_%28NWT%29/NW, https://www.racing-reference.info/tracks/Tri-City_Raceway,https://www.racing-reference.info/driver/foxbo01/
1989,NW,8,07/24/89,Meridian,Meridian_Speedway,18,John Dillon,dillojo01,5,Pontiac ,0.250,P,25,,,2,53.223,3,https://www.racing-reference.info/race-results/1989_Roundtree_Chevrolet_100/NW, https://www.racing-reference.info/tracks/Meridian_Speedway,https://www.racing-reference.info/driver/dillojo01/
1989,NW,9,07/15/89,Evergreen,Evergreen_Speedway,26,Ron Eaton,eatonro01,1,Pontiac ,0.375,P,38,,79.896,3,61.031,0,https://www.racing-reference.info/race-results/1989_Kaddyshack_100_%28July%29/NW, https://www.racing-reference.info/tracks/Evergreen_Speedway,https://www.racing-reference.info/driver/eatonro01/
1989,NW,10,07/22/89,Wenatchee,Wenatchee_Valley_Super_Oval,24,Garrett Evans,evansga01,6,Pontiac ,0.250,P,25,,,6,48.860,3,https://www.racing-reference.info/race-results/1989_Dustyburger_100/NW, https://www.racing-reference.info/tracks/Wenatchee_Valley_Super_Oval,https://www.racing-reference.info/driver/evansga01/
1989,NW,11,07/29/89,Olympia,South_Sound_Speedway,22,Garrett Evans,evansga01,2,Pontiac ,0.375,P,38,,,7,65.868,2,https://www.racing-reference.info/race-results/1989_Budweiser_100_%28July%29/NW, https://www.racing-reference.info/tracks/South_Sound_Speedway,https://www.racing-reference.info/driver/evansga01/
1989,NW,12,08/13/89,Evergreen,Evergreen_Speedway,33,Garrett Evans,evansga01,6,Pontiac ,0.646,P,65,,,4,73.500,3,https://www.racing-reference.info/race-results/1989_Kaddyshack_100_%28August%29/NW, https://www.racing-reference.info/tracks/Evergreen_Speedway,https://www.racing-reference.info/driver/evansga01/
1989,NW,13,08/19/89,Portland,Portland_Speedway,22,Ron Eaton,eatonro01,2,Pontiac ,0.500,P,50,,,5,59.386,0,https://www.racing-reference.info/race-results/1989_CAPS_Auto_Parts_100/NW, https://www.racing-reference.info/tracks/Portland_Speedway,https://www.racing-reference.info/driver/eatonro01/
1989,NW,14,08/26/89,Victoria,Western_Speedway,18,Ron Eaton,eatonro01,4,Pontiac ,0.400,P,40,,,2,75.630,3,https://www.racing-reference.info/race-results/1989_Gordon_And_Gordon_Interiors_100_%28August%29/NW, https://www.racing-reference.info/tracks/Western_Speedway,https://www.racing-reference.info/driver/eatonro01/
1989,NW,15,09/03/89,Tri-City,Tri-City_Raceway,21,Garrett Evans,evansga01,1,Pontiac ,0.500,P,75,,,6,72.717,0,https://www.racing-reference.info/race-results/1989_Miller_150/NW, https://www.racing-reference.info/tracks/Tri-City_Raceway,https://www.racing-reference.info/driver/evansga01/
