season,series_id,race_num,race_date,race_short_id,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2014,AC,1,04/13/14,2014_01,Lee,Lee_USA_Speedway,30,Eddie MacDonald,macdoed02,1,Chevrolet ,0.375,P,56,,,3,59.805,5,https://www.racing-reference.info/race-results/2014_New_Hampshire_Governors_Cup_150/AC, https://www.racing-reference.info/tracks/Lee_USA_Speedway,https://www.racing-reference.info/driver/macdoed02/
2014,AC,2,04/27/14,2014_02,Thunder Road,Thunder_Road_International_Speedbowl,30,"Wayne Helliwell, Jr.",helliwa01,9,Ford ,0.250,P,38,,,10,30.689,5,https://www.racing-reference.info/race-results/2014_Merchants_Bank_150/AC, https://www.racing-reference.info/tracks/Thunder_Road_International_Speedbowl,https://www.racing-reference.info/driver/helliwa01/
2014,AC,3,05/17/14,2014_03,Plattsburgh,Airborne_Speedway,31,Ray Parent,parenra01,1,Ford ,0.500,P,50,,,3,69.151,6,https://www.racing-reference.info/race-results/2014_Airborne_100/AC, https://www.racing-reference.info/tracks/Airborne_Speedway,https://www.racing-reference.info/driver/parenra01/
2014,AC,4,06/07/14,2014_04,Groveton,Riverside_Speedway_(NH),26,Kyle Welch,welchky01,8,Chevrolet ,0.250,P,38,,,0,62.298,4,https://www.racing-reference.info/race-results/2014_Riverside_150/AC, https://www.racing-reference.info/tracks/Riverside_Speedway_(NH),https://www.racing-reference.info/driver/welchky01/
2014,AC,5,06/15/14,2014_05,Devil's Bowl,Devils_Bowl_Speedway,34,Brian Hoar,hoarbr01,12,Dodge ,0.500,P,57,,,5,52.427,2,https://www.racing-reference.info/race-results/2014_Spring_Green_114/AC, https://www.racing-reference.info/tracks/Devils_Bowl_Speedway,https://www.racing-reference.info/driver/hoarbr01/
2014,AC,6,06/21/14,2014_06,White Mountain,White_Mountain_Motorsports_Park,27,Jeff White,whiteje02,2,Chevrolet ,0.250,P,38,,,5,42.573,5,https://www.racing-reference.info/race-results/2014_White_Mountain_150/AC, https://www.racing-reference.info/tracks/White_Mountain_Motorsports_Park,https://www.racing-reference.info/driver/whiteje02/
2014,AC,7,08/09/14,2014_07,Beech Ridge,Beech_Ridge_Motor_Speedbowl,28,Nick Sweet,sweetni01,8,Chevrolet ,0.333,P,50,,,5,51.971,10,https://www.racing-reference.info/race-results/2014_Beech_Ridge_150/AC, https://www.racing-reference.info/tracks/Beech_Ridge_Motor_Speedbowl,https://www.racing-reference.info/driver/sweetni01/
2014,AC,8,08/23/14,2014_08,Sainte-Croix,Circuit_Riverside_Speedway,33,"Joey Polewarczyk, Jr",polewjo01,4,Ford ,0.625,P,125,,,12,47.832,4,https://www.racing-reference.info/race-results/2014_Can-Am_200/AC, https://www.racing-reference.info/tracks/Circuit_Riverside_Speedway,https://www.racing-reference.info/driver/polewjo01/
2014,AC,9,09/27/14,2014_09,Plattsburgh,Airborne_Speedway,37,"Joey Polewarczyk, Jr",polewjo01,8,Ford ,0.500,P,100,,,5,63.807,12,https://www.racing-reference.info/race-results/2014_Fall_Foliage_200/AC, https://www.racing-reference.info/tracks/Airborne_Speedway,https://www.racing-reference.info/driver/polewjo01/
