season,series_id,race_id,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
1989,W,1989_Daytona_500,1,2,17,usa,Darrell_Waltrip,Darrell Waltrip,Tide With Bleach,Rick_Hendrick,Chevrolet,200,184900,running,25,180
1989,W,1989_Daytona_500,2,1,25,usa,Ken_Schrader,Ken Schrader,Folger's Coffee,Rick_Hendrick,Chevrolet,200,182700,running,114,180
1989,W,1989_Daytona_500,3,8,3,usa,Dale_Earnhardt,Dale Earnhardt,GM Goodwrench,Richard_Childress,Chevrolet,200,95550,running,3,170
1989,W,1989_Daytona_500,4,10,5,usa,Geoffrey_Bodine,Geoffrey Bodine,Levi Garrett,Rick_Hendrick,Chevrolet,200,79250,running,9,165
1989,W,1989_Daytona_500,5,7,55,usa,Phil_Parsons,Phil Parsons,Crown Petroleum,Leo_Jackson_Richard_Jackson,Oldsmobile,200,70325,running,12,160
1989,W,1989_Daytona_500,6,11,66,usa,Rick_Mast,Rick Mast,Bill Edwards,Bill_Edwards,Chevrolet,200,52525,running,9,155
1989,W,1989_Daytona_500,7,9,7,usa,Alan_Kulwicki,Alan Kulwicki,Zerex,Alan_Kulwicki,Ford,200,52325,running,6,151
1989,W,1989_Daytona_500,8,40,4,usa,Rick_Wilson,Rick Wilson,Kodak Film,Larry_McClure,Oldsmobile,200,47325,running,7,147
1989,W,1989_Daytona_500,9,4,11,usa,Terry_Labonte,Terry Labonte,Budweiser,Junior_Johnson,Ford,200,68400,running,3,143
1989,W,1989_Daytona_500,10,41,23,usa,Eddie_Bierschwale,Eddie Bierschwale,Peak Antifreeze,Don_Bierschwale,Oldsmobile,200,31725,running,2,139
1989,W,1989_Daytona_500,11,6,94,usa,Sterling_Marlin,Sterling Marlin,Sunoco Ultra,Billy_Hagan,Oldsmobile,199,47325,running,0,130
1989,W,1989_Daytona_500,12,12,33,usa,Harry_Gant,Harry Gant,Skoal Bandit,Leo_Jackson_Richard_Jackson,Oldsmobile,199,30000,running,0,127
1989,W,1989_Daytona_500,13,17,45,usa,Joe_Ruttman,Joe Ruttman,Schaefer / Machinists Union,Chuck_Wellings,Pontiac,199,24505,running,0,
1989,W,1989_Daytona_500,14,14,16,usa,Larry_Pearson,Larry Pearson,Chattanooga Chew,David_Pearson,Buick,199,23915,running,0,121
1989,W,1989_Daytona_500,15,3,75,usa,Morgan_Shepherd,Morgan Shepherd,Valvoline,Rahmoc_Enterprises,Pontiac,199,44900,running,0,118
1989,W,1989_Daytona_500,16,15,10,usa,Ken_Bouchard,Ken Bouchard,Simoniz,Bob_Whitcomb,Pontiac,198,23180,running,0,115
1989,W,1989_Daytona_500,17,34,43,usa,Richard_Petty,Richard Petty,STP,Petty_Enterprises,Pontiac,198,19335,running,0,112
1989,W,1989_Daytona_500,18,35,27,usa,Rusty_Wallace,Rusty Wallace,Kodiak,Raymond_Beadle,Pontiac,197,24790,running,0,109
1989,W,1989_Daytona_500,19,36,26,usa,Ricky_Rudd,Ricky Rudd,Quaker State,Kenny_Bernstein,Buick,197,19120,running,2,111
1989,W,1989_Daytona_500,20,19,71,usa,Dave_Marcis,Dave Marcis,Lifebuoy Soap,Dave_Marcis,Chevrolet,197,20785,running,1,108
1989,W,1989_Daytona_500,21,23,30,usa,Michael_Waltrip,Michael Waltrip,Country Time Lemonade,Chuck_Rider,Pontiac,197,18825,running,1,105
1989,W,1989_Daytona_500,22,32,40,usa,Ben_Hess,Ben Hess,Oldsmobile,Ben_Hess,Oldsmobile,196,14300,running,0,97
1989,W,1989_Daytona_500,23,37,88,usa,Greg_Sacks,Greg Sacks,Crisco,Buddy_Baker_Danny_Schiff,Pontiac,196,15595,running,0,94
1989,W,1989_Daytona_500,24,29,70,usa,J_D_McDuffie,J.D. McDuffie,Rumple Furniture / Son's Auto Supply,J.D._McDuffie,Pontiac,193,13640,running,0,91
1989,W,1989_Daytona_500,25,16,28,usa,Davey_Allison,Davey Allison,Havoline,Yates_Racing,Ford,193,22985,running,0,88
1989,W,1989_Daytona_500,26,21,69,usa,Lee_Raymond,Lee Raymond,Bobby Fisher Distribution,Lucky_Compton,Ford,189,13530,running,0,
1989,W,1989_Daytona_500,27,22,84,usa,Mike_Alexander,Mike Alexander,Miller High Life,Stavola_Brothers,Buick,188,16275,running,0,82
1989,W,1989_Daytona_500,28,27,19,usa,Ronnie_Sanders,Ronnie Sanders,Hardy Chevrolet,Henley_Gray,Chevrolet,184,12570,running,0,79
1989,W,1989_Daytona_500,29,18,15,usa,Brett_Bodine,Brett Bodine,Motorcraft,Bud_Moore,Ford,177,16015,valve,0,76
1989,W,1989_Daytona_500,30,39,83,usa,Lake_Speed,Lake Speed,Kraft BBQ Sauce,Lake_Speed,Oldsmobile,150,14010,running,0,73
1989,W,1989_Daytona_500,31,31,73,usa,Phil_Barkdoll,Phil Barkdoll,Oldsmobile / Bobby Fisher,Phil_Barkdoll,Oldsmobile,143,10855,crash,2,75
1989,W,1989_Daytona_500,32,20,29,usa,Dale_Jarrett,Dale Jarrett,Hardee's,Cale_Yarborough,Pontiac,131,15000,running,0,67
1989,W,1989_Daytona_500,33,5,6,usa,Mark_Martin,Mark Martin,Stroh's Light,Jack_Roush,Ford,110,23445,crash,0,64
1989,W,1989_Daytona_500,34,42,67,usa,Mickey_Gibbs,Mickey Gibbs,Alka-Seltzer,Buddy_Arrington,Pontiac,76,9940,engine,0,61
1989,W,1989_Daytona_500,35,13,9,usa,Bill_Elliott,Bill Elliott,Coors,Harry_Melling,Ford,72,24310,crash,0,58
1989,W,1989_Daytona_500,36,28,90,usa,Chad_Little,Chad Little,Purolator / Accu-Turn,Junie_Donlavey,Ford,72,11605,crash,0,55
1989,W,1989_Daytona_500,37,30,89,usa,Rodney_Combs,Rodney Combs,Evinrude OMC,Mueller_Brothers,Pontiac,72,10650,crash,0,52
1989,W,1989_Daytona_500,38,24,14,usa,A_J_Foyt,A.J. Foyt,Copenhagen,A.J._Foyt,Oldsmobile,41,11970,shocks,4,54
1989,W,1989_Daytona_500,39,26,8,usa,Bobby_Hillin_Jr,"Bobby Hillin, Jr.",Miller High Life,Stavola_Brothers,Buick,39,13335,crash,0,46
1989,W,1989_Daytona_500,40,25,93,usa,Charlie_Baker,Charlie Baker,Sirchie,Patsy_Salmon,Chevrolet,39,10450,crash,0,43
1989,W,1989_Daytona_500,41,33,2,usa,Ernie_Irvan,Ernie Irvan,Kroger,D.K._Ulrich,Pontiac,8,9275,engine,0,40
1989,W,1989_Daytona_500,42,38,21,usa,Neil_Bonnett,Neil Bonnett,Citgo,Wood_Brothers,Ford,2,11800,oil line,0,37
1989,W,1989_Goodwrench_500,1,1,27,usa,Rusty_Wallace,Rusty Wallace,Kodiak,Raymond_Beadle,Pontiac,492,72100,running,222,185
1989,W,1989_Goodwrench_500,2,12,7,usa,Alan_Kulwicki,Alan Kulwicki,Zerex,Alan_Kulwicki,Ford,492,29600,running,24,175
1989,W,1989_Goodwrench_500,3,19,3,usa,Dale_Earnhardt,Dale Earnhardt,GM Goodwrench,Richard_Childress,Chevrolet,492,24200,running,0,165
1989,W,1989_Goodwrench_500,4,6,5,usa,Geoffrey_Bodine,Geoffrey Bodine,Levi Garrett,Rick_Hendrick,Chevrolet,492,17975,running,19,165
1989,W,1989_Goodwrench_500,5,4,6,usa,Mark_Martin,Mark Martin,Stroh's Light,Jack_Roush,Ford,492,15963,running,14,160
1989,W,1989_Goodwrench_500,6,17,28,usa,Davey_Allison,Davey Allison,Havoline,Yates_Racing,Ford,492,14680,running,22,155
1989,W,1989_Goodwrench_500,7,16,94,usa,Sterling_Marlin,Sterling Marlin,Sunoco,Billy_Hagan,Oldsmobile,491,9975,running,0,146
1989,W,1989_Goodwrench_500,8,24,83,usa,Lake_Speed,Lake Speed,Bull's Eye Barbecue Sauce,Lake_Speed,Oldsmobile,490,9525,running,2,147
1989,W,1989_Goodwrench_500,9,15,88,usa,Greg_Sacks,Greg Sacks,Crisco,Buddy_Baker_Danny_Schiff,Pontiac,490,9225,running,0,138
1989,W,1989_Goodwrench_500,10,32,31,usa,Jim_Sauter,Jim Sauter,Slender You Figure Salons,Bob_Clark,Pontiac,489,9450,running,0,134
1989,W,1989_Goodwrench_500,11,21,29,usa,Dale_Jarrett,Dale Jarrett,Hardee's,Cale_Yarborough,Pontiac,489,8525,running,2,135
1989,W,1989_Goodwrench_500,12,26,30,usa,Michael_Waltrip,Michael Waltrip,Country Time Lemonade,Chuck_Rider,Pontiac,488,8125,running,0,127
1989,W,1989_Goodwrench_500,13,41,84,usa,Dick_Trickle,Dick Trickle,Miller High Life,Stavola_Brothers,Buick,488,10182,running,0,124
1989,W,1989_Goodwrench_500,14,23,21,usa,Neil_Bonnett,Neil Bonnett,Citgo,Wood_Brothers,Ford,488,7225,running,0,121
