season,series_id,race_id,race_id_short,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2016,W,2016_Daytona_500,2016_01,1,11,11,usa,Denny_Hamlin,Denny Hamlin,FedEx Express,Joe_Gibbs,Toyota,200,running,95,45,
2016,W,2016_Daytona_500,2016_01,2,28,78,usa,Martin_Truex_Jr,Martin Truex Jr,Bass Pro Shops / Tracker Boats,Barney_Visser,Toyota,200,running,2,40,
2016,W,2016_Daytona_500,2016_01,3,4,18,usa,Kyle_Busch,Kyle Busch,M&M's 75th Anniversary,Joe_Gibbs,Toyota,200,running,19,39,
2016,W,2016_Daytona_500,2016_01,4,9,4,usa,Kevin_Harvick,Kevin Harvick,Jimmy John's,Stewart_Haas_Racing,Chevrolet,200,running,0,37,
2016,W,2016_Daytona_500,2016_01,5,10,19,usa,Carl_Edwards,Carl Edwards,Arris,Joe_Gibbs,Toyota,200,running,0,36,
2016,W,2016_Daytona_500,2016_01,6,5,22,usa,Joey_Logano,Joey Logano,Shell / Pennzoil,Roger_Penske,Ford,200,running,0,35,
2016,W,2016_Daytona_500,2016_01,7,14,42,usa,Kyle_Larson,Kyle Larson,Target / Cottonelle,Chip_Ganassi,Chevrolet,200,running,0,34,
2016,W,2016_Daytona_500,2016_01,8,27,7,usa,Regan_Smith,Regan Smith,Golden Corral / Nikko,Tommy_Baldwin,Chevrolet,200,running,0,33,
2016,W,2016_Daytona_500,2016_01,9,21,3,usa,Austin_Dillon,Austin Dillon,Dow,Richard_Childress,Chevrolet,200,running,1,33,
2016,W,2016_Daytona_500,2016_01,10,8,41,usa,Kurt_Busch,Kurt Busch,Haas Automation / Monster Energy,Stewart_Haas_Racing,Chevrolet,200,running,0,31,
2016,W,2016_Daytona_500,2016_01,11,38,31,usa,Ryan_Newman,Ryan Newman,Caterpillar,Richard_Childress,Chevrolet,200,running,1,31,
2016,W,2016_Daytona_500,2016_01,12,34,43,usa,Aric_Almirola,Aric Almirola,Smithfield,Richard_Petty_Motorsports,Ford,200,running,0,29,
2016,W,2016_Daytona_500,2016_01,13,13,5,usa,Kasey_Kahne,Kasey Kahne,Farmers Insurance,Rick_Hendrick,Chevrolet,200,running,0,28,
2016,W,2016_Daytona_500,2016_01,14,2,20,usa,Matt_Kenseth,Matt Kenseth,Dollar General,Joe_Gibbs,Toyota,200,running,40,28,
2016,W,2016_Daytona_500,2016_01,15,39,59,usa,Michael_McDowell,Michael McDowell,Thrivent Financial / K-LOVE,Leavine_Family_Racing,Chevrolet,200,running,0,26,
2016,W,2016_Daytona_500,2016_01,16,26,48,usa,Jimmie_Johnson,Jimmie Johnson,Lowe's,Rick_Hendrick,Chevrolet,200,running,18,26,
2016,W,2016_Daytona_500,2016_01,17,6,1,usa,Jamie_McMurray,Jamie McMurray,McDonald's / Cessna,Chip_Ganassi,Chevrolet,200,running,0,24,
2016,W,2016_Daytona_500,2016_01,18,37,27,usa,Paul_Menard,Paul Menard,Peak Antifreeze / Menards,Richard_Childress,Chevrolet,200,running,0,23,
2016,W,2016_Daytona_500,2016_01,19,7,21,usa,Ryan_Blaney,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center,Wood_Brothers,Ford,200,running,0,22,
2016,W,2016_Daytona_500,2016_01,20,25,2,usa,Brad_Keselowski,Brad Keselowski,Miller Lite,Roger_Penske,Ford,200,running,1,22,
