season,series_id,race_id,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,1,1,15,usa,John_Wes_Townley,John Wes Townley,Zaxby's,Bill_Venturini,Toyota,80,,running,9,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,2,11,4,usa,Kyle_Larson,Kyle Larson,Cessna,Steve_Turner,Chevrolet,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,3,7,16,usa,Ricky_Ehrgott,Ricky Ehrgott,Sandvik Coromant / Rev1 Power Services,Joe_Coulter,Chevrolet,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,4,19,44,usa,Frank_Kimmel,Frank Kimmel,Ansell / Menards,Duke_Thorson,Toyota,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,5,18,82,usa,Sean_Corr,Sean Corr,Warriors in the Workplace / Roush-Yates,John_Corr,Ford,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,6,15,92,usa,Brennan_Newberry,Brennan Newberry,Fight For Life,Bob_Newberry,Chevrolet,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,7,9,32,usa,Mason_Mingus,Mason Mingus,811 Call Before You Dig / Diamond Equipment,Kevin_Cywinski,Toyota,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,8,16,62,usa,Mark_Thompson,Mark Thompson,Phoenix Air,Harry_Scott_Jr,Chevrolet,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,9,29,54,usa,Matt_Kurzejewski,Matt Kurzejewski,Costy's Energy Services,Dan_Kurzejewski,Dodge,80,,running,2,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,10,12,52,usa,Chad_Boat,Chad Boat,Curb Records,Mike_Curb,Chevrolet,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,11,14,22,france,Michel_Disdier,Michel Disdier,auto-us.com,Kerry_Scherer,Dodge,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,12,10,77,usa,Tom_Hessert_III,Tom Hessert III,Barbera's Autoland,Briggs_Cunningham,Dodge,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,13,23,99,usa,Mason_Mitchell,Mason Mitchell,BeavEx Tool / Gary Yeomans Ford-Lincoln,Gary_Roulo,Ford,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,14,24,08,usa,Clay_Campbell,Clay Campbell,Mountain Dew,Jeff_Spraker,Ford,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,15,30,02,usa,Josh_Williams,Josh Williams,@Josh02Williams,Theresa_Williams,Ford,80,,running,3,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,16,22,42,usa,Bo_LeMastus,Bo LeMastus,Crosley Radio,Bo_LeMastus,Dodge,80,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,17,40,88,usa,Buster_Graham,Buster Graham,Don Mashburn Inc,Howard_Bixman,Ford,79,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,18,26,19,usa,Donnie_Neuenberger,Donnie Neuenberger,Eagle Convenience Stores,Donnie_Neuenberger,Chevrolet,79,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,19,28,75,usa,Benny_Chastain,Benny Chastain,"Amac, Inc.",Bob_Schacht,Chevrolet,79,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,20,39,06,canada,Dexter_Stacey,Dexter Stacey,Playground Poker Club,Mike_Harmon,Chevrolet,79,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,21,32,23,usa,Spencer_Gallagher,Spencer Gallagher,Allegiant Air,Maury_Gallagher,Chevrolet,79,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,22,34,2,usa,Thomas_Praytor,Thomas Praytor,ARCA Mobile 200 / Roush-Yates,Wayne_Hixson,Ford,78,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,23,37,34,usa,Rick_Clifton,Rick Clifton,BASF,Dave_McClure,Chevrolet,78,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,24,25,30,canada,Terry_Jones,Terry Jones,J-ARR Excavating,Terry_Jones,Dodge,78,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,25,36,10,usa,Ed_Pompa,Ed Pompa,Milton Cat / Double H Ranch,Dave_McClure,Chevrolet,77,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,26,38,48,usa,James_Hylton,James Hylton,Radon.com / Sapp's Auto Salvage,James_Hylton,Ford,77,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,27,31,97,usa,Roger_Carter,Roger Carter,RoadRunnerTheMovie.com / I-96 Speedway,Dana_Carter,Dodge,76,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,28,2,35,venezuela,Milka_Duno,Milka Duno,CANTV / Milka Way,Bill_Venturini,Toyota,76,,running,11,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,29,3,5,usa,Bobby_Gerhart,Bobby Gerhart,Lucas Oil / MavTV,Billy_Gerhart,Chevrolet,75,,fuel pump,55,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,30,8,17,usa,Chris_Buescher,Chris Buescher,BeavEx Tool / Gary Yeomans Ford-Lincoln,Russ_Roulo,Ford,74,,running,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,31,13,25,usa,Justin_Boston,Justin Boston,ZLOOP Computer & Electronics Recycling Center,Cathy_Venturini,Toyota,41,,crash,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,32,35,40,usa,Galen_Hassler,Galen Hassler,CheapGasPromo.com,Roger_Carter,Dodge,39,,engine,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,33,20,68,usa,Will_Kimmel,Will Kimmel,Gary Yeomans Ford / Clarksville Schwinn,Bill_Kimmel,Ford,26,,crash,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,34,21,6,usa,Caleb_Armstrong,Caleb Armstrong,Eddie Sharp Racing,Eddie_Sharp,Chevrolet,20,,crash,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,35,4,55,usa,Bubba_Wallace,Bubba Wallace,"Toyota ""Let's Go Places""",Billy_Venturini,Toyota,19,,crash,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,36,27,11,usa,Brett_Hudson,Brett Hudson,Hudson Perf/ Drivelines / Warrick Tubing,Brett_Hudson,Dodge,19,,crash,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,37,33,69,usa,Steve_Kemp,Steve Kemp,AntlerHuntRanch.com,Bill_Kimmel,Ford,19,,crash,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,38,17,3,usa,Drew_Charlson,Drew Charlson,Aluma Aluminum Trailers / AgriGold,Drew_Charlson,Chevrolet,19,,crash,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,39,6,09,usa,Grant_Enfinger,Grant Enfinger,Motor Honey / Roush-Yates Performance Parts,Howard_Bixman,Ford,12,,rear end,0,
2013,N,2013_Lucas_Oil_200_Presented_by_MAVTV/A,40,5,94,france,Julien_Jousse,Julien Jousse,Barbarac Ice Cream from St. Tropez,David_Leiner,Toyota,9,,engine,0,
2013,N,2013_ARCA_Mobile_200/A,1,2,90,usa,Grant_Enfinger,Grant Enfinger,Motor Honey / Triple K Construction,Howard_Bixman,Ford,200,,running,165,
