season,series_id,race_num,race_date,race_short_id,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2000,N,1,04/30/00,2000_01,Stafford Springs,Stafford_Motor_Speedway,33,Rick Fuller,fulleri01,22,Chevrolet ,0.500,P,102,53225,97.244,14,51.734,4,https://www.racing-reference.info/race-results/2000_Carquest_Spring_Sizzler/N, https://www.racing-reference.info/tracks/Stafford_Motor_Speedway,https://www.racing-reference.info/driver/fulleri01/
2000,N,2,05/04/00,2000_02,Richmond,Richmond_International_Raceway,37,Reggie Ruggiero,ruggire01,3,Pontiac ,0.750,P,113,74425,128.583,2,107.256,7,https://www.racing-reference.info/race-results/2000_Featherlite_Modified_150/N, https://www.racing-reference.info/tracks/Richmond_International_Raceway,https://www.racing-reference.info/driver/ruggire01/
2000,N,3,05/26/00,2000_03,Stafford Springs,Stafford_Motor_Speedway,31,"Eddie Flemke, Jr.",flemked02,2,Pontiac ,0.500,P,75,43925,98.543,9,58.252,4,https://www.racing-reference.info/race-results/2000_Connecticut_Classic_150/N, https://www.racing-reference.info/tracks/Stafford_Motor_Speedway,https://www.racing-reference.info/driver/flemked02/
2000,N,4,06/10/00,2000_04,Riverhead,Riverhead_Raceway,28,Jerry Marquis,marquje01,18,Pontiac ,0.250,P,50,39855,77.949,12,43.924,4,https://www.racing-reference.info/race-results/2000_Miller_Lite_200/N, https://www.racing-reference.info/tracks/Riverhead_Raceway,https://www.racing-reference.info/driver/marquje01/
2000,N,5,06/24/00,2000_05,Seekonk,Seekonk_Speedway,30,Jerry Marquis,marquje01,1,Pontiac ,0.333,P,50,46775,102.121,5,66.347,3,https://www.racing-reference.info/race-results/2000_Carquest_150/N, https://www.racing-reference.info/tracks/Seekonk_Speedway,https://www.racing-reference.info/driver/marquje01/
2000,N,6,07/07/00,2000_06,Loudon,New_Hampshire_International_Speedway,40,John Blewett,blewejo01,29,Chevrolet ,1.058,P,106,102650,131.415,4,96.641,30,https://www.racing-reference.info/race-results/2000_ThatLook.com_100/N, https://www.racing-reference.info/tracks/New_Hampshire_International_Speedway,https://www.racing-reference.info/driver/blewejo01/
2000,N,7,07/16/00,2000_07,Nazareth,Nazareth_Speedway,40,Mike Stefanik,stefami01,2,Dodge ,1.000,P,103,73395,134.133,7,71.638,6,https://www.racing-reference.info/race-results/2000_Service_Electric_100/N, https://www.racing-reference.info/tracks/Nazareth_Speedway,https://www.racing-reference.info/driver/stefami01/
2000,N,8,07/20/00,2000_08,Thompson,Thompson_Speedway,33,Jerry Marquis,marquje01,31,Pontiac ,0.625,P,99,49625,117.083,7,68.666,3,https://www.racing-reference.info/race-results/2000_Budweiser_Kickoff_2000/N, https://www.racing-reference.info/tracks/Thompson_Speedway,https://www.racing-reference.info/driver/marquje01/
2000,N,9,08/05/00,2000_09,Riverhead,Riverhead_Raceway,28,Mike Ewanitsko,ewanimi01,1,Chevrolet ,0.250,P,50,42675,77.141,6,49.288,1,https://www.racing-reference.info/race-results/2000_Carquest_Auto_Parts_200/N, https://www.racing-reference.info/tracks/Riverhead_Raceway,https://www.racing-reference.info/driver/ewanimi01/
2000,N,10,08/11/00,2000_10,Watkins Glen,Watkins_Glen_International,35,Ted Christopher,christe01,1,Chevrolet ,2.450,R,78,79220,120.019,4,61.800,0,https://www.racing-reference.info/race-results/2000_Carquest_Auto_Parts_100/N, https://www.racing-reference.info/tracks/Watkins_Glen_International,https://www.racing-reference.info/driver/christe01/
2000,N,11,08/17/00,2000_11,Thompson,Thompson_Speedway,32,Ted Christopher,christe01,6,Dodge ,0.625,P,78,47975,,5,73.391,3,https://www.racing-reference.info/race-results/2000_Pepsi_125/N, https://www.racing-reference.info/tracks/Thompson_Speedway,https://www.racing-reference.info/driver/christe01/
2000,N,12,08/25/00,2000_12,Stafford Springs,Stafford_Motor_Speedway,31,John Blewett,blewejo01,9,Chevrolet ,0.500,P,79,43375,98.495,11,56.239,4,https://www.racing-reference.info/race-results/2000_American_Sleeve_Bearing_American_Classic_150/N, https://www.racing-reference.info/tracks/Stafford_Motor_Speedway,https://www.racing-reference.info/driver/blewejo01/
2000,N,13,09/02/00,2000_13,Waterford,Waterford_Speedbowl,30,Jerry Marquis,marquje01,16,Pontiac ,0.333,P,50,50975,85.892,11,46.201,2,https://www.racing-reference.info/race-results/2000_Waterford_150/N, https://www.racing-reference.info/tracks/Waterford_Speedbowl,https://www.racing-reference.info/driver/marquje01/
2000,N,14,09/16/00,2000_14,Loudon,New_Hampshire_International_Speedway,40,Mike Ewanitsko,ewanimi01,12,Chevrolet ,1.058,P,106,102050,NTT,3,108.979,7,https://www.racing-reference.info/race-results/2000_Featherlite_Modified_Series_100/N, https://www.racing-reference.info/tracks/New_Hampshire_International_Speedway,https://www.racing-reference.info/driver/ewanimi01/
2000,N,15,09/24/00,2000_15,Stafford Springs,Stafford_Motor_Speedway,39,Jerry Marquis,marquje01,6,Pontiac ,0.500,P,150,79475,99.199,20,58.196,12,https://www.racing-reference.info/race-results/2000_Carquest_300/N, https://www.racing-reference.info/tracks/Stafford_Motor_Speedway,https://www.racing-reference.info/driver/marquje01/
2000,N,16,09/30/00,2000_16,Martinsville,Martinsville_Speedway,34,Reggie Ruggiero,ruggire01,6,Pontiac ,0.526,P,105,76575,98.414,11,66.175,6,https://www.racing-reference.info/race-results/2000_Goody%27s_Body_Pain_200/N, https://www.racing-reference.info/tracks/Martinsville_Speedway,https://www.racing-reference.info/driver/ruggire01/
2000,N,17,10/15/00,2000_17,Thompson,Thompson_Speedway,36,"Tommy Cravenho, Jr.",craveto01,30,Chevrolet ,0.625,P,78,49275,116.635,8,64.581,5,https://www.racing-reference.info/race-results/2000_World_Series_Presented_by_Xtra_Mart/N, https://www.racing-reference.info/tracks/Thompson_Speedway,https://www.racing-reference.info/driver/craveto01/
