season,series_id,race_id,race_id_short,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2012,B,2012_DRIVE4COPD_300,2012_01_B,1,15,30,usa,James_Buescher,James Buescher,Fraternal Order of Eagles,Steve_Turner,Chevrolet,120,114288,running,1,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,2,9,22,usa,Brad_Keselowski,Brad Keselowski,Discount Tire,Roger_Penske,Dodge,120,81385,running,0,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,3,3,2,usa,Elliott_Sadler,Elliott Sadler,OneMain Financial,Richard_Childress,Chevrolet,120,79228,running,8,42
2012,B,2012_DRIVE4COPD_300,2012_01_B,4,8,88,usa,Cole_Whitt,Cole Whitt,Hellmann's,JR_Motorsports,Chevrolet,120,71903,running,0,40
2012,B,2012_DRIVE4COPD_300,2012_01_B,5,5,3,usa,Austin_Dillon,Austin Dillon,AdvoCare / American Ethanol,Richard_Childress,Chevrolet,120,65388,running,0,39
2012,B,2012_DRIVE4COPD_300,2012_01_B,6,25,19,usa,Tayler_Malsam,Tayler Malsam,G-Oil,Mark_Smith,Toyota,120,59513,running,0,38
2012,B,2012_DRIVE4COPD_300,2012_01_B,7,29,15,usa,Timmy_Hill,Timmy Hill,Poynt.com,Rick_Ware,Ford,120,50770,running,4,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,8,7,33,usa,Tony_Stewart,Tony Stewart,Oreo / Ritz,Richard_Childress,Chevrolet,120,49695,running,22,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,9,11,38,usa,Kasey_Kahne,Kasey Kahne,Great Clips,Steve_Turner,Chevrolet,120,48445,running,4,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,10,14,1,usa,Kurt_Busch,Kurt Busch,HendrickCars.com,James_Finch,Chevrolet,120,51770,running,42,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,11,2,60,usa,Trevor_Bayne,Trevor Bayne,Roush Fenway Racing 25th Anniversary,Jack_Roush,Ford,120,53113,running,3,34
2012,B,2012_DRIVE4COPD_300,2012_01_B,12,33,24,usa,Benny_Gordon,Benny Gordon,Kentucky Antler Company / VSI,Jason_Sciavicco,Toyota,120,46020,running,0,32
2012,B,2012_DRIVE4COPD_300,2012_01_B,13,41,4,usa,Danny_Efland,Danny Efland,DERacing.com,Johnny_Davis,Chevrolet,120,52013,running,0,31
2012,B,2012_DRIVE4COPD_300,2012_01_B,14,37,40,usa,Josh_Wise,Josh Wise,The Motorsports Group,Curtis_Key,Chevrolet,120,45220,running,0,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,15,4,5,usa,Dale_Earnhardt_Jr,"Dale Earnhardt, Jr.",TaxSlayer.com,JR_Motorsports,Chevrolet,120,45770,running,8,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,16,22,20,usa,Joey_Logano,Joey Logano,GameStop,Joe_Gibbs,Toyota,120,44845,running,0,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,17,31,41,usa,Blake_Koch,Blake Koch,Rise Up and Register,Rick_Ware,Ford,120,50838,running,0,27
2012,B,2012_DRIVE4COPD_300,2012_01_B,18,24,54,usa,Kyle_Busch,Kyle Busch,Monster Energy / RaceTrac,Kyle_Busch,Toyota,119,44445,crash,2,0
2012,B,2012_DRIVE4COPD_300,2012_01_B,19,10,6,usa,Ricky_Stenhouse_Jr,"Ricky Stenhouse, Jr.",Kellogg's Rice Krispies Treats / Pop Tarts,Jack_Roush,Ford,119,51588,crash,0,25
2012,B,2012_DRIVE4COPD_300,2012_01_B,20,6,12,usa,Sam_Hornish_Jr,"Sam Hornish, Jr.",Alliance Truck Parts,Roger_Penske,Dodge,119,50963,running,7,25
2012,B,2012_DRIVE4COPD_300,2012_01_B,21,21,70,usa,Johanna_Long,Johanna Long,Foretravel Motorcoach / Biomet,Mary_Louise_Miller,Chevrolet,119,50513,running,0,23
2012,B,2012_DRIVE4COPD_300,2012_01_B,22,20,14,usa,Eric_McClure,Eric McClure,Hefty / Reynolds Wrap,Mark_Smith,Toyota,118,50213,running,0,22
2012,B,2012_DRIVE4COPD_300,2012_01_B,23,27,87,usa,Joe_Nemechek,Joe Nemechek,D.A.B. Constructors,Joe_Nemechek,Toyota,116,50038,crash,2,22
2012,B,2012_DRIVE4COPD_300,2012_01_B,24,39,50,usa,T_J_Bell,T.J. Bell,Eastbound & Down Only on HBO,Mark_Beaver,Chevrolet,115,49913,crash,0,20
2012,B,2012_DRIVE4COPD_300,2012_01_B,25,36,51,usa,Jeremy_Clements,Jeremy Clements,Kevin Whitaker Chevrolet / 92.5 WESC,Jeremy_Clements,Chevrolet,115,50238,running,0,19
