season,series_id,race_id,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,1,1,20,usa,Tony_Stewart,Tony Stewart,Armor All,Joe_Gibbs,Toyota,120,109720,running,46,190
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,2,5,18,usa,Kyle_Busch,Kyle Busch,Interstate Batteries,Joe_Gibbs,Toyota,120,81025,running,47,180
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,3,19,5,usa,Dale_Earnhardt_Jr,"Dale Earnhardt, Jr.",National Guard,JR_Motorsports,Chevrolet,120,69950,running,0,115
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,4,11,10,usa,Brian_Vickers,Brian Vickers,ABF U-Pack Moving,Todd_Braun,Toyota,120,74112,running,2,165
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,5,14,17,usa,Matt_Kenseth,Matt Kenseth,Kraft / Ritz,Jack_Roush,Ford,120,58900,running,0,155
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,6,6,41,usa,Bryan_Clauson,Bryan Clauson,Texaco / Havoline,Chip_Ganassi,Dodge,120,62162,running,0,150
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,7,25,16,usa,Greg_Biffle,Greg Biffle,CitiFinancial,Jack_Roush,Ford,120,52050,running,0,146
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,8,8,32,usa,Denny_Hamlin,Denny Hamlin,Hass Avocados from Mexico,Todd_Braun,Toyota,120,50475,running,1,147
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,9,28,6,usa,David_Ragan,David Ragan,Discount Tire,Jack_Roush,Ford,120,49625,running,2,143
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,10,26,60,usa,Carl_Edwards,Carl Edwards,Scotts,Jack_Roush,Ford,120,50700,running,0,134
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,11,10,8,usa,Martin_Truex_Jr,"Martin Truex, Jr.",Freightliner,"Dale_Earnhardt,_Inc.",Chevrolet,120,47175,running,20,135
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,12,31,47,usa,Kelly_Bires,Kelly Bires,Clorox,Tad_Geschickter,Ford,120,54037,running,0,127
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,13,40,1,usa,Johnny_Sauter,Johnny Sauter,Miccosukee Resorts & Gaming,James_Finch,Chevrolet,120,53462,running,0,99
2008,B,2008_Camping_World_300_Presented_by_Chevrolet,14,18,99,usa,David_Reutimann,David Reutimann,Aaron's Dream Machine,Michael_Waltrip,Toyota,120,52762,running,0,121
