season,series_id,race_num,race_date,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
1994,SW,1,02/06/94,Phoenix,Phoenix_International_Raceway,40,Brett Bell,bellbr01,5,Ford ,1.000,P,50,,130.833,0,123.119,2,https://www.racing-reference.info/race-results/1994_Skoal_Copper_World_Classic/SW, https://www.racing-reference.info/tracks/Phoenix_International_Raceway,https://www.racing-reference.info/driver/bellbr01/
1994,SW,2,04/09/94,Saugus,Saugus_Speedway,24,Bryan Germone,germobr01,8,Chevrolet ,0.333,P,36,,,7,38.605,5,https://www.racing-reference.info/race-results/1994_Miller_Genuine_Draft_100/SW, https://www.racing-reference.info/tracks/Saugus_Speedway,https://www.racing-reference.info/driver/germobr01/
1994,SW,3,04/16/94,LVMS Bullring,The_Bullring_at_Las_Vegas_Motor_Speedway,24,"Ron Hornaday, Jr.",hornaro02,2,Chevrolet ,0.375,P,47,,81.028,7,57.535,1,https://www.racing-reference.info/race-results/1994_Hoosier-Parnelli_Jones_125_%28April%29/SW, https://www.racing-reference.info/tracks/The_Bullring_at_Las_Vegas_Motor_Speedway,https://www.racing-reference.info/driver/hornaro02/
1994,SW,4,04/30/94,Stockton,Stockton_99_Speedway,22,Mike Cofer,cofermi01,1,Chevrolet ,0.250,P,25,,,4,49.696,0,https://www.racing-reference.info/race-results/1994_Plummer_Pontiac_100/SW, https://www.racing-reference.info/tracks/Stockton_99_Speedway,https://www.racing-reference.info/driver/cofermi01/
1994,SW,5,05/14/94,Sonoma,Sears_Point_Raceway,42,Ken Schrader,schrake01,2,Chevrolet ,2.520,R,126,,91.875,6,65.692,4,https://www.racing-reference.info/race-results/1994_Budweiser_200/SW, https://www.racing-reference.info/tracks/Sears_Point_Raceway,https://www.racing-reference.info/driver/schrake01/
1994,SW,6,06/04/94,LVMS Bullring,The_Bullring_at_Las_Vegas_Motor_Speedway,24,Lance Hooper,hoopela01,8,Oldsmobile ,0.375,P,47,,,11,51.811,4,https://www.racing-reference.info/race-results/1994_Hoosier-Parnelli_Jones_125_%28June%29/SW, https://www.racing-reference.info/tracks/The_Bullring_at_Las_Vegas_Motor_Speedway,https://www.racing-reference.info/driver/hoopela01/
1994,SW,7,07/02/94,Mesa Marin,Mesa_Marin_Raceway,30,Dale Williams,willida02,5,Oldsmobile ,0.500,P,50,,,2,68.441,3,https://www.racing-reference.info/race-results/1994_Wrangler_Firecracker_100/SW, https://www.racing-reference.info/tracks/Mesa_Marin_Raceway,https://www.racing-reference.info/driver/willida02/
1994,SW,8,07/16/94,Cajon,Cajon_Speedway,24,Dale Williams,willida02,6,Oldsmobile ,0.375,P,38,,,6,61.392,3,https://www.racing-reference.info/race-results/1994_Budweiser_100/SW, https://www.racing-reference.info/tracks/Cajon_Speedway,https://www.racing-reference.info/driver/willida02/
1994,SW,9,07/30/94,Mesa Marin,Mesa_Marin_Raceway,30,Bob Lyon,lyonbo01,3,Oldsmobile ,0.500,P,50,,,6,61.080,1,https://www.racing-reference.info/race-results/1994_Coca-Cola_100/SW, https://www.racing-reference.info/tracks/Mesa_Marin_Raceway,https://www.racing-reference.info/driver/lyonbo01/
1994,SW,10,08/13/94,Colorado,Colorado_National_Speedway,24,Dale Williams,willida02,9,Oldsmobile ,0.375,P,47,,83.236,6,59.713,3,https://www.racing-reference.info/race-results/1994_Colorado_Chevrolet-Geo_Dealers_125/SW, https://www.racing-reference.info/tracks/Colorado_National_Speedway,https://www.racing-reference.info/driver/willida02/
