race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
5543,1,2025,Cook Out Clash at Bowman Gray,2,0,159,Bowman Gray Stadium,2025-02-02T20:00:00,2025-02-02T20:00:00,2025-02-02T20:00:00,2025-02-02T20:00:00,50.6,50.0,200,200,0,0,0,23,4062,0.0,4,3,7,7,40.956,1:13:15,1.333,0,0,MRN,FOX,3222,,0,,0,-1,,4062,
5544,1,2025,Duel 1 at DAYTONA,2,1,105,Daytona International Speedway,2025-02-13T19:00:00,2025-02-13T19:00:00,2025-02-13T19:00:00,2025-02-13T19:00:00,150.0,150.0,60,60,0,0,0,23,4228,0.0,20,10,4,15,130.909,1:08:45,.082,0,0,MRN,FS1,3217,,0,,0,-1,,4025,
5545,1,2025,Duel 2 at DAYTONA,2,1,105,Daytona International Speedway,2025-02-13T20:45:00,2025-02-13T20:45:00,2025-02-13T20:45:00,2025-02-13T20:45:00,150.0,150.0,60,60,0,0,0,22,4180,0.0,16,7,2,6,161.628,0:55:41,Under Caution,0,0,MRN,FS1,3218,,0,,0,-1,,4180,
5485,3,2025,Fresh From Florida 250,1,1,105,Daytona International Speedway,2025-02-14T19:30:00,2025-02-14T19:30:00,2022-02-14T00:00:00,2025-02-14T19:30:00,250.0,250.0,100,100,20,20,60,36,4107,176.488,30,12,8,33,116.174,2:09:07,Caution,0,0,NRN,FS1,3020,,0,,0,-1,,4387,
5510,2,2025,United Rentals 300,1,1,105,Daytona International Speedway,2025-02-15T17:00:00,2025-02-15T17:00:00,2025-02-15T00:00:00,2025-02-15T17:00:00,300.0,315.0,120,126,30,30,66,38,0,0.0,24,11,8,39,123.301,2:33:17,Caution,0,0,MRN,CW,2131,,0,,0,-1,,4463,
5546,1,2025,DAYTONA 500,1,1,105,Daytona International Speedway,2025-02-16T14:30:00,2025-02-16T14:30:00,2025-02-16T13:30:00,2025-02-16T13:30:00,500.0,502.5,200,201,65,65,71,41,4228,182.745,56,15,8,47,129.159,3:53:26,.113,0,0,MRN,FOX,385,,0,,0,-1,,4184,
5486,3,2025,Fr8 Racing 208,1,1,111,Atlanta Motor Speedway,2025-02-22T13:30:00,2025-02-22T13:30:00,2025-02-21T00:00:00,2025-02-22T13:30:00,207.9,207.9,135,135,30,30,75,32,4433,173.418,19,11,4,28,116.725,1:46:52,0.017,0,0,NRN,FS1,4475,,0,,0,-1,,454,
5511,2,2025,Bennett Transportation & Logistics 250,1,1,111,Atlanta Motor Speedway,2025-02-22T17:00:00,2025-02-22T17:00:00,2025-02-22T17:00:00,2025-02-22T17:00:00,251.02,251.02,163,163,45,45,73,38,4463,174.724,12,7,8,49,106.59,2:21:18,0.216,0,0,PRN,CW,2432,,0,,0,-1,,4133,
5547,1,2025,Ambetter Health 400,1,1,111,Atlanta Motor Speedway,2025-02-23T15:00:00,2025-02-23T15:00:00,2025-02-23T15:00:00,2025-02-23T15:00:00,400.4,409.64,260,266,60,100,106,39,4023,179.371,50,15,11,63,118.384,3:27:37,Under Caution,0,0,PRN,FOX,3335,,0,,0,-1,,4153,
5514,2,2025,Focused Health 250,1,0,214,Circuit of The Americas,2025-03-01T14:30:00,2025-03-01T14:30:00,2025-03-01T13:30:00,2025-03-01T14:30:00,156.0,156.0,65,65,20,20,25,38,4481,88.832,14,9,4,14,70.095,2:13:32,1.639,0,0,PRN,CW,5098,,0,,0,-1,,4481,
5551,1,2025,EchoPark Automotive Grand Prix,1,0,214,Circuit of The Americas,2025-03-02T15:30:00,2025-03-02T15:30:00,2025-03-02T14:30:00,2025-03-02T15:30:00,228.0,228.0,95,95,20,25,50,37,4065,88.095,20,9,4,15,73.025,3:07:20,0.433,0,0,PRN,FOX,5033,,0,,0,-1,,4153,
5513,2,2025,GOVX 200,1,0,84,Phoenix Raceway,2025-03-08T17:00:00,2025-03-08T17:00:00,2025-03-08T15:00:00,2025-03-08T17:00:00,200.0,208.0,200,208,45,45,118,38,4045,131.984,14,5,6,46,91.99,2:15:40,.045,0,0,MRN,CW,2837,,0,,0,-1,,40,
5549,1,2025,Shriners Children's 500,1,0,84,Phoenix Raceway,2025-03-09T15:30:00,2025-03-09T15:30:00,2025-03-09T12:30:00,2025-03-09T15:30:00,312.0,312.0,312,312,60,125,127,37,4184,133.68,17,6,10,73,92.141,3:23:10,.049,0,0,MRN,FS1,2074,,0,,0,-1,,4153,
5487,3,2025,Ecosave 200,1,0,42,Las Vegas Motor Speedway,2025-03-14T21:00:00,2025-03-14T21:00:00,2025-03-14T18:00:00,2025-03-14T21:00:00,201.0,201.0,134,134,30,30,74,31,4502,177.702,21,12,4,34,107.01,1:52:42,0.825,0,0,NRN,FS1,4103,,0,,0,-1,,4387,
5512,2,2025,The LiUNA!,1,0,42,Las Vegas Motor Speedway,2025-03-15T16:30:00,2025-03-15T16:30:00,2025-03-15T13:30:00,2025-03-15T16:30:00,300.0,300.0,200,200,45,45,110,38,4441,183.455,7,5,3,18,140.078,2:08:30,1.067,0,0,PRN,CW,2573,,0,,0,-1,,34,
5548,1,2025,Pennzoil 400 presented by Jiffy Lube,1,0,42,Las Vegas Motor Speedway,2025-03-16T15:30:00,2025-03-16T15:30:00,2025-03-16T12:30:00,2025-03-16T15:30:00,400.5,400.5,267,267,80,85,102,36,3832,186.961,32,13,9,53,124.368,3:13:13,1.358,0,0,PRN,FS1,1824,,0,,0,-1,,4123,
5489,3,2025,Baptist Health 200,1,0,40,Homestead-Miami Speedway,2025-03-21T20:00:00,2025-03-21T20:00:00,2025-03-21T20:00:00,2025-03-21T20:00:00,201.0,201.0,134,134,30,30,74,34,4387,168.167,13,4,4,22,117.068,1:43:01,1.340,0,0,NRN,FOX,5129,,0,,0,-1,,4030,
5540,2,2025,Hard Rock Bet 300,1,0,40,Homestead-Miami Speedway,2025-03-22T16:00:00,2025-03-22T16:00:00,2025-03-22T16:00:00,2025-03-22T16:00:00,300.0,301.5,200,201,45,45,111,38,4406,163.32,19,11,6,31,118.287,2:32:56,.348,0,0,MRN,CW,2861,,0,,0,-1,,34,
5583,1,2025,Straight Talk Wireless 400,1,0,40,Homestead-Miami Speedway,2025-03-23T15:00:00,2025-03-23T15:00:00,2025-03-23T15:00:00,2025-03-23T15:00:00,400.5,400.5,267,267,80,85,102,37,4045,168.845,27,9,4,27,131.876,3:02:13,1.205,0,0,MRN,FS1,1887,,0,,0,-1,,4030,
5490,3,2025,Boys and Girls Club of the Blue Ridge 200,1,0,22,Martinsville Speedway,2025-03-28T19:30:00,2025-03-28T19:30:00,2025-03-28T19:30:00,2025-03-28T19:30:00,105.2,105.2,200,200,50,50,100,35,4387,96.347,5,5,10,69,57.364,1:50:02,0.544,0,0,NRN,FS1,3112,,0,,0,-1,,4093,
5516,2,2025,US Marine Corps 250,1,0,22,Martinsville Speedway,2025-03-29T17:00:00,2025-03-29T17:00:00,2025-03-29T17:00:00,2025-03-29T17:00:00,131.5,134.656,250,256,60,60,136,38,4481,95.213,14,10,14,104,54.615,2:27:56,0.190,0,0,MRN,CW,4916,,0,,0,-1,,4133,
5553,1,2025,Cook Out 400,1,0,22,Martinsville Speedway,2025-03-30T15:00:00,2025-03-30T15:00:00,2025-03-30T15:00:00,2025-03-30T15:00:00,210.4,210.4,400,400,80,100,220,38,4153,96.034,9,6,10,86,68.17,3:05:11,4.617,0,0,MRN,FS1,12,,0,,0,-1,,1361,
5520,2,2025,Sport Clips Haircuts VFW Help a Hero 200,1,0,4,Darlington Raceway,2025-04-05T15:30:00,2025-04-05T15:30:00,2025-04-05T15:30:00,2025-04-05T15:30:00,200.8,200.802,147,147,45,45,57,38,4153,164.408,14,9,6,36,104.812,1:54:57,1.105,0,0,MRN,CW,4970,,0,,0,-1,,4085,
5558,1,2025,Goodyear 400,1,0,4,Darlington Raceway,2025-04-06T15:00:00,2025-04-06T15:00:00,2025-04-06T15:00:00,2025-04-06T15:00:00,400.24,405.702,293,297,90,95,112,38,4184,170.904,4,4,8,45,120.965,3:21:14,.597,0,0,MRN,FS1,442,,0,,0,-1,,1361,
5488,3,2025,Weather Guard Truck Race,1,0,14,Bristol Motor Speedway,2025-04-11T19:30:00,2025-04-11T19:30:00,2025-04-11T00:00:00,2025-04-11T19:30:00,133.25,133.25,250,250,65,65,120,35,0,0.0,6,5,8,66,72.32,1:50:33,0.934,0,0,NRN,FS1,3105,,0,,0,-1,,4312,
5530,2,2025,SciAps 300,1,0,14,Bristol Motor Speedway,2025-04-12T17:00:00,2025-04-12T17:00:00,2025-04-12T17:00:00,2025-04-12T17:00:00,159.9,159.9,300,300,85,85,130,38,4030,126.287,8,5,5,44,85.584,1:52:06,2.054,0,0,PRN,CW,5109,,0,,0,-1,,4030,
5550,1,2025,Food City 500,1,0,14,Bristol Motor Speedway,2025-04-13T15:00:00,2025-04-13T15:00:00,2025-04-13T15:00:00,2025-04-13T15:00:00,266.5,266.5,500,500,125,125,250,39,4045,128.675,4,4,3,40,100.746,2:38:43,2.250,0,0,PRN,FS1,588,,0,,0,-1,,4030,
5496,3,2025,Black’s Tire 200,1,0,175,Rockingham Speedway,2025-04-18T17:00:00,2025-04-18T17:00:00,2025-04-18T17:00:00,2025-04-18T17:00:00,188.0,188.0,200,200,45,45,110,35,4423,153.469,11,9,5,33,102.904,1:49:37,6.657,0,0,NRN,FS1,4376,,0,,0,-1,,4296,
5515,2,2025,North Carolina Education Lottery 250 presented by Black’s Tire,1,0,175,Rockingham Speedway,2025-04-19T16:00:00,2025-04-19T16:00:00,2025-04-19T16:00:00,2025-04-19T16:00:00,235.0,240.64,250,256,60,60,136,38,4481,149.536,17,8,14,83,80.377,2:59:38,0.691,0,0,MRN,CW,2332,,0,,0,-1,,4441,
5518,2,2025,Ag-Pro 300,1,1,82,Talladega Superspeedway,2025-04-26T16:00:00,2025-04-26T16:00:00,2025-04-25T00:00:00,2025-04-26T16:00:00,300.58,300.58,113,113,25,25,63,38,4463,182.24,26,15,5,23,138.18,2:10:31,Caution,0,0,MRN,CW,2447,,0,,0,-1,,4133,
5555,1,2025,Jack Link's 500,1,1,82,Talladega Superspeedway,2025-04-27T15:00:00,2025-04-27T15:00:00,2025-04-26T00:00:00,2025-04-27T15:00:00,500.08,500.08,188,188,60,60,68,39,4272,182.174,67,23,4,22,157.203,3:10:52,.022,0,0,MRN,FOX,957,,0,,0,-1,,4180,
5491,3,2025,SpeedyCash.com 250,1,0,43,Texas Motor Speedway,2025-05-02T20:00:00,2025-05-02T20:00:00,2025-05-02T00:00:00,2025-05-02T20:00:00,250.5,261.0,167,174,40,40,94,32,0,0.0,15,9,11,57,102.008,2:33:31,0.279,0,0,NRN,FS1,4095,,0,,0,-1,,4387,
5517,2,2025,Andy's Frozen Custard 300,1,0,43,Texas Motor Speedway,2025-05-03T14:00:00,2025-05-03T14:00:00,2025-05-03T00:00:00,2025-05-03T14:00:00,300.0,312.0,200,208,45,45,118,38,0,0.0,12,6,11,62,106.424,2:55:54,1.265,0,0,PRN,CW,3794,,0,,0,-1,,4030,
5554,1,2025,Würth 400 presented by LIQUI MOLY,1,0,43,Texas Motor Speedway,2025-05-04T15:30:00,2025-05-04T14:30:00,2025-05-04T14:30:00,2025-05-04T15:30:00,400.5,406.5,267,271,80,85,106,38,4326,191.659,20,13,12,73,116.885,3:28:40,.346,0,0,PRN,FS1,2100,,0,,0,-1,,3859,
