race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4868,1,2020,Busch Clash at DAYTONA,2,1,105,Daytona International Speedway,2020-02-09T15:00:00,2020-02-09T15:00:00,2020-02-09T15:00:00,,187.5,220.0,75,88,0,0,0,18,2394,0.0,14,11,5,21,134.9,1:37:51,.697,0,0,MRN,FS1,3222,,0,,,,,4059,
4869,1,2020,Bluegreen Vacations Duel 1 at DAYTONA,2,1,105,Daytona International Speedway,2020-02-13T19:00:00,2020-02-13T19:00:00,,,150.0,150.0,60,60,0,0,0,22,0,0.0,11,6,1,7,166.105,0:54:09,.172,0,0,MRN,FS1,3217,,0,,,,,3859,
4870,1,2020,Bluegreen Vacations Duel 2 at DAYTONA,2,1,105,Daytona International Speedway,2020-02-13T20:45:00,2020-02-13T20:45:00,2020-02-13T21:40:00,,150.0,150.0,60,60,0,0,0,21,4045,0.0,8,5,1,5,170.994,00:52:38,.117,0,0,MRN,FS1,3218,,0,,,,,4184,
4871,1,2020,DAYTONA 500,1,1,105,Daytona International Speedway,2020-02-16T14:30:00,2020-02-17T16:00:00,2020-02-09T00:00:00,,500.0,522.5,200,209,65,65,79,40,3888,194.582,24,13,9,39,141.11,3:42:10,Caution,0,0,MRN,FOX,385,,0,,,,,1361,
4873,1,2020,Pennzoil 400 presented by Jiffy Lube,1,0,42,Las Vegas Motor Speedway,2020-02-23T15:30:00,2020-02-23T15:30:00,2020-02-22T00:00:00,,400.5,400.5,267,267,80,80,107,38,0,0.0,25,8,9,37,134.861,2:58:11,Caution,0,0,PRN,FOX,1824,,0,,,,,3859,
4875,1,2020,Auto Club 400,1,0,38,Auto Club Speedway,2020-03-01T15:30:00,2020-03-01T15:30:00,2020-03-01T15:30:00,,400.0,400.0,200,200,60,60,80,38,339,179.614,16,8,3,13,152.753,2:37:07,8.904,0,0,MRN,FOX,1804,,0,,,,,4045,
4874,1,2020,FanShield 500,1,0,84,Phoenix Raceway,2020-03-08T15:30:00,2020-03-08T15:30:00,2020-03-08T15:30:00,,312.0,316.0,312,316,75,115,126,38,4062,138.116,20,7,12,73,94.407,3:20:50,.276,0,0,MRN,FOX,2074,,0,,,,,3859,
4967,1,2020,The Real Heroes 400,1,0,4,Darlington Raceway,2020-05-17T15:30:00,2020-05-17T15:30:00,,,400.0,400.24,293,293,90,95,108,40,0,0.0,11,6,10,57,115.815,3:27:21,2.154,0,0,MRN,FOX,442,,0,,,,,1416,
4968,1,2020,Toyota 500,1,0,4,Darlington Raceway,2020-05-20T18:00:00,2020-05-20T19:30:00,,,310.6,284.13,228,208,60,65,83,39,0,0.0,17,14,11,54,104.984,2:42:23,Caution,0,0,MRN,FS1,4968,,0,,,,,1361,
4885,1,2020,Coca-Cola 600,1,0,162,Charlotte Motor Speedway,2020-05-24T18:00:00,2020-05-24T18:00:00,2020-05-24T18:00:00,,600.0,607.5,400,405,100,100,100,40,453,181.269,20,11,8,52,135.042,4:29:55,.293,0,0,PRN,FOX,447,,0,,,,,1816,
4969,1,2020,Alsco Uniforms 500,1,0,162,Charlotte Motor Speedway,2020-05-28T19:00:00,2020-05-28T20:00:00,,,310.6,312.0,208,208,55,60,93,40,0,0.0,14,8,7,37,125.315,2:29:23,2.208,0,0,PRN,FS1,4969,,0,,,,,4062,
4971,1,2020,Food City presents the Supermarket Heroes 500,1,0,14,Bristol Motor Speedway,2020-05-31T15:30:00,2020-05-31T15:30:00,,,266.0,266.5,500,500,125,125,250,40,0,0.0,21,7,17,102,80.338,3:19:02,.471,0,0,PRN,FS1,588,,0,,,,,1816,
4972,1,2020,Folds of Honor QuikTrip 500,1,0,111,Atlanta Motor Speedway,2020-06-07T15:00:00,2020-06-07T15:00:00,,,500.0,500.5,325,325,105,105,115,40,0,0.0,21,9,5,24,142.966,3:30:03,3.527,0,0,PRN,FOX,3335,,0,,,,,1416,
4973,1,2020,Blue-Emu Maximum Pain Relief 500,1,0,22,Martinsville Speedway,2020-06-10T19:00:00,2020-06-10T19:00:00,,,263.0,263.0,500,500,130,130,240,39,0,0.0,14,8,7,52,77.378,3:23:56,4.705,0,0,MRN,FS1,12,,0,,,,,3368,
4974,1,2020,Dixie Vodka 400,1,0,40,Homestead-Miami Speedway,2020-06-14T15:30:00,2020-06-14T15:30:00,,,400.0,400.5,267,267,80,80,107,38,0,0.0,17,7,6,27,127.751,3:08:06,.895,0,0,MRN,FOX,4974,,0,,,,,1361,
4975,1,2020,GEICO 500,1,1,82,Talladega Superspeedway,2020-06-22T15:00:00,2020-06-22T15:00:00,,,500.0,508.06,188,191,60,60,71,40,0,0.0,57,19,8,33,146.933,3:27:28,0.007,0,0,MRN,FOX,957,,0,,,,,4023,
4886,1,2020,Pocono Organics 325 in partnership with Rodale Institute,1,0,198,Pocono Raceway,2020-06-27T15:30:00,2020-06-27T15:30:00,,,325.0,325.0,130,130,25,52,53,40,0,0.0,10,8,6,21,134.467,2:25:01,.761,0,0,MRN,FOX,1358,,0,,,,,1416,
4893,1,2020,Pocono 350,1,0,198,Pocono Raceway,2020-06-28T16:00:00,2020-06-28T16:00:00,,,350.0,350.0,140,140,30,55,55,40,0,0.0,12,8,8,32,122.879,2:50:54,3.068,0,0,MRN,FS1,1122,,0,,,,,1361,
4898,1,2020,Big Machine Hand Sanitizer 400 Powered by Big Machine Records,1,0,123,Indianapolis Motor Speedway,2020-07-05T16:00:00,2020-07-05T16:00:00,,,400.0,402.5,160,161,50,50,61,40,0,0.0,11,9,9,43,123.162,3:16:05,0.743,0,0,IMS,NBC,1716,,0,,,,,1416,
