race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4673,1,2018,Advance Auto Parts Clash,2,1,105,Daytona International Speedway,2018-02-11T15:00:00,2018-02-11T15:00:00,2018-02-11T00:00:00,,187.5,187.5,75,75,0,0,0,17,0,0.0,11,7,3,8,169.641,01:06:19,0.102,0,0,MRN,FS1,3222,,,,,,,,
4674,1,2018,Can-Am Duel 1,2,1,105,Daytona International Speedway,2018-02-15T19:00:00,2018-02-15T19:00:00,,,150.0,157.5,60,63,0,0,0,20,0,0.0,4,3,4,14,138.124,1:08:25,0.207,0,0,MRN,FS1,3217,,,,,,,,
4675,1,2018,Can-Am Duel 2,2,1,105,Daytona International Speedway,2018-02-15T19:00:00,2018-02-15T19:00:00,,,150.0,150.0,60,60,0,0,0,20,0,0.0,6,4,1,3,181.879,00:49:29,0.081,0,0,MRN,FS1,3218,,,,,,,,
4747,3,2018,NextEra Energy Resources 250,1,0,105,Daytona International Speedway,2018-02-16T19:30:00,2018-02-16T19:30:00,2018-02-16T00:00:00,,250.0,250.0,100,100,20,20,60,32,1202,183.61,21,10,7,35,120.385,02:04:36,0.098,0,0,MRN,FS1,3020,,,,,,,,
4714,2,2018,PowerShares QQQ 300,1,1,105,Daytona International Speedway,2018-02-17T14:30:00,2018-02-17T14:30:00,2018-02-17T00:00:00,,300.0,357.5,120,143,30,30,83,40,4093,189.31,19,11,12,49,119.1,03:00:06,0,0,0,MRN,FS1,2131,,,,,,,,
4676,1,2018,DAYTONA 500,1,1,105,Daytona International Speedway,2018-02-18T14:30:00,2018-02-18T14:30:00,2018-02-11T00:00:00,,500.0,517.5,200,207,60,60,87,40,4045,195.644,24,14,8,37,150.545,03:26:15,0.26,0,0,MRN,FOX,385,,,,,,,,
4715,2,2018,Rinnai 250,1,0,111,Atlanta Motor Speedway,2018-02-24T14:00:00,2018-02-24T14:00:00,2018-02-24T00:00:00,,300.3,251.02,163,163,40,40,83,40,4153,181.176,9,3,4,21,129.67,01:56:09,4.183,0,0,PRN,FS1,2432,,,,,,,,
4748,3,2018,Active Pest Control 200 benefiting Children’s Healthcare of Atlanta,1,0,111,Atlanta Motor Speedway,2018-02-24T16:30:00,2018-02-24T16:30:00,2018-02-24T00:00:00,,200.0,206.36,130,134,40,40,54,32,454,179.743,9,6,5,24,123.816,01:40:00,1.326,0,0,MRN,FS1,4475,,,,,,,,
4677,1,2018,Folds of Honor QuikTrip 500,1,0,111,Atlanta Motor Speedway,2018-02-25T13:00:00,2018-02-25T13:00:00,2018-02-23T00:00:00,,500.5,500.5,325,325,85,85,155,36,454,184.652,24,8,5,28,143.068,03:29:54,2.69,0,0,PRN,FOX,3335,,,,,,,,
4763,3,2018,Stratosphere 200,1,0,42,Las Vegas Motor Speedway,2018-03-02T21:00:00,2018-03-02T21:00:00,2018-03-02T00:00:00,,200.0,201.0,134,134,30,30,74,32,454,176.615,14,7,5,25,122.665,01:38:19,0.437,0,0,MRN,FS1,4103,,,,,,,,
