race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4495,1,2016,AAA 400 Drive for Autism,1,0,103,Dover International Speedway,2016-05-15T13:00:00,2016-05-15T13:00:00,2016-05-13T00:00:00,,400.0,400.0,400,400,,,,40,0,0.0,19,10,12,65,109.348,03:39:29,,0,0,MRN,FS1,922,,,,,,,,
4478,1,2016,Sprint Unlimited,2,1,105,Daytona International Speedway,2016-02-13T20:00:00,2016-02-13T20:00:00,,,187.5,197.5,75,79,,,,25,0,0.0,12,3,7,25,128.432,01:32:16,,0,0,MRN,FOX,3222,,,,,,,,
4479,1,2016,Can-Am Duel At Daytona 1,2,1,105,Daytona International Speedway,2016-02-18T19:00:00,2016-02-18T19:00:00,,,150.0,150.0,60,60,,,,22,0,0.0,4,4,1,4,0.0,00:00:00,,0,0,MRN,FS1,3217,,,,,,,,
4480,1,2016,Can-Am Duel At Daytona 2,2,1,105,Daytona International Speedway,2016-02-18T19:00:00,2016-02-18T19:00:00,,,150.0,150.0,60,60,,,,22,0,0.0,3,3,1,1,191.898,00:46:54,,0,0,MRN,FS1,3218,,,,,,,,
4481,1,2016,Daytona 500,1,1,105,Daytona International Speedway,2016-02-21T13:00:00,2016-02-21T13:00:00,2016-02-14T00:00:00,,500.0,500.0,200,200,,,,40,4062,196.314,20,15,6,31,157.549,03:10:25,,0,0,MRN,FOX,385,,,,,,,,
4499,1,2016,Coke Zero 400 Powered by Coca-Cola,1,1,105,Daytona International Speedway,2016-07-02T19:45:00,2016-07-02T19:45:00,2016-07-01T00:00:00,,400.0,402.5,160,161,,,,40,243,192.955,26,13,5,28,150.342,02:40:38,,0,0,MRN,NBC,408,,,,,,,,
4482,1,2016,Folds of Honor QuikTrip 500,1,0,111,Atlanta Motor Speedway,2016-02-28T13:00:00,2016-02-28T13:00:00,2016-02-26T00:00:00,,500.5,508.2,325,330,,,,39,453,191.582,28,8,3,13,155.863,03:15:38,,0,0,PRN,FOX,3335,,,,,,,,
4502,1,2016,Crown Royal presents the Combat Wounded Coalition 400 at the Brickyard,1,0,123,Indianapolis Motor Speedway,2016-07-24T15:00:00,2016-07-24T15:00:00,2016-07-23T00:00:00,,400.0,425.0,160,170,,,,40,454,184.634,4,3,8,34,128.94,03:17:46,,0,0,IMS,NBCSN,1716,,,,,,,,
4497,1,2016,FireKeepers Casino 400,1,0,133,Michigan International Speedway,2016-06-12T13:00:00,2016-06-12T13:00:00,2016-06-10T00:00:00,,400.0,400.0,200,200,,,,40,3859,199.557,14,8,9,46,134.241,02:58:47,,0,0,MRN,FS1,917,,,,,,,,
4505,1,2016,Pure Michigan 400,1,0,133,Michigan International Speedway,2016-08-28T14:00:00,2016-08-28T14:00:00,2016-08-26T00:00:00,,400.0,400.0,200,200,,,,40,3859,201.698,20,13,4,17,162.73,02:27:29,,0,0,MRN,NBCSN,930,,,,,,,,
4510,1,2016,Bad Boy Off Road 300,1,0,138,New Hampshire Motor Speedway,2016-09-25T14:00:00,2016-09-25T14:00:00,2016-09-23T00:00:00,,317.4,317.4,300,300,,,,40,923,135.453,14,8,6,31,109.291,02:54:15,,0,0,PRN,NBCSN,1814,,,,,,,,
4501,1,2016,New Hampshire 301,1,0,138,New Hampshire Motor Speedway,2016-07-17T13:30:00,2016-07-17T13:30:00,2016-07-15T00:00:00,,318.46,318.458,301,301,,,,40,1717,133.971,13,6,7,36,107.416,02:57:53,,0,0,PRN,NBCSN,1683,,,,,,,,
