race_id,start_lap,end_lap,car_number
5270,267,269,19
5270,270,271,24
5271,1,1,5
5271,2,63,24
5271,64,118,5
5271,119,119,1
5271,120,120,6
5271,121,246,5
5271,247,260,43
5271,261,268,5
5271,269,304,4
5271,305,315,5
5271,316,317,24
5272,1,63,22
5272,64,64,51
5272,65,69,8
5272,70,74,12
5272,75,76,8
5272,77,131,22
5272,132,136,17
5272,137,142,20
5272,143,159,22
5272,160,164,2
5272,165,168,10
5272,169,175,47
5272,176,188,11
5272,189,189,4
5272,190,194,1
5272,195,195,11
5272,196,208,10
5272,209,226,6
5272,227,230,22
5272,231,259,6
5272,260,260,22
5273,1,5,24
5273,6,7,2
5273,8,12,45
5273,13,23,24
5273,24,31,45
5273,32,32,17
5273,33,38,24
5273,39,41,45
5273,42,42,24
5273,43,43,22
5273,44,46,24
5273,47,57,45
5273,58,58,99
5273,59,59,20
5273,60,61,45
5273,62,63,24
5273,64,75,45
5274,0,0,48
5274,1,1,8
5274,2,9,48
5274,10,33,24
5274,34,49,1
5274,50,123,24
5274,124,160,5
5274,161,166,11
5274,167,196,5
5274,197,206,24
5274,207,227,20
5274,228,234,11
5274,235,235,20
5274,236,293,11
5274,294,294,23
5274,295,307,19
5274,308,308,5
5274,309,351,19
5274,352,355,20
5274,356,356,6
5274,357,366,9
5274,367,375,24
5274,376,400,5
5280,1,75,5
5280,76,134,45
5280,135,140,8
5280,141,150,45
5280,151,250,20
5310,1,1,00
5310,2,5,7
5310,6,6,20
5310,7,7,7
5310,8,12,20
5310,13,14,7
5310,15,15,20
5310,16,25,7
5310,26,26,10
5310,27,32,21
5310,33,37,2
5310,38,45,1
5310,46,46,48
5310,47,49,1
5310,50,53,21
5310,54,55,7
5310,56,58,1
5310,59,74,7
5310,75,75,20
5310,76,76,08
5310,77,78,02
5310,79,95,8
5310,96,123,21
5310,124,124,7
5310,125,125,21
5311,0,0,21
5311,1,20,20
5311,21,24,21
5311,25,38,00
5311,39,41,7
5311,42,73,00
5311,74,75,8
5311,76,83,18
5311,84,84,8
5311,85,85,18
5311,86,95,2
5311,96,96,16
5311,97,97,2
5311,98,99,20
5311,100,100,18
5311,101,107,20
5311,108,109,18
5311,110,116,20
5311,117,118,18
5311,119,128,10
5311,129,129,20
5311,130,133,2
5311,134,138,7
5311,139,150,20
5312,102,140,16
5312,141,141,7
5312,142,142,1
5312,143,144,8
5312,145,145,78
5312,146,198,16
5312,199,200,21
5312,1,12,16
5312,13,21,7
5312,22,48,20
5312,49,53,21
5312,54,71,20
5312,72,85,16
5312,86,97,21
5312,98,101,10
5313,1,37,00
5313,38,49,7
5313,50,50,00
5313,51,54,1
5313,55,73,20
5313,74,85,21
5313,86,86,16
5313,87,94,7
5313,95,100,21
5313,101,102,10
5313,103,142,18
5313,143,143,16
5313,144,147,21
5313,148,148,10
5313,149,200,18
5314,0,0,18
5314,1,10,20
5314,11,43,21
5314,44,46,10
5314,47,47,78
5314,48,49,10
5314,50,66,78
5314,67,76,9
5314,77,81,48
5314,82,82,08
5314,83,92,98
5314,93,98,21
5314,99,99,98
5314,100,163,21
5315,1,14,10
5315,15,26,2
5315,27,27,17
5315,28,28,2
5315,29,29,48
5315,30,32,2
5315,33,46,10
5316,1,2,7
5316,3,42,18
5316,43,44,98
5316,45,79,16
5316,80,104,98
5316,105,140,16
5316,141,161,8
5316,162,185,9
5316,186,227,8
5316,228,238,20
5316,239,250,16
5343,0,0,2
5343,1,1,98
5343,2,12,19
5343,13,14,88
5343,15,18,19
5343,19,19,98
5343,20,22,19
5343,23,25,16
5343,26,26,52
5343,27,36,16
5343,37,38,9
5343,39,39,52
5343,40,41,16
5343,42,42,4
5343,43,46,7
5343,47,47,38
5343,48,48,19
5343,49,52,7
5343,53,53,38
5343,54,64,7
5343,65,79,38
5344,1,7,51
5344,8,11,2
5344,12,21,51
5344,22,25,2
5344,26,33,38
5344,34,36,23
5344,37,39,42
5344,40,44,51
5344,45,51,42
5344,52,52,99
5344,53,57,42
5344,58,58,99
5344,59,62,42
5344,63,67,1
5344,68,105,51
5344,106,110,43
5344,111,134,51
5345,0,0,38
5345,1,32,19
5345,33,44,88
5345,45,45,04
5345,46,62,88
5345,63,63,02
5345,64,79,17
5345,80,81,56
5345,82,103,17
5345,104,104,51
5345,105,112,17
5345,113,113,51
5345,114,120,17
5345,121,122,99
5345,123,128,2
5345,129,129,99
5345,130,134,2
5345,135,137,19
5346,1,2,41
5346,3,3,51
5346,4,8,41
5346,9,9,38
5346,10,12,19
5346,13,13,98
5346,14,19,51
5346,20,22,41
5346,23,27,51
5346,28,42,38
5355,1,25,2
5355,26,26,19
5355,27,35,2
5355,36,36,19
5355,37,77,2
5355,78,78,99
5355,79,171,2
5355,172,172,42
5348,0,0,38
5348,1,1,98
5348,2,40,66
5348,41,51,25
5348,52,150,66
