season,series_id,race_id,race_id_short,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2002,NW,2002_Big_O_Tires_125,2002_01_NW,1,7,33,usa,Kevin_Hamlin,Kevin Hamlin,American Dream Motorsports,,Chevrolet,125,3850,running,17,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,2,3,73,usa,Gary_Lewis,Gary Lewis,Sign Factory USA,,Pontiac,125,2925,running,93,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,3,10,5,usa,Chris_Hart,Chris Hart,Yakima Implement / Speck,,Chevrolet,125,1875,running,11,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,4,10,39,canada,Pete_Harding,Pete Harding,LP Body Shop,,Chevrolet,125,1450,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,5,6,42,usa,Jeff_Jefferson,Jeff Jefferson,D & G Bodyworks,,Chevrolet,125,1350,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,6,1,31,usa,Shane_Biles,Shane Biles,Angel Racing,,Ford,125,1025,running,4,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,7,16,53,usa,Gaylon_Stewart,Gaylon Stewart,PSPInc.com,,Chevrolet,125,800,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,8,19,40,usa,Rick_Suran,Rick Suran,Eastside Paving,,Pontiac,125,875,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,9,12,9,usa,Kelly_Mann,Kelly Mann,InfoNet / KLM,,Chevrolet,125,650,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,10,14,2,usa,Joe_Benedetti,Joe Benedetti,RaceCals / Goodyear,,Pontiac,125,900,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,11,21,6,usa,Wes_Rhodes,Wes Rhodes,Lumberman's,,Chevrolet,125,750,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,12,9,36,usa,Ron_Fritzley,Ron Fritzley,J & R Truck Rentals,,Chevrolet,125,550,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,13,11,64,usa,Garrett_Evans,Garrett Evans,Leonard Evans Hyundai,,Chevrolet,124,675,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,14,24,10,usa,Kristi_Schmitt,Kristi Schmitt,World Wide Travel,,Chevrolet,124,490,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,15,25,28,usa,Matt_Hall,Matt Hall,NSF Resources,,Chevrolet,123,470,running,0,
2002,NW,2002_Big_O_Tires_125,2002_01_NW,16,23,87,usa,Travis_Powell,Travis Powell,Powell Awards,,Pontiac,123,470,running,0,
