<<<<<<< Updated upstream
season,series_id,race_num,race_date,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2023,B,1,02/18/23,Daytona,Daytona_International_Speedway,38,Austin Hill,hillau01,1,Chevrolet ,2.500,P,313,,182.563,8,132.524,25,https://www.racing-reference.info/race-results/2023_Beef_Its_What%27s_For_Dinner_300/B, https://www.racing-reference.info/tracks/Daytona_International_Speedway,https://www.racing-reference.info/driver/hillau01/
2023,B,2,02/26/23,Fontana,Auto_Club_Speedway,38,John Hunter Nemechek,nemecjo03,2,Toyota ,2.000,P,300,,NTT,10,115.471,23,https://www.racing-reference.info/race-results/2023_Production_Alliance_Group_300/B, https://www.racing-reference.info/tracks/Auto_Club_Speedway,https://www.racing-reference.info/driver/nemecjo03/
2023,B,3,03/04/23,Las Vegas,Las_Vegas_Motor_Speedway,38,Austin Hill,hillau01,9,Chevrolet ,1.500,P,300,,183.119,4,136.519,14,https://www.racing-reference.info/race-results/2023_Alsco_Uniforms_300/B, https://www.racing-reference.info/tracks/Las_Vegas_Motor_Speedway,https://www.racing-reference.info/driver/hillau01/
2023,B,4,03/11/23,Phoenix,Phoenix_Raceway,38,Sammy Smith,smithsa03,11,Toyota ,1.000,P,200,,,11,82.079,14,https://www.racing-reference.info/race-results/2023_United_Rentals_200/B, https://www.racing-reference.info/tracks/Phoenix_Raceway,https://www.racing-reference.info/driver/smithsa03/
=======
season,series_id,race_num,race_date,race_short_id,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2023,B,1,02/18/23,2023_01,Daytona,Daytona_International_Speedway,38,Austin Hill,hillau01,1,Chevrolet ,2.500,P,313,,182.563,8,132.524,25,https://www.racing-reference.info/race-results/2023_Beef_Its_What%27s_For_Dinner_300/B, https://www.racing-reference.info/tracks/Daytona_International_Speedway,https://www.racing-reference.info/driver/hillau01/
2023,B,2,02/26/23,2023_02,Fontana,Auto_Club_Speedway,38,John Hunter Nemechek,nemecjo03,2,Toyota ,2.000,P,300,,NTT,10,115.471,23,https://www.racing-reference.info/race-results/2023_Production_Alliance_Group_300/B, https://www.racing-reference.info/tracks/Auto_Club_Speedway,https://www.racing-reference.info/driver/nemecjo03/
2023,B,3,03/04/23,2023_03,Las Vegas,Las_Vegas_Motor_Speedway,38,Austin Hill,hillau01,9,Chevrolet ,1.500,P,300,,183.119,4,136.519,14,https://www.racing-reference.info/race-results/2023_Alsco_Uniforms_300/B, https://www.racing-reference.info/tracks/Las_Vegas_Motor_Speedway,https://www.racing-reference.info/driver/hillau01/
2023,B,4,03/11/23,2023_04,Phoenix,Phoenix_Raceway,38,Sammy Smith,smithsa03,11,Toyota ,1.000,P,200,,,11,82.079,14,https://www.racing-reference.info/race-results/2023_United_Rentals_200/B, https://www.racing-reference.info/tracks/Phoenix_Raceway,https://www.racing-reference.info/driver/smithsa03/
>>>>>>> Stashed changes
