vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
62,* Anthony Alfredo(i),Chevrolet,33,32,1,1,1601.663,1630.694,29.0309,1607.9645,1614.9713,7.0068,6.3015,15.7226,OTHER,False,False,False,False,0,0,21,21,0,5383
84,* Jimmie Johnson,Toyota,40,39,1,1,1904.06,1931.836,27.776,1915.3444,1918.5475,3.2031,11.2844,13.2884,OTHER,False,False,False,False,0,0,17,17,0,5383
45,Tyler Reddick,Toyota,40,39,1,1,1904.072,1932.901,28.829,1910.8066,1915.6113,4.8047,6.7346,17.2896,OTHER,False,False,False,False,0,0,18,19,-1,5383
54,Ty Gibbs,Toyota,40,39,1,1,1904.497,1932.552,28.0549,1917.7801,1922.2178,4.4376,13.2831,10.3341,OTHER,False,False,False,False,0,0,19,18,1,5383
43,Erik Jones,Toyota,40,39,1,1,1904.831,1932.991,28.16,1921.1834,1926.1884,5.0049,16.3524,6.8025,OTHER,False,False,False,False,0,0,20,20,0,5383
3,Austin Dillon,Chevrolet,41,40,1,1,1953.737,1982.188,28.451,1971.1335,1977.6732,6.5397,17.3965,4.5147,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,15,16,-1,5383
47,Ricky Stenhouse Jr.,Chevrolet,41,40,1,1,1953.999,1981.434,27.4349,1969.6987,1974.37,4.6712,15.6997,7.0639,OTHER,False,False,False,False,0,0,16,15,1,5383
31,Daniel Hemric,Chevrolet,43,42,1,1,2048.482,2076.254,27.7719,2057.989,2062.7603,4.7713,9.507,13.4936,OTHER,False,False,False,False,0,0,13,13,0,5383
44,* JJ Yeley(i),Chevrolet,43,42,1,1,2048.725,2076.603,27.878,2059.1902,2063.9281,4.7379,10.4652,12.6748,OTHER,False,False,False,False,0,0,14,14,0,5383
5,Kyle Larson,Chevrolet,43,43,1,1,2092.089,2118.347,26.258,2110.8085,2114.9793,4.1707,18.7195,3.3676,OTHER,False,False,False,False,0,0,5,5,0,5383
1,Ross Chastain,Chevrolet,43,43,1,1,2092.207,2119.594,27.387,2100.4316,2105.8036,5.3719,8.2246,13.7903,OTHER,False,False,False,False,0,0,6,7,-1,5383
99,Daniel Suarez,Chevrolet,43,43,1,1,2092.331,2119.275,26.9439,2099.8644,2104.7692,4.9048,7.5334,14.5057,OTHER,False,False,False,False,0,0,7,6,1,5383
48,Alex Bowman,Chevrolet,44,43,1,1,2092.825,2119.925,27.1,2098.5631,2103.0676,4.5044,5.7381,16.8574,OTHER,False,False,False,False,0,0,8,9,-1,5383
9,Chase Elliott,Chevrolet,44,43,1,1,2092.968,2119.638,26.67,2111.0755,2115.5465,4.471,18.1075,4.0914,OTHER,False,False,False,False,0,0,9,8,1,5383
77,Carson Hocevar #,Chevrolet,44,43,1,1,2093.389,2120.935,27.5459,2100.1647,2104.7025,4.5378,6.7757,16.2324,OTHER,False,False,False,False,0,0,10,10,0,5383
19,Martin Truex Jr.,Toyota,44,43,1,1,2093.9229,2129.132,35.209,2104.6358,2115.1696,10.5338,10.7128,13.9623,OTHER,False,False,False,False,0,0,11,12,-1,5383
7,Corey LaJoie,Chevrolet,44,43,1,1,2094.376,2121.85,27.4739,2109.1078,2114.2129,5.105,14.7318,7.637,OTHER,False,False,False,False,0,0,12,11,1,5383
22,Joey Logano,Ford,44,44,1,1,2140.174,2165.892,25.7179,2159.6585,2163.629,3.9705,19.4845,2.2629,OTHER,False,False,False,False,0,0,1,1,0,5383
38,Todd Gilliland,Ford,44,44,1,1,2140.747,2167.622,26.875,2157.6231,2162.0608,4.4377,16.8761,5.5611,OTHER,False,False,False,False,0,0,2,2,0,5383
41,Ryan Preece,Ford,44,44,1,1,2141.275,2168.305,27.0299,2154.2865,2158.5907,4.3042,13.0115,9.7142,OTHER,False,False,False,False,0,0,3,4,-1,5383
17,Chris Buescher,Ford,44,44,1,1,2141.458,2167.85,26.3919,2156.0549,2159.5584,3.5034,14.5969,8.2915,OTHER,False,False,False,False,0,0,4,3,1,5383
62,* Anthony Alfredo(i),Chevrolet,47,45,1,1,2308.95,2340.043,31.093,2315.6503,2323.6915,8.0411,6.7003,16.3514,OTHER,False,False,False,False,0,0,21,21,0,5383
3,Austin Dillon,Chevrolet,50,49,2,2,2460.521,2489.604,29.0829,2478.3831,2484.756,6.3728,17.8621,4.8479,OTHER,False,False,False,False,0,0,19,19,0,5383
84,* Jimmie Johnson,Toyota,51,51,2,2,2658.793,2698.458,39.6649,2670.0789,2687.2957,17.2168,11.2859,11.1622,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,14,17,-3,5383
19,Martin Truex Jr.,Toyota,51,51,2,2,2659.14,2695.614,36.474,2669.7119,2683.8925,14.1806,10.5719,11.7214,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,15,16,-1,5383
1,Ross Chastain,Chevrolet,51,51,2,2,2659.494,2692.273,32.7789,2667.7099,2678.6207,10.9108,8.2159,13.6522,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,17,14,3,5383
38,Todd Gilliland,Ford,51,51,2,2,2658.393,2694.438,36.045,2675.3175,2688.9974,13.6798,16.9245,5.4405,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,13,15,-2,5383
3,Austin Dillon,Chevrolet,51,51,2,2,2660.142,2705.0189,44.8769,2677.4529,2700.0079,22.555,17.3109,5.011,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,18,18,0,5383
3,Austin Dillon,Chevrolet,53,52,2,2,2801.851,2839.039,37.188,2819.5318,2834.4131,14.8813,17.6808,4.6258,OTHER,False,False,False,False,0,0,15,18,-3,5383
47,Ricky Stenhouse Jr.,Chevrolet,50,50,2,2,2527.851,0.0,0.0,2543.6161,3002.1006,458.4844,15.7651,0.0,OTHER,False,False,False,False,0,0,14,4,10,5383
20,Christopher Bell,Toyota,42,41,1,1,1992.773,2020.322,27.5489,1998.0641,2003.069,5.0049,5.2911,17.2529,OTHER,False,False,False,False,0,0,15,15,0,5384
16,AJ Allmendinger(i),Chevrolet,42,41,1,1,1993.538,2021.002,27.4639,2004.7707,2009.3419,4.5712,11.2327,11.66,OTHER,False,False,False,False,0,0,18,18,0,5384
23,Bubba Wallace,Toyota,42,41,1,1,1992.597,2020.697,28.0999,2002.0347,2006.9395,4.9048,9.4377,13.7574,OTHER,False,False,False,False,0,0,14,16,-2,5384
24,William Byron,Chevrolet,42,41,1,1,1992.848,2019.952,27.104,2005.5715,2009.3752,3.8037,12.7235,10.5767,OTHER,False,False,False,False,0,0,16,14,2,5384
42,John Hunter Nemechek,Toyota,42,41,1,1,1994.324,2023.285,28.961,2005.4714,2010.5764,5.105,11.1474,12.7085,OTHER,False,False,False,False,0,0,20,21,-1,5384
78,* BJ McLeod(i),Chevrolet,42,41,1,1,1994.633,2265.214,270.5809,2000.6666,2005.2378,4.5711,6.0336,259.9761,OTHER,False,False,False,False,0,0,21,20,1,5384
8,Kyle Busch,Chevrolet,42,41,1,1,1993.267,2020.755,27.488,2007.1063,2012.2113,5.1049,13.8393,8.5436,OTHER,False,False,False,False,0,0,17,17,0,5384
51,Justin Haley,Ford,42,41,1,1,1993.634,2022.417,28.7829,2010.2094,2014.3468,4.1374,16.5754,8.0701,OTHER,False,False,False,False,0,0,19,19,0,5384
71,Zane Smith #,Chevrolet,43,42,1,1,2041.195,2069.125,27.93,2051.5853,2055.5559,3.9705,10.3903,13.569,OTHER,False,False,False,False,0,0,10,11,-1,5384
4,Josh Berry #,Ford,43,42,1,1,2041.676,2069.387,27.711,2049.1163,2053.6207,4.5044,7.4403,15.7662,OTHER,False,False,False,False,0,0,12,12,0,5384
11,Denny Hamlin,Toyota,43,42,1,1,2040.428,2067.433,27.0049,2055.6226,2060.2938,4.6712,15.1946,7.1391,OTHER,False,False,False,False,0,0,8,8,0,5384
34,Michael McDowell,Ford,42,42,1,1,2038.633,2065.12,26.4869,2057.6913,2062.4626,4.7712,19.0583,2.6573,OTHER,False,False,False,False,0,0,6,6,0,5384
10,Noah Gragson,Ford,43,42,1,1,2041.697,2068.4119,26.7149,2059.4931,2063.1633,3.6702,17.7961,5.2486,OTHER,False,False,False,False,0,0,13,10,3,5384
2,Austin Cindric,Ford,42,42,1,1,2039.294,2066.529,27.2349,2057.8248,2062.863,5.0382,18.5308,3.6659,OTHER,False,False,False,False,0,0,7,7,0,5384
14,Chase Briscoe,Ford,43,42,1,1,2040.702,2067.706,27.004,2052.6197,2056.7905,4.1708,11.9177,10.9154,OTHER,False,False,False,False,0,0,9,9,0,5384
15,Riley Herbst(i),Ford,43,42,1,1,2041.543,2069.788,28.245,2059.8601,2065.4322,5.5721,18.3171,4.3557,OTHER,False,False,False,False,0,0,11,13,-2,5384
6,Brad Keselowski,Ford,43,43,1,1,2088.487,2114.567,26.0799,2095.03,2098.6669,3.6369,6.543,15.9,OTHER,False,False,False,False,0,0,3,2,1,5384
12,Ryan Blaney,Ford,43,43,1,1,2088.209,2114.305,26.096,2104.773,2108.6101,3.8371,16.564,5.6948,OTHER,False,False,False,False,0,0,2,1,1,5384
60,* David Ragan,Ford,43,43,1,1,2088.796,2115.507,26.711,2104.5061,2109.0773,4.5711,15.7101,6.4297,OTHER,False,False,False,False,0,0,4,4,0,5384
36,* Kaz Grala #,Ford,43,43,1,1,2090.658,2118.589,27.931,2096.8318,2101.2695,4.4377,6.1738,17.3194,OTHER,False,False,False,False,0,0,5,5,0,5384
21,Harrison Burton,Ford,43,43,1,1,2087.876,2115.267,27.3909,2096.6316,2100.7357,4.104,8.7556,14.5312,OTHER,False,False,False,False,0,0,1,3,-2,5384
21,Harrison Burton,Ford,47,47,2,2,2418.506,2455.934,37.428,2427.0415,2439.5538,12.5122,8.5355,16.3801,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,10,11,-1,5384
78,* BJ McLeod(i),Chevrolet,47,47,2,2,2421.665,2503.676,82.0109,2430.0445,2483.5954,53.5509,8.3795,20.0805,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,13,13,0,5384
24,William Byron,Chevrolet,47,47,2,2,2421.935,2495.193,73.258,2436.4174,2485.464,49.0465,14.4824,9.7289,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,14,12,2,5384
51,Justin Haley,Ford,47,47,2,2,2420.227,2517.154,96.927,2439.2201,2507.7217,68.5016,18.9931,9.4322,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,11,16,-5,5384
14,Chase Briscoe,Ford,48,47,2,2,2432.127,2515.402,83.275,2451.7993,2503.4482,51.6489,19.6723,11.9537,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,16,15,1,5384
60,* David Ragan,Ford,48,48,2,2,2572.8,2608.914,36.114,2588.9043,2602.2841,13.3798,16.1043,6.6298,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,8,15,-7,5384
23,Bubba Wallace,Toyota,47,47,2,2,2417.838,2569.902,152.0639,2427.1416,2556.3671,129.2255,9.3036,13.5348,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,9,17,-8,5384
16,AJ Allmendinger(i),Chevrolet,49,49,2,2,2706.288,2741.913,35.625,2716.969,2729.7817,12.8127,10.681,12.1312,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,6,15,-9,5384
23,Bubba Wallace,Toyota,50,49,2,2,2712.389,2819.82,107.431,2721.1732,2805.7079,84.5347,8.7842,14.112,OTHER,False,False,False,False,0,0,15,16,-1,5384
4,Josh Berry #,Ford,49,48,2,2,2664.421,0.0,0.0,2672.7234,2820.7647,148.0413,8.3024,0.0,OTHER,False,False,False,False,0,0,17,17,0,5384
98,Ty Majeski,Ford,40,40,2,2,3956.72,4000.272,43.552,3966.9287,3986.7481,19.8193,10.2087,13.5238,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,6,21,-15,5462
98,Ty Majeski,Ford,50,49,2,2,4896.937,4926.245,29.3079,4908.1236,4913.6624,5.5388,11.1866,12.5825,OTHER,False,False,False,False,0,0,18,25,-7,5462
98,Ty Majeski,Ford,58,58,2,2,5512.5739,5560.525,47.951,5523.3173,5547.5411,24.2238,10.7433,12.9838,OTHER,False,False,False,False,0,0,21,25,-4,5462
45,Johnny Sauter,Chevrolet,22,22,2,2,2007.675,2034.983,27.3079,2019.9362,2023.3729,3.4367,12.2612,11.61,OTHER,False,False,False,False,0,0,2,13,-11,5462
45,Johnny Sauter,Chevrolet,32,32,2,2,2831.8359,2873.958,42.122,2844.7463,2862.8306,18.0842,12.9103,11.1273,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,15,25,-10,5462
45,Johnny Sauter,Chevrolet,35,34,2,2,3102.184,3129.292,27.1079,3114.7883,3118.1583,3.3699,12.6043,11.1336,OTHER,False,False,False,False,0,0,24,26,-2,5462
45,Johnny Sauter,Chevrolet,58,58,2,2,5506.0959,5535.442,29.346,5518.3124,5523.9846,5.6721,12.2164,11.4573,OTHER,False,False,False,False,0,0,2,10,-8,5462
45,Johnny Sauter,Chevrolet,78,78,2,2,6964.029,0.0,0.0,7005.0591,7282.5932,277.5341,41.0301,0.0,OTHER,False,False,False,False,0,0,17,29,-12,5462
7,Corey LaJoie(i),Chevrolet,8,8,2,2,671.469,706.563,35.0939,689.6868,702.1658,12.479,18.2178,4.3971,OTHER,False,False,False,False,0,0,3,18,-15,5462
7,Corey LaJoie(i),Chevrolet,40,40,2,2,3957.043,3996.694,39.6509,3974.8698,3992.5204,17.6506,17.8268,4.1735,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,7,18,-11,5462
7,Corey LaJoie(i),Chevrolet,49,48,2,2,4766.31,4793.872,27.5619,4784.3297,4789.5682,5.2385,18.0197,4.3037,OTHER,False,False,False,False,0,0,18,26,-8,5462
7,Corey LaJoie(i),Chevrolet,58,58,2,2,5508.356,5537.816,29.46,5526.0533,5533.227,7.1737,17.6973,4.5889,OTHER,False,False,False,False,0,0,8,14,-6,5462
42,Matt Mills,Chevrolet,7,6,2,2,433.045,538.747,105.7019,438.933,520.2441,81.311,5.888,18.5028,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,26,31,-5,5462
42,Matt Mills,Chevrolet,9,8,2,2,689.0359,803.622,114.586,694.7919,785.8993,91.1074,5.7559,17.7226,OTHER,False,False,False,False,0,0,26,28,-2,5462
42,Matt Mills,Chevrolet,11,10,2,2,953.271,1003.749,50.478,959.1592,986.1855,27.0263,5.8882,17.5634,OTHER,False,False,False,False,0,0,25,28,-3,5462
42,Matt Mills,Chevrolet,32,32,2,2,2831.45,2949.369,117.919,2837.3392,2930.9647,93.6254,5.8892,18.4042,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,13,30,-17,5462
42,Matt Mills,Chevrolet,35,34,2,2,3104.166,3139.789,35.623,3109.7167,3121.3616,11.6448,5.5507,18.4273,OTHER,False,False,False,False,0,0,27,29,-2,5462
42,Matt Mills,Chevrolet,41,40,2,2,3967.114,4094.906,127.7919,3973.4694,4075.2493,101.7799,6.3554,19.6566,OTHER,False,False,False,False,0,0,27,30,-3,5462
42,Matt Mills,Chevrolet,43,42,2,2,4231.638,4296.2479,64.6099,4237.6386,4277.2779,39.6393,6.0006,18.97,OTHER,False,False,False,False,0,0,27,30,-3,5462
42,Matt Mills,Chevrolet,48,47,2,2,4644.818,4761.799,116.9809,4651.1612,4743.9893,92.8281,6.3432,17.8096,OTHER,False,False,False,False,0,0,30,30,0,5462
42,Matt Mills,Chevrolet,50,49,2,2,4905.034,4952.715,47.681,4911.4268,4934.8499,23.423,6.3928,17.865,OTHER,False,False,False,False,0,0,30,30,0,5462
42,Matt Mills,Chevrolet,59,58,2,2,5518.552,5653.707,135.155,5524.9522,5635.3533,110.4011,6.4002,18.3536,OTHER,False,False,False,False,0,0,28,29,-1,5462
42,Matt Mills,Chevrolet,75,74,2,2,6678.226,6827.77,149.544,6688.6379,6810.2053,121.5674,10.4119,17.5646,OTHER,False,False,False,False,0,0,28,29,-1,5462
42,Matt Mills,Chevrolet,81,79,2,2,7163.156,7297.31,134.154,7168.9291,7279.8693,110.9402,5.7731,17.4406,OTHER,False,False,False,False,0,0,27,28,-1,5462
42,Matt Mills,Chevrolet,83,81,2,2,7429.378,7540.726,111.3479,7435.334,7523.1063,87.7723,5.956,17.6196,OTHER,False,False,False,False,0,0,27,28,-1,5462
42,Matt Mills,Chevrolet,88,85,2,2,7850.673,7907.534,56.8609,7857.5286,7888.7259,31.1972,6.8556,18.808,OTHER,False,False,False,False,0,0,28,28,0,5462
18,Tyler Ankrum,Chevrolet,40,40,2,2,3954.721,3996.184,41.463,3969.1642,3987.7157,18.5515,14.4432,8.4682,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,1,17,-16,5462
18,Tyler Ankrum,Chevrolet,58,58,2,2,5511.8239,5543.447,31.623,5527.6882,5535.6961,8.0078,15.8642,7.7509,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,19,19,0,5462
18,Tyler Ankrum,Chevrolet,59,59,2,2,5659.109,5685.53,26.4209,5674.7397,5677.6426,2.9028,15.6307,7.8873,OTHER,False,False,False,False,0,0,19,18,1,5462
18,Tyler Ankrum,Chevrolet,94,93,2,2,8456.913,8516.015,59.1019,8472.1852,8507.5757,35.3904,15.2722,8.4392,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,23,23,0,5462
18,Tyler Ankrum,Chevrolet,95,94,2,2,8584.809,8656.244,71.435,8600.3823,8647.0282,46.6458,15.5733,9.2157,OTHER,False,False,False,False,0,0,23,23,0,5462
2,Nick Sanchez,Chevrolet,6,5,2,2,366.885,415.704,48.819,389.716,413.4337,23.7176,22.831,2.2702,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,33,29,4,5462
2,Nick Sanchez,Chevrolet,8,7,2,2,560.028,664.895,104.8669,580.0418,662.6247,82.5829,20.0138,2.2702,OTHER,False,False,False,False,0,0,26,28,-2,5462
2,Nick Sanchez,Chevrolet,17,16,2,2,1381.032,1434.987,53.955,1400.7412,1432.7167,31.9754,19.7092,2.2702,OTHER,False,False,False,False,0,0,20,26,-6,5462
2,Nick Sanchez,Chevrolet,40,40,2,2,3957.796,3997.999,40.2029,3976.9719,3995.8903,18.9184,19.1759,2.1086,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,9,19,-10,5462
2,Nick Sanchez,Chevrolet,49,48,2,2,4767.405,4793.59,26.185,4787.4328,4791.5368,4.104,20.0278,2.0531,OTHER,False,False,False,False,0,0,20,25,-5,5462
2,Nick Sanchez,Chevrolet,58,58,2,2,5507.342,5533.944,26.602,5526.854,5531.7922,4.9381,19.512,2.1517,OTHER,False,False,False,False,0,0,5,9,-4,5462
43,Daniel Dye,Chevrolet,16,16,2,2,1374.67,1406.131,31.461,1386.4606,1394.8355,8.3749,11.7906,11.2954,OTHER,False,False,False,False,0,0,7,20,-13,5462
43,Daniel Dye,Chevrolet,40,40,2,2,3955.962,4002.424,46.4619,3967.1289,3990.9856,23.8567,11.1669,11.4383,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,4,24,-20,5462
