vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost
48,Alex Bowman,Chevrolet,40,39,1,1,1939.905,1974.256,34.351,1959.4173,1972.1966,12.7792,19.5123,2.0593,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,17,17,0
24,William Byron,Chevrolet,22,21,1,1,1045.365,1074.4079,29.0429,1058.4676,1065.1076,6.6399,13.1026,9.3003,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,12,12,0
22,Joey Logano,Ford,30,30,1,1,1466.207,1495.159,28.952,1485.1991,1492.0057,6.8066,18.9921,3.1532,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,2,1,1
12,Ryan Blaney,Ford,30,30,1,1,1466.047,1496.526,30.479,1484.2982,1492.573,8.2747,18.2512,3.9529,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,1,4,-3
21,Harrison Burton,Ford,30,30,1,1,1466.836,1497.395,30.5589,1485.2325,1492.6063,7.3738,18.3965,4.7886,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,4,6,-2
23,Bubba Wallace,Toyota,30,30,1,1,1466.638,1497.969,31.331,1483.8978,1492.3728,8.4749,17.2598,5.5961,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,3,7,-4
17,Chris Buescher,Ford,30,30,1,1,1467.451,1496.988,29.537,1483.6309,1490.8046,7.1736,16.1799,6.1833,OTHER,False,False,False,False,0,0,5,5,0
1,Ross Chastain,Chevrolet,22,21,1,1,1046.5,1075.689,29.189,1053.9631,1060.7366,6.7735,7.4631,14.9523,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,15,14,1
4,Kevin Harvick,Ford,30,30,1,1,1467.614,1495.898,28.2839,1474.9224,1480.5946,5.6721,7.3084,15.3033,OTHER,False,False,False,False,0,0,6,2,4
54,Ty Gibbs #,Toyota,30,30,1,1,1471.837,1502.725,30.8879,1483.9989,1491.2393,7.2404,12.1619,11.4856,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,10,10,0
20,Christopher Bell,Toyota,30,30,1,1,1467.842,1496.337,28.4949,1483.3973,1489.1696,5.7723,15.5553,7.1673,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,7,3,4
84,* Jimmie Johnson,Chevrolet,22,21,1,1,1047.904,1077.892,29.988,1062.2047,1069.7455,7.5408,14.3007,8.1464,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,19,19,0
34,Michael McDowell,Ford,30,30,1,1,1468.256,1498.107,29.8509,1483.1304,1490.2707,7.1402,14.8744,7.8362,OTHER,False,False,False,False,0,0,8,8,0
43,Erik Jones,Chevrolet,22,21,1,1,1046.526,1076.463,29.9369,1055.6982,1062.8053,7.1071,9.1722,13.6576,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,16,16,0
36,* Zane Smith(i),Ford,30,30,1,1,1468.606,1499.741,31.1349,1479.7938,1487.1677,7.3739,11.1878,12.5732,OTHER,False,False,False,False,0,0,9,9,0
16,AJ Allmendinger,Chevrolet,22,21,1,1,1046.142,1079.471,33.3289,1058.8013,1069.3859,10.5845,12.6593,10.085,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,14,20,-6
3,Austin Dillon,Chevrolet,22,21,1,1,1046.957,1077.082,30.125,1057.5,1064.3402,6.8401,10.543,12.7417,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,18,18,0
47,Ricky Stenhouse Jr.,Chevrolet,22,21,1,1,1046.005,1075.586,29.5809,1055.4647,1062.2381,6.7734,9.4597,13.3478,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,13,13,0
51,Cody Ware,Ford,31,30,1,1,1489.436,1519.58,30.144,1495.5435,1503.251,7.7075,6.1075,16.3289,OTHER,False,False,False,False,0,0,11,19,-8
77,Ty Dillon,Chevrolet,22,21,1,1,1048.701,1076.7,27.999,1055.2978,1059.869,4.5712,6.5968,16.8309,OTHER,False,False,False,False,0,0,20,17,3
77,Ty Dillon,Chevrolet,56,55,1,1,2698.534,2764.041,65.507,2705.078,2747.2268,42.1488,6.544,16.8141,ONE_WHEEL_CHANGE,False,False,False,True,0,0,16,20,-4
13,* Chandler Smith(i),Chevrolet,22,21,1,1,1046.869,1076.073,29.204,1053.3291,1058.7679,5.4388,6.4601,17.305,OTHER,False,False,False,False,0,0,17,15,2
