vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
24,William Byron,Chv,4,4,2,2,420.857,446.537,25.68,431.915,434.715,2.8,11.058,11.822,OTHER,False,False,False,False,0,0,11,14,-3,5544
7, ,,4,4,2,2,-1.0,-1.0,-1.0,8.613,11.713,3.1,9.613,13.829,OTHER,False,False,False,False,0,0,0,0,0,5544
56,* Martin Truex Jr.,Tyt,4,4,2,2,421.825,449.265,27.44,432.555,436.075,3.52,10.73,13.19,OTHER,False,False,False,False,0,0,14,17,-3,5544
66,* Chandler Smith(i),Frd,4,4,2,2,422.466,452.864,30.398,427.875,434.735,6.86,5.409,18.129,OTHER,False,False,False,False,0,0,15,18,-3,5544
40,* Justin Allgaier(i),Chv,4,4,2,2,423.227,476.774,53.547,440.015,468.095,28.08,16.788,8.679,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,17,22,-5,5544
44,* JJ Yeley,Chv,4,4,2,2,424.503,454.539,30.036,431.655,437.015,5.36,7.152,17.524,OTHER,False,False,False,False,0,0,20,19,1,5544
91,* Helio Castroneves,Chv,4,4,2,2,425.304,456.738,31.434,432.135,439.395,7.26,6.831,17.343,OTHER,False,False,False,False,0,0,21,21,0,5544
1, ,,5,4,2,2,-1.0,-1.0,-1.0,3.441,7.641,4.2,4.441,19.117,OTHER,False,False,False,False,0,0,0,0,0,5544
38,Zane Smith,Frd,5,4,2,2,428.398,528.741,100.343,447.255,521.295,74.04,18.857,7.446,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,23,23,0,5544
54,Ty Gibbs,Tyt,5,5,2,2,546.088,572.261,26.173,561.075,564.155,3.08,14.987,8.106,OTHER,False,False,False,False,0,0,1,9,-8,5544
23,Bubba Wallace,Tyt,5,5,2,2,546.333,573.859,27.526,557.995,561.475,3.48,11.662,12.384,OTHER,False,False,False,False,0,0,2,13,-11,5544
45,Tyler Reddick,Tyt,5,5,2,2,546.617,572.729,26.112,555.295,558.815,3.52,8.678,13.914,OTHER,False,False,False,False,0,0,3,10,-7,5544
47,Ricky Stenhouse Jr.,Chv,5,5,2,2,546.912,575.435,28.523,551.675,556.375,4.7,4.763,19.06,OTHER,False,False,False,False,0,0,4,15,-11,5544
77,Carson Hocevar,Chv,5,5,2,2,547.724,576.422,28.698,554.395,559.215,4.82,6.671,17.207,OTHER,False,False,False,False,0,0,6,18,-12,5544
40,* Justin Allgaier(i),Chv,6,5,2,2,560.198,588.437,28.239,575.575,579.555,3.98,15.377,8.882,OTHER,False,False,False,False,0,0,21,21,0,5544
1, ,,6,5,2,2,-1.0,-1.0,-1.0,4.094,9.214,5.12,5.094,19.109,OTHER,False,False,False,False,0,0,0,0,0,5544
54,Ty Gibbs,Tyt,13,13,2,2,1034.58,1167.197,132.617,1049.455,1159.495,110.04,14.875,7.702,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,5,19,-14,5544
45,Tyler Reddick,Tyt,14,13,2,2,1037.925,1121.112,83.187,1047.555,1105.355,57.8,9.63,15.757,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,9,17,-8,5544
44,* JJ Yeley,Chv,14,13,2,2,1049.473,1130.834,81.361,1057.235,1113.535,56.3,7.762,17.299,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,17,18,-1,5544
77,Carson Hocevar,Chv,14,13,2,2,1050.075,1088.611,38.536,1057.855,1071.415,13.56,7.78,17.196,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,18,16,2,5544
60,Ryan Preece,Frd,15,14,2,2,1164.458,1267.096,102.638,1183.695,1262.255,78.56,19.237,4.841,OTHER,False,False,False,False,0,0,12,19,-7,5544
