season,series_id,race_num,race_date,race_short_id,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2004,V8,1,03/20/04,2004_01,Adelaide,Adelaide_Grand_Prix_Circuit,31,Marcos Ambrose,ambroma01,3,Ford ,3.219,S,251,,82.467,2,128.054,4,https://www.racing-reference.info/race-results/2004_Clipsal_500_Race_1/V8, https://www.racing-reference.info/tracks/Adelaide_Grand_Prix_Circuit,https://www.racing-reference.info/driver/ambroma01/
2004,V8,2,03/21/04,2004_02,Adelaide,Adelaide_Grand_Prix_Circuit,28,Marcos Ambrose,ambroma01,1,Ford ,3.219,S,251,,NTT,3,124.996,3,https://www.racing-reference.info/race-results/2004_Clipsal_500_Race_2/V8, https://www.racing-reference.info/tracks/Adelaide_Grand_Prix_Circuit,https://www.racing-reference.info/driver/ambroma01/
2004,V8,3,04/04/04,2004_03,Sydney,Eastern_Creek_Raceway,32,Rick Kelly,kellyri01,17,Holden ,3.930,R,263,,91.921,5,114.881,5,https://www.racing-reference.info/race-results/2004_Eastern_Creek/V8, https://www.racing-reference.info/tracks/Eastern_Creek_Raceway,https://www.racing-reference.info/driver/kellyri01/
2004,V8,4,05/02/04,2004_04,Pukekohe,Pukekohe_Park_Raceway,32,Marcos Ambrose,ambroma01,2,Ford ,2.841,R,102,,64.748,0,166.464,1,https://www.racing-reference.info/race-results/2004_Placemakers_V8_International_Race_1/V8, https://www.racing-reference.info/tracks/Pukekohe_Park_Raceway,https://www.racing-reference.info/driver/ambroma01/
2004,V8,5,05/02/04,2004_05,Pukekohe,Pukekohe_Park_Raceway,32,Jason Bright,brighja01,2,Holden ,2.841,R,102,,NTT,1,165.449,1,https://www.racing-reference.info/race-results/2004_Placemakers_V8_International_Race_2/V8, https://www.racing-reference.info/tracks/Pukekohe_Park_Raceway,https://www.racing-reference.info/driver/brighja01/
2004,V8,6,05/02/04,2004_06,Pukekohe,Pukekohe_Park_Raceway,32,Jason Bright,brighja01,1,Holden ,2.841,R,102,,NTT,0,175.346,0,https://www.racing-reference.info/race-results/2004_Placemakers_V8_International_Race_3/V8, https://www.racing-reference.info/tracks/Pukekohe_Park_Raceway,https://www.racing-reference.info/driver/brighja01/
2004,V8,7,05/22/04,2004_07,Darwin,Hidden_Valley_Raceway,32,Russell Ingall,ingalru01,5,Ford ,2.870,R,49,,69.119,0,144.362,1,https://www.racing-reference.info/race-results/2004_Hidden_Valley_Race_1/V8, https://www.racing-reference.info/tracks/Hidden_Valley_Raceway,https://www.racing-reference.info/driver/ingalru01/
2004,V8,8,05/23/04,2004_08,Darwin,Hidden_Valley_Raceway,32,Rick Kelly,kellyri01,6,Holden ,2.870,R,100,,NTT,0,142.302,7,https://www.racing-reference.info/race-results/2004_Hidden_Valley_Race_2/V8, https://www.racing-reference.info/tracks/Hidden_Valley_Raceway,https://www.racing-reference.info/driver/kellyri01/
2004,V8,9,05/23/04,2004_09,Darwin,Hidden_Valley_Raceway,32,Todd Kelly,kellto01,2,Holden ,2.870,R,100,,NTT,1,136.788,5,https://www.racing-reference.info/race-results/2004_Hidden_Valley_Race_3/V8, https://www.racing-reference.info/tracks/Hidden_Valley_Raceway,https://www.racing-reference.info/driver/kellto01/
2004,V8,10,06/12/04,2004_10,Wanneroo,Barbagallo_Raceway,32,Mark Skaife,skaifma01,2,Holden ,2.411,R,101,,55.922,1,138.020,3,https://www.racing-reference.info/race-results/2004_Barbagallo_Race_1/V8, https://www.racing-reference.info/tracks/Barbagallo_Raceway,https://www.racing-reference.info/driver/skaifma01/
2004,V8,11,06/13/04,2004_11,Wanneroo,Barbagallo_Raceway,32,Jason Bright,brighja01,2,Holden ,2.411,R,101,,NTT,2,135.714,7,https://www.racing-reference.info/race-results/2004_Barbagallo_Race_2/V8, https://www.racing-reference.info/tracks/Barbagallo_Raceway,https://www.racing-reference.info/driver/brighja01/
2004,V8,12,06/13/04,2004_12,Wanneroo,Barbagallo_Raceway,30,Jason Bright,brighja01,1,Holden ,2.411,R,101,,NTT,0,151.058,4,https://www.racing-reference.info/race-results/2004_Barbagallo_Race_3/V8, https://www.racing-reference.info/tracks/Barbagallo_Raceway,https://www.racing-reference.info/driver/brighja01/
