race_id,start_lap,end_lap,reason,comment,beneficiary_car_number,flag_state
4770,9,12,Weather,Weather [Red Flag: 21:31],None,2
4770,27,32,Unknown,Lap 25 Segment Conclusion,None,2
4770,41,47,Weather,Weather [Red Flag 8:05],None,2
4770,57,59,Unknown,"#2, 3, 4, 6, 9, 10, 11, 14, 18, 19, 20, 21, 40, 41, 42, 48, 88 Incident Backstretch",None,2
4771,27,29,Unknown,"#18, 48 Incident Backstretch",31,2
4773,22,24,Debris,Debris Turn 2,52,2
4773,51,53,Unknown,"#43, 1, 40, 17, 31, 3 Incident Turn 2 ",52,2
4773,62,65,Unknown,Stage 1 Conclusion ,1,2
4773,108,111,Unknown,"#27, 96 Incident Turn 1",36,2
4773,122,125,Unknown,Stage 2 Conclusion,38,2
4773,160,167,Unknown,"#31, 17, 51, 52, 48 Incident Pit Road",37,2
4773,175,177,Debris,Debris Turn 3,48,2
4773,182,184,Unknown,#42 Incident Turn 3,48,2
4773,188,190,Unknown,#2 Incident Frontstretch,20,2
4773,192,194,Unknown,"#95, 21, 20, 12, 36, 41, 3, 6, 10, 38, 17, 47, 37, 8, 19, 9, 48, 24, 13, 22, 42 Incident Turn 3 [Red: 24:57]",2,2
4773,196,198,Unknown,"#17, 42, 9, 88, 4, 13, 2 Incident Turn 3",20,2
4773,200,205,Unknown,"14, 34, 9, 00, 24, 40, 2, 62, 34 Incident Turn 3 [Red: 14:41]",6,2
4774,37,40,Competition,Competition,36,2
4774,87,92,Unknown,Stage 1 Conclusion,34,2
4774,172,177,Unknown,Stage 2 Conclusion,38,2
4774,223,227,Debris,Debris on Backstretch,41,2
4774,274,282,Unknown,Fluid on Pit Road,2,2
4775,82,87,Unknown,Stage 1 Conclusion,43,2
4775,162,167,Unknown,Stage 2 Conclusion,95,2
4776,39,44,Spin,#20 Spin Turn 2,37,2
4776,65,70,Unknown,#2 Incident Turn 1,52,2
4776,77,83,Unknown,Stage 1 Conclusion,2,2
4776,149,157,Unknown,#88 Incident Turn 1,None,2
4776,160,165,Unknown,#34 Incident Turn 3,37,2
4776,195,200,Unknown,#88 Incident Turn 3,24,2
4776,220,225,Spin,#9 Spin Turn 4,43,2
4776,227,232,Unknown,#47 Incident Backstretch,2,2
4776,234,238,Unknown,#47 Incident Turn 1,36,2
4777,57,59,Debris,#3 Debris Turn 1,37,2
4777,61,68,Unknown,"#17, #19, #20, #42 Incident Turn 2 (Stage 1 Conclusion)",47,2
4777,122,127,Unknown,Stage 2 Conclusion,17,2
4777,165,169,Debris,#43 Debris Turn 1,1,2
4778,66,71,Unknown,#34 Incident Turn 4,6,2
