race_id,start_lap,end_lap,reason,comment,beneficiary_car_number,flag_state
5401,122,128,Spin,#42 Spin Turn 4,3,2
5401,130,134,Accident,"#12, 17, 19 Incident Turn 2",41,2
5401,164,169,Accident,#71 Incident Frontstretch,21,2
5401,187,193,Competition,Stage 2 Conclusion,42,2
5401,255,260,Accident,#5 Incident Turn 3,47,2
5404,52,57,Competition,Competition Break,31,2
5404,60,64,Accident,"#2, 10 Incident Frontstretch",66,2
5405,3,10,Accident,"#47, 8 Incident Turn 2",None,2
5405,102,108,Competition,Competition Break,34,2
5405,119,123,Accident,"#54, 8 Incident Turn 1",None,2
5405,152,158,Competition,Competition Break,None,2
5406,88,93,Spin,#66 spin turn 4,84,2
5406,102,110,Competition,Stage 1 Conclusion,71,2
5406,159,164,Unknown,#12 stopped on pit road,15,2
5406,172,176,Accident,"#10 , 47 incident backstretch",15,2
5406,197,206,Spin,#21 spin backstretch / Stage 2 Conclusion,7,2
5406,230,235,Accident,#7 incident turn 2,21,2
5406,246,249,Unknown,Precipitation,7,2
5407,4,7,Accident,"42, 15 Incident Turn 2 ",None,2
5407,18,22,Accident,"16, 15 Incident Backstretch ",None,2
5407,47,54,Competition,Stage 1 Conclusion,15,2
5407,113,119,Accident,4 Incident Turn 3,47,2
5407,141,148,Accident,"5, 8 Incident Turn 2/ Stage 2 Conclusion",16,2
5408,4,6,Unknown,Fluid On Track From #11,None,2
5408,17,18,Accident,#54 Incident Turn 1,None,2
5408,20,22,Accident,"#2, 21, 22, 14, 47 Incident Turn 3A",42,2
5408,27,29,Competition,Stage 1 Conclusion,42,2
5408,33,34,Unknown,#33 Stopped On Track,None,2
5408,36,39,Accident,"#4, 3, 20, 24, 60, 19, 43 Incident Turn 11",None,2
5408,41,42,Accident,"#2, 34, 10 Incident Turn 8A",24,2
5408,57,59,Competition,Stage 2 Conclusion,33,2
5386,5,9,Accident,"No. 7, 71 Incident Turn 2",None,2
5386,53,58,Accident,No. 16 Incident Turn 1,77,2
5386,72,77,Competition,Stage 1 Conclusion,None,2
5386,81,86,Accident,"No. 10, 42, 54 Incident Turn 4",None,2
5386,183,188,Accident,No. 31 Incident Turn 2,8,2
5386,212,218,Competition,Stage 2 Conclusion,1,2
5386,221,227,Accident,"No. 5, 8, 11, 99 Incident Frontstretch",34,2
5386,261,266,Accident,No. 17 Incident Turn 1,11,2
5412,72,77,Competition,Stage 1 Conclusion,2,2
5412,143,148,Spin,#31 Spin Turn 2,43,2
5412,155,159,Accident,"#8, 10 Incident Turn 2",3,2
5412,187,193,Competition,Stage 2 Conclusion,8,2
5412,195,199,Accident,"#9, 22, Incident Turn 2",15,2
5412,202,205,Spin,#7 Spin Backstretch,16,2
