race_id,start_lap,end_lap,reason,comment,beneficiary_car_number,flag_state
5143,53,53,Accident,"#47, 21 Incident Turn 4",34,2
5143,65,65,Spin,#9 Spin Turn 2,15,2
5143,75,75,Competition,Stage Conclusion,19,2
5143,115,115,Unknown,#12 Slow On Track,47,2
5143,116,116,Accident,"#5, 31 Incident Frontstretch",47,2
5145,60,60,Accident,"#17, 22, 21, 34 Incident Turn 2",None,2
5146,42,45,Accident,"#2, 14, 50 Incident Turn 2",16,2
5146,53,56,Debris,Debris Turn 1,27,2
5146,64,71,Accident,"#1, 6, 11, 18, 20, 21, 24, 48 Incident Backstretch / Stage 1 Conclusion",16,2
5146,132,137,Competition,Stage 2 Conclusion,16,2
5146,152,159,Accident,"#8, 19, 22, 27, 45 Incident Frontstretch",15,2
5146,192,194,Accident,"#4, 5, 9, 38, 43, 62 Incident Frontstretch [Red: 00:05:32]",7,2
5146,196,199,Accident,"#6, 17, 47 Incident Frontstretch",77,2
5147,16,19,Spin,#18 Spin Turn 2 / Competition,None,2
5147,39,42,Spin,#9 Spin Turn 2,78,2
5147,54,57,Spin,#77 Spin Turn 2,15,2
5147,67,73,Competition,Stage 1 Conclusion,9,2
5147,92,96,Accident,#20 Incident Turn 4,9,2
5147,112,115,Accident,#17 Incident Turn 2,77,2
5147,117,121,Accident,"#6, 22 Incident Frontstretch",77,2
5147,132,136,Competition,Stage 2 Conclusion,77,2
5147,153,156,Accident,"#8, 24 Incident Turn 2",10,2
5147,159,165,Accident,"#2, 6, 21, 23 Incident Turn 2",16,2
5147,173,178,Spin,#1 Spin Turn 4,18,2
5147,193,196,Spin,#9 Spin Turn 2,18,2
5148,32,35,Competition,Competition Caution,44,2
5148,39,42,Spin,#41 Spin in Turn 2,77,2
5148,44,47,Accident,"#3, 16, 18 and 31 Incident on the Backstretch",41,2
5148,65,68,Spin,#8 Spin in Turn 4,78,2
5148,82,87,Competition,Stage 1 Conclusion,15,2
5148,94,97,Accident,#14 and 99 Incident on the Frontstretch,None,2
5148,105,109,Accident,#6 and 12 Incident in Turn 4,None,2
5148,136,139,Accident,"#2, 14 and 21 Incident in Turn 4",16,2
5148,143,147,Spin,#20 Spin on the Backstretch,2,2
5148,167,174,Competition,Stage 2 Conclusion,20,2
5148,222,226,Unknown,#11 Stalled in Turn 2,24,2
5148,266,272,Accident,#23 and 43 Incident on the Frontstretch,17,2
5149,27,31,Competition,Competition Caution,51,2
5149,47,52,Debris,Debris from #7,15,2
5149,62,69,Competition,Stage 1 Conclusion,78,2
5149,120,125,Spin,#20 Spin Backstretch,6,2
5149,187,194,Competition,Stage 2 Conclusion,42,2
5149,222,229,Accident,#19 Incident Basckstretch,31,2
5149,287,292,Accident,#43 Incident Backstretch,31,2
5149,305,309,Spin,#9 Spin Backstretch,16,2
5150,25,30,Accident,#16 Incident in Turn 2,None,2
5150,47,51,Competition,Competition Caution,None,2
5150,96,100,Accident,#1 Incident in Turn 1,51,2
5150,102,110,Accident,"#3, 14, 18 and 42 Incident on the Frontstretch ",None,2
5150,146,153,Unknown,"#2, 5, 7, 8, 11, 20, 21, 22, 34. 38, 41, 45, 48 Inisdent on the Frontstretch",1,2
5150,157,161,Debris,Debris on the Frontstretch from #8,1,2
5150,202,207,Accident,"#2, 4, 43. 47 and 99 Incident in Turn 4",22,2
5150,210,216,Accident,"#5, 9 and 11 Incident on the Frontstretch ",48,2
5150,255,259,Debris,Debris in Turn 3 and 4,15,2
5150,302,306,Accident,#38 and 51 Incident in Turn 2,4,2
5150,309,312,Accident,#10 and 99 Incident on the Frontstretch ,4,2
5151,17,17,Competition,Conclusion of Stage 1,None,2
5151,32,32,Competition,Conclusion of Stage 2,None,2
5151,35,36,Debris,Debris on track in Turn 11,None,2
5151,42,43,Unknown,#43 stopped on the back stretch,20,2
5151,46,46,Debris,Debris on track in Turn 16,43,2
5151,55,56,Unknown,#47 stuck on the backstretch,None,2
5151,59,59,Unknown,Possible fluid on the front stretch ,None,2
5151,64,65,Unknown,#27 stopped in Turn 3,None,2
5151,67,67,Accident,"Accident involving the #22, #45 and #5 in Turn 1",None,2
5152,11,15,Unknown,#45 Stopped on backstretch,31,2
5152,72,80,Competition,Stage 1 Conclusion,41,2
5152,232,240,Competition,Stage 2 Conclusion,3,2
5152,247,252,Accident,"#43, #51, #57 Incident Turn 2",14,2
5152,258,263,Accident,"#2, #41, #42 Incident Backstretch",None,2
5153,82,91,Competition,Stage 1 Conclusion,34,2
5153,182,192,Competition,Stage 2 Conclusion ,38,2
5153,313,320,Unknown,#11 stalled on frontstretch ,6,2
5153,395,401,Accident,#38 incident Turn 4,5,2
5154,15,25,Competition,Competition,10,2
5154,51,55,Spin,#14 Spin Turn 2,78,2
5154,76,76,Accident,#77 Incident Turn 3 / Stage 1 Conclusion,4,2
5154,93,96,Spin,#48 Spin Turn 4,41,2
5154,99,105,Accident,"#4, 7, 16, 48 Incident Backstretch",51,2
5154,115,118,Accident,"#3, 6 Incident Turn 2",16,2
5154,127,131,Debris,Debris Backstretch,10,2
5154,133,139,Accident,"#7, 21, 23 Incident Backstretch",16,2
5154,151,151,Competition,Stage 2 Conclusion,16,2
5154,163,167,Accident,"#9, 47, 51, 99 Incident Turn 3",16,2
5154,170,175,Accident,#43 Incident Turn 2,51,2
5154,179,183,Spin,#38 Spin Turn 2,16,2
5154,204,210,Accident,#47 Incident Turn 2,16,2
5154,213,226,Accident,"#3, 10, 45 Incident Turn 1 [Red Flag: 00:16:51]",19,2
