season,series_id,race_num,race_date,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
1965,UO,1,03/28/65,Phoenix,Phoenix_International_Raceway,24,Don Branson,bransdo01,5,Watson / Offy ,1.000,P,150,15940,117.493,,106.456,4,https://www.racing-reference.info/race-results/1965_Jimmy_Bryan_Memorial/UO, https://www.racing-reference.info/tracks/Phoenix_International_Raceway,https://www.racing-reference.info/driver/bransdo01/
1965,UO,2,04/25/65,Trenton,Trenton_Speedway,21,Jim McElreath,mcelrji01,2,Brabham / Offy ,1.000,P,87,22880,114.105,,97.186,3,https://www.racing-reference.info/race-results/1965_Trenton_100/UO, https://www.racing-reference.info/tracks/Trenton_Speedway,https://www.racing-reference.info/driver/mcelrji01/
1965,UO,3,05/31/65,Indianapolis,Indianapolis_Motor_Speedway,33,Jim Clark,clarkji02,2,Lotus / Ford ,2.500,P,500,627199,161.233,,150.686,5,https://www.racing-reference.info/race-results/1965_Indianapolis_500/UO, https://www.racing-reference.info/tracks/Indianapolis_Motor_Speedway,https://www.racing-reference.info/driver/clarkji02/
1965,UO,4,06/06/65,Milwaukee,Milwaukee_Mile,22,Parnelli Jones,jonespa01,6,Lotus / Ford ,1.000,P,100,37514,110.756,,101.743,1,https://www.racing-reference.info/race-results/1965_Rex_Mays_Classic/UO, https://www.racing-reference.info/tracks/Milwaukee_Mile,https://www.racing-reference.info/driver/jonespa01/
1965,UO,5,06/20/65,Langhorne,Langhorne_Speedway,22,Jim McElreath,mcelrji01,2,Brabham / Offy ,1.000,P,100,31014,118.188,,,3,https://www.racing-reference.info/race-results/1965_Langhorne_100/UO, https://www.racing-reference.info/tracks/Langhorne_Speedway,https://www.racing-reference.info/driver/mcelrji01/
1965,UO,6,07/04/65,Pikes Peak,Pikes_Peak,25,Al Unser,unseral01,1,Ford ,12.420,H,12,6800,,,57.745,0,https://www.racing-reference.info/race-results/1965_Pikes_Peak_Hill_Climb/UO, https://www.racing-reference.info/tracks/Pikes_Peak,https://www.racing-reference.info/driver/unseral01/
1965,UO,7,07/18/65,Trenton,Trenton_Speedway,24,A.J. Foyt,foyta.01,1,Lotus / Ford ,1.000,P,150,21834,112.641,3,98.522,0,https://www.racing-reference.info/race-results/1965_Trenton_150/UO, https://www.racing-reference.info/tracks/Trenton_Speedway,https://www.racing-reference.info/driver/foyta.01/
1965,UO,8,07/25/65,IRP,Indianapolis_Raceway_Park,24,Mario Andretti,andrema01,1,Brawner / Ford ,1.875,R,150,14997,111.626,,101.656,4,https://www.racing-reference.info/race-results/1965_Hoosier_Grand_Prix/UO, https://www.racing-reference.info/tracks/Indianapolis_Raceway_Park,https://www.racing-reference.info/driver/andrema01/
1965,UO,9,08/01/65,Atlanta,Atlanta_International_Raceway,29,Johnny Rutherford,ruthejo01,5,Watson / Ford ,1.500,P,251,56720,166.512,3,141.728,3,https://www.racing-reference.info/race-results/1965_Atlanta_Championship_250/UO, https://www.racing-reference.info/tracks/Atlanta_International_Raceway,https://www.racing-reference.info/driver/ruthejo01/
1965,UO,10,08/08/65,Langhorne,Langhorne_Speedway,22,Jim McElreath,mcelrji01,5,Brabham / Offy ,1.000,P,125,15750,121.049,1,104.857,1,https://www.racing-reference.info/race-results/1965_Langhorne_125/UO, https://www.racing-reference.info/tracks/Langhorne_Speedway,https://www.racing-reference.info/driver/mcelrji01/
