season,series_id,race_num,race_date,race_short_id,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2000,SE,1,02/26/00,2000_01,Homestead,Homestead-Miami_Speedway,30,Scott Hansen,hansesc01,1,Ford ,1.500,P,150,,146.104,3,114.504,6,https://www.racing-reference.info/race-results/2000_Miami_150/SE, https://www.racing-reference.info/tracks/Homestead-Miami_Speedway,https://www.racing-reference.info/driver/hansesc01/
2000,SE,2,03/26/00,2000_02,Coastal Plains,Coastal_Plains_Raceway,28,"Billy Bigley, Jr.",biglebi01,9,Chevrolet ,0.400,P,80,,94.981,7,58.170,6,https://www.racing-reference.info/race-results/2000_New_Century_Homes_200/SE, https://www.racing-reference.info/tracks/Coastal_Plains_Raceway,https://www.racing-reference.info/driver/biglebi01/
2000,SE,3,04/22/00,2000_03,Greenville,Greenville-Pickens_Speedway,32,"Billy Bigley, Jr.",biglebi01,1,Chevrolet ,0.500,P,101,,92.317,8,62.926,0,https://www.racing-reference.info/race-results/2000_B_And_B_Pools_200/SE, https://www.racing-reference.info/tracks/Greenville-Pickens_Speedway,https://www.racing-reference.info/driver/biglebi01/
2000,SE,4,04/29/00,2000_04,Lakeland,USA_International_Speedway,29,Jeff Fultz,fultzje01,7,Chevrolet ,0.750,P,150,,128.602,5,95.779,6,https://www.racing-reference.info/race-results/2000_Discount_Auto_Parts_200_Presented_by_ROL_Gaskets/SE, https://www.racing-reference.info/tracks/USA_International_Speedway,https://www.racing-reference.info/driver/fultzje01/
2000,SE,5,05/13/00,2000_05,Memphis,Memphis_Motorsports_Park,27,Scott Hansen,hansesc01,6,Ford ,0.750,P,78,,121.109,5,67.064,5,https://www.racing-reference.info/race-results/2000_Memphis_Motorsports_Park_100/SE, https://www.racing-reference.info/tracks/Memphis_Motorsports_Park,https://www.racing-reference.info/driver/hansesc01/
2000,SE,6,06/10/00,2000_06,Lanier,Lanier_National_Speedway,30,"Billy Bigley, Jr.",biglebi01,10,Chevrolet ,0.375,P,77,,98.923,13,63.205,2,https://www.racing-reference.info/race-results/2000_RE-MAX_Slim_Jim_200/SE, https://www.racing-reference.info/tracks/Lanier_National_Speedway,https://www.racing-reference.info/driver/biglebi01/
2000,SE,7,06/16/00,2000_07,Kentucky,Kentucky_Speedway,29,"Billy Bigley, Jr.",biglebi01,3,Chevrolet ,1.500,P,153,,150.038,4,111.747,12,https://www.racing-reference.info/race-results/2000_Kentucky_150/SE, https://www.racing-reference.info/tracks/Kentucky_Speedway,https://www.racing-reference.info/driver/biglebi01/
2000,SE,8,07/08/00,2000_08,Montgomery,Montgomery_Motor_Speedway,26,Wayne Anderson,anderwa01,2,Chevrolet ,0.500,P,100,,92.029,8,65.371,7,https://www.racing-reference.info/race-results/2000_Jasper_Engines_And_Transmissions_200/SE, https://www.racing-reference.info/tracks/Montgomery_Motor_Speedway,https://www.racing-reference.info/driver/anderwa01/
2000,SE,9,07/15/00,2000_09,Louisville,Louisville_Motor_Speedway,26,Jeff Fultz,fultzje01,5,Chevrolet ,0.438,P,134,,109.261,11,77.975,6,https://www.racing-reference.info/race-results/2000_NAPA_Auto_Parts_300/SE, https://www.racing-reference.info/tracks/Louisville_Motor_Speedway,https://www.racing-reference.info/driver/fultzje01/
2000,SE,10,07/29/00,2000_10,Caraway,Caraway_Speedway,26,Wayne Anderson,anderwa01,1,Chevrolet ,0.455,P,91,,101.192,6,70.634,4,https://www.racing-reference.info/race-results/2000_Caraway_200/SE, https://www.racing-reference.info/tracks/Caraway_Speedway,https://www.racing-reference.info/driver/anderwa01/
2000,SE,11,08/12/00,2000_11,Greenville,Greenville-Pickens_Speedway,32,Wayne Anderson,anderwa01,1,Chevrolet ,0.500,P,100,,91.841,8,61.027,2,https://www.racing-reference.info/race-results/2000_Cintas_200/SE, https://www.racing-reference.info/tracks/Greenville-Pickens_Speedway,https://www.racing-reference.info/driver/anderwa01/
2000,SE,12,08/23/00,2000_12,Bristol,Bristol_Motor_Speedway,32,Wayne Anderson,anderwa01,14,Chevrolet ,0.533,P,133,,122.154,7,80.043,3,https://www.racing-reference.info/race-results/2000_Reel_Saver_250/SE, https://www.racing-reference.info/tracks/Bristol_Motor_Speedway,https://www.racing-reference.info/driver/anderwa01/
2000,SE,13,09/16/00,2000_13,Coastal Plains,Coastal_Plains_Raceway,23,Wayne Anderson,anderwa01,1,Chevrolet ,0.400,P,80,,95.968,7,68.801,2,https://www.racing-reference.info/race-results/2000_Coastal_Plains_200/SE, https://www.racing-reference.info/tracks/Coastal_Plains_Raceway,https://www.racing-reference.info/driver/anderwa01/
2000,SE,14,09/30/00,2000_14,Nashville,Nashville_Speedway,40,Eddie Hoffman,hoffmed01,13,Chevrolet ,0.596,P,119,,116.324,9,70.428,1,https://www.racing-reference.info/race-results/2000_NASCAR_All_Pro_200/SE, https://www.racing-reference.info/tracks/Nashville_Speedway,https://www.racing-reference.info/driver/hoffmed01/
2000,SE,15,11/05/00,2000_15,Nashville,Nashville_Speedway,41,Mike Garvey,garvemi01,12,Chevrolet ,0.596,P,241,,116.914,15,74.584,17,https://www.racing-reference.info/race-results/2000_MBNA_All_American_400/SE, https://www.racing-reference.info/tracks/Nashville_Speedway,https://www.racing-reference.info/driver/garvemi01/
