race_id,weekend_run_id,timing_run_id,run_type,run_name,run_date,run_date_utc,run_id,car_number,vehicle_number,manufacturer,driver_id,driver_name,finishing_position,best_lap_time,best_lap_speed,best_lap_number,laps_completed,comment,delta_leader,disqualified
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,3,,,3873,,1,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,11,,,1361,,2,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,22,,,3859,,3,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,20,,,4059,,4,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,48,,,1717,,5,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,78,,,3368,,6,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,95,,,1772,,7,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,17,,,3888,,8,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,4,,,1416,,9,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,42,,,4030,,10,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,31,,,2394,,11,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,9,,,4062,,12,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,18,,,454,,13,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,41,,,453,,14,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,12,,,4023,,15,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,1,,,2208,,16,0.0,0.0,0,0,,0.0,
4673,3889,999,2,NASCAR The Clash at Daytona,2018-02-10T10:35:00,,3889,2,,,1816,,17,0.0,0.0,0,0,,0.0,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,12,,,4023,,1,45.09,199.601,11,21,,0.0,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,22,,,3859,,2,45.103,199.543,14,34,,-0.013,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,17,,,3888,,3,45.111,199.508,26,44,,-0.021,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,2,,,1816,,4,45.115,199.49,15,34,,-0.025,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,42,,,4030,,5,45.12,199.468,30,39,,-0.03,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,95,,,1772,,6,45.12,199.468,13,27,,-0.03,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,41,,,453,,7,45.178,199.212,10,25,,-0.088,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,18,,,454,,8,45.298,198.684,14,26,,-0.208,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,11,,,1361,,9,45.358,198.421,9,18,,-0.268,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,20,,,4059,,10,45.363,198.4,14,19,,-0.273,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,78,,,3368,,11,45.376,198.343,20,23,,-0.286,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,48,,,1717,,12,45.52,197.715,28,35,,-0.43,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,1,,,2208,,13,45.673,197.053,27,36,,-0.583,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,4,,,1416,,14,45.678,197.031,20,20,,-0.588,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,9,,,4062,,15,45.918,196.002,20,26,,-0.828,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,31,,,2394,,16,46.375,194.07,20,34,,-1.285,
4673,3890,9,1,MENCS Clash Final Practice,2018-02-10T10:35:00,,3890,3,,,3873,,17,46.534,193.407,25,25,,-1.444,
