race_id,weekend_run_id,timing_run_id,run_type,run_name,run_date,run_date_utc,run_id,car_number,vehicle_number,manufacturer,driver_id,driver_name,finishing_position,best_lap_time,best_lap_speed,best_lap_number,laps_completed,comment,delta_leader,disqualified
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,9,9,Chevrolet,4062,Chase Elliott,1,13.455,66.89,93,103,,0.0,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,4,4,Ford,1416,Kevin Harvick,2,13.457,66.88,103,105,,-0.002,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,14,14,Ford,4228,Chase Briscoe,3,13.47,66.815,98,99,,-0.015,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,31,31,Chevrolet,4172,Justin Haley,4,13.47,66.815,100,103,,-0.015,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,18,18,Toyota,454,Kyle Busch,5,13.482,66.756,97,105,,-0.027,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,8,8,Chevrolet,4065,Tyler Reddick,6,13.503,66.652,109,111,,-0.048,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,5,5,Chevrolet,4030,Kyle Larson,7,13.513,66.602,87,96,,-0.058,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,77,77,Chevrolet,3808,Landon Cassill,8,13.532,66.509,106,108,,-0.077,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,12,12,Ford,4023,Ryan Blaney,9,13.546,66.44,72,93,,-0.091,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,11,11,Toyota,1361,Denny Hamlin,10,13.565,66.347,99,102,,-0.11,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,99,99,Chevrolet,4113,Daniel Suarez,11,13.57,66.323,101,106,,-0.115,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,41,41,Ford,4104,Cole Custer,12,13.571,66.318,88,89,,-0.116,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,51,51,Ford,4125,Cody Ware,13,13.572,66.313,83,84,,-0.117,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,7,7,Chevrolet,4096,Corey Lajoie,14,13.583,66.259,98,102,,-0.128,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,15,15,Ford,4070,Ryan Preece,15,13.587,66.24,64,74,,-0.132,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,38,38,Ford,4231,Todd Gilliland,16,13.592,66.215,99,100,,-0.137,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,34,34,Ford,3832,Michael McDowell,17,13.611,66.123,87,90,,-0.156,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,45,45,Toyota,453,Kurt Busch,18,13.617,66.094,97,99,,-0.162,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,3,3,Chevrolet,3873,Austin Dillon,19,13.618,66.089,97,106,,-0.163,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,20,20,Toyota,4153,Christopher Bell,20,13.626,66.05,96,102,,-0.171,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,17,17,Ford,3989,Chris Buescher,21,13.638,65.992,90,93,,-0.183,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,24,24,Chevrolet,4184,William Byron,22,13.64,65.982,89,90,,-0.185,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,47,47,Chevrolet,3888,Ricky Stenhouse Jr,23,13.646,65.953,88,93,,-0.191,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,43,43,Chevrolet,4059,Erik Jones,24,13.652,65.924,70,71,,-0.197,False
5143,5059,0,1,Final Practice,2022-02-05T09:30:00,2022-02-05T17:30:00,5059,48,48,Chevrolet,4045,Alex Bowman,25,13.66,65.886,92,93,,-0.205,False
