race_id,car_number,driver_fullname,driver_id,lap,lap_assessed,penalty,notes
5013,47,Ricky Stenhouse Jr,3888,27,30,Tail End,
5013,7,Corey Lajoie,4096,27,30,Tail End,
5013,00,Quin Houff,4229,27,30,Tail End,
5013,4,Kevin Harvick,1416,29,30,Tail End,
5013,42,Ross Chastain,4001,109,112,Tail End,Uncontrolled Tire
5013,1,Kurt Busch,453,113,0,Tail End,Garage
5013,52,Josh Bilicki,4213,116,118,Tail End,
5013,66,Timmy Hill,3984,116,118,Tail End,
5013,53,Joey Gase,4004,155,161,Pass Thru,
5013,2,Brad Keselowski,1816,213,217,Tail End,
5013,9,Chase Elliott,4062,220,0,Tail End,Garage
5013,18,Kyle Busch,454,221,224,Tail End,
5013,52,Josh Bilicki,4213,235,238,Pass Thru,
5013,99,Daniel Suarez,4113,267,269,Pass Thru,
5013,00,Quin Houff,4229,269,271,Pass Thru,
5017,5,Kyle Larson,4030,0,0,Tail End,Engine change
5017,21,Matt DiBenedetto,3916,0,0,Tail End,Unapproved adjustment
5017,34,Michael McDowell,3832,0,0,Tail End,Unapproved adjustment
5017,18,Kyle Busch,454,42,45,Tail End,
5017,15,Chris Windom,4238,50,51,Tail End,Working after time expired
5017,66,Mike Marlar,4329,50,51,Tail End,Working after time expired
5017,20,Christopher Bell,4153,53,0,Tail End,Garage
5017,5,Kyle Larson,4030,53,59,Tail End,
5017,42,Ross Chastain,4001,53,0,Tail End,Garage
5017,66,Mike Marlar,4329,57,59,Tail End,
5017,15,Chris Windom,4238,61,63,Other - See Notes,Pit- Repairs
5017,52,Josh Bilicki,4213,150,151,Tail End,Working after time expired
5017,12,Ryan Blaney,4023,153,158,Tail End,
5017,18,Kyle Busch,454,154,158,Tail End,
5017,48,Alex Bowman,4045,154,158,Tail End,
5017,51,Cody Ware,4125,155,158,Tail End,
5017,53,JJ Yeley,3669,155,158,Tail End,
5017,18,Kyle Busch,454,161,169,Tail End,
5017,14,Chase Briscoe,4228,161,169,Tail End,
5019,8,Tyler Reddick,4065,0,0,Tail End,Unapproved adjustment
5019,99,Daniel Suarez,4113,0,0,Tail End,Inspection Infraction
5019,7,Corey Lajoie,4096,0,0,Tail End,Multiple Inspection Failures
5019,77,Justin Haley,4172,0,0,Tail End,Multiple Inspection Failures
5019,15,James Davison,4211,0,0,Tail End,Multiple Inspection Failures
5019,53,JJ Yeley,3669,52,56,Tail End,
5019,53,JJ Yeley,3669,65,71,Pass Thru,
5019,78,BJ McLeod,3973,134,140,Tail End,
5019,51,Cody Ware,4125,242,247,Tail End,
5019,22,Joey Logano,3859,242,247,Tail End,
5019,51,Cody Ware,4125,245,247,Tail End,
5019,21,Matt DiBenedetto,3916,252,258,Tail End,
5019,53,JJ Yeley,3669,264,269,Tail End,
5019,77,Justin Haley,4172,277,282,Tail End,
5019,34,Michael McDowell,3832,279,282,Tail End,
5019,3,Austin Dillon,3873,291,293,1 Lap,
5019,2,Brad Keselowski,1816,341,347,Tail End,
5019,10,Aric Almirola,40,350,355,Tail End,
5019,18,Kyle Busch,454,387,396,Tail End,
5019,1,Kurt Busch,453,387,396,Tail End,
5019,38,Anthony Alfredo,4301,387,396,Tail End,
5019,15,James Davison,4211,387,396,Tail End,
5019,17,Chris Buescher,3989,388,396,Tail End,
5019,42,Ross Chastain,4001,391,396,Tail End,
5019,14,Chase Briscoe,4228,453,458,Tail End,
5019,12,Ryan Blaney,4023,454,458,Tail End,
5038,77,Justin Haley,4172,2,0,Pass Thru,Garage
5038,99,Daniel Suarez,4113,32,37,Tail End,
5038,52,Josh Bilicki,4213,34,37,Tail End,
5038,15,James Davison,4211,35,37,Tail End,
5038,6,Ryan Newman,2394,141,147,Tail End,
5038,48,Alex Bowman,4045,240,247,Tail End,
5038,47,Ricky Stenhouse Jr,3888,240,247,Tail End,
5038,78,BJ McLeod,3973,293,298,Pass Thru,
5038,19,Martin Truex Jr,3368,294,296,Pass Thru,
5038,53,Garrett Smithley,4142,296,298,Pass Thru,
5038,18,Kyle Busch,454,343,346,Pass Thru,
5038,4,Kevin Harvick,1416,381,388,Tail End,
5021,51,Cody Ware,4125,0,0,Tail End,Multiple Inspection Failures
5021,78,BJ McLeod,3973,0,0,Tail End,Unapproved Adjustments
