race_id,car_number,driver_fullname,driver_id,lap,lap_assessed,penalty,notes
5030,7,Corey Lajoie,4096,0,0,Tail End,Multiple Inspection Failures
5030,37,Ryan Preece,4070,0,0,Tail End,Multiple Inspection Failures
5030,78,BJ McLeod,3973,0,0,Tail End,Multiple Inspection Failures
5030,23,Bubba Wallace,4025,0,0,Tail End,Unapproved adjustment
5030,18,Kyle Busch,454,6,0,Tail End,Garage
5030,19,Martin Truex Jr,3368,6,23,Tail End,
5030,22,Joey Logano,3859,8,9,Other - See Notes,2 Laps: Working under red flag
5030,37,Ryan Preece,4070,20,23,Tail End,
5030,23,Bubba Wallace,4025,32,38,Tail End,
5030,38,Anthony Alfredo,4301,33,38,Tail End,
5030,3,Austin Dillon,3873,128,135,Tail End,
5030,00,Quin Houff,4229,128,135,Tail End,
5030,00,Quin Houff,4229,128,135,Tail End,
5030,17,Chris Buescher,3989,139,144,Tail End,
5071,9,Chase Elliott,4062,0,0,Tail End,Multiple inspection failures
5071,9,Chase Elliott,4062,0,0,Tail End,Inspection violation
5071,20,Christopher Bell,4153,0,0,Tail End,Inspection violation
5071,51,James Davison,4211,21,22,Tail End,
5071,51,James Davison,4211,25,0,Tail End,Garage
5071,7,Corey Lajoie,4096,37,43,Tail End,
5071,51,James Davison,4211,41,0,Tail End,Garage
5071,43,Erik Jones,4059,42,43,Tail End,
5071,41,Cole Custer,4104,42,43,Tail End,
5071,53,Garrett Smithley,4142,42,43,Tail End,
5071,52,Josh Bilicki,4213,59,61,Pass Thru,
5071,15,Rc Enerson,4360,62,64,Pass Thru,
5074,10,Aric Almirola,40,16,19,Tail End,
5074,16,AJ Allmendinger,3774,33,39,Tail End,
5074,38,Anthony Alfredo,4301,36,39,Tail End,
5074,7,Corey Lajoie,4096,36,39,Tail End,
5074,21,Matt DiBenedetto,3916,36,39,Tail End,
5074,10,Aric Almirola,40,40,43,Tail End,
5074,66,Timmy Hill,3984,42,43,Tail End,
5074,15,James Davison,4211,78,0,Tail End,Garage
5074,8,Tyler Reddick,4065,78,88,Tail End,
5074,18,Kyle Busch,454,78,88,Tail End,
5074,17,Chris Buescher,3989,78,88,Tail End,
5074,33,Austin Cindric,4180,79,88,Tail End,
5074,41,Cole Custer,4104,89,93,Tail End,
5074,8,Tyler Reddick,4065,89,93,Tail End,
5074,23,Bubba Wallace,4025,89,93,Tail End,Short cut course
5074,52,Josh Bilicki,4213,90,93,Tail End,
5074,14,Chase Briscoe,4228,93,94,NASCAR Discretion,Parked-Short cut course
5031,7,Josh Berry,4123,0,0,Tail End,Driver change
5031,15,Joey Gase,4004,0,0,Tail End,Driver change
5031,47,Ricky Stenhouse Jr,3888,24,25,Tail End,
5031,22,Joey Logano,3859,65,66,Tail End,
5031,77,Justin Haley,4172,65,66,Tail End,
5031,38,Anthony Alfredo,4301,121,0,Tail End,Garage
5031,51,Cody Ware,4125,123,126,Tail End,
5031,99,Daniel Suarez,4113,183,186,Tail End,
5031,42,Ross Chastain,4001,184,186,Tail End,
5031,99,Daniel Suarez,4113,185,186,Tail End,
5031,6,Ryan Newman,2394,188,192,Tail End,
5031,20,Christopher Bell,4153,188,192,Tail End,
5036,34,Michael McDowell,3832,0,0,Tail End, Inspection Violation
5036,38,Anthony Alfredo,4301,0,0,Tail End, Inspection Violation
5036,5,Kyle Larson,4030,0,0,Tail End,Multiple Inspection Failures
5036,7,Corey Lajoie,4096,0,0,Tail End,Multiple Inspection Failures
5036,15,Joey Gase,4004,0,0,Tail End,Multiple Inspection Failures
5036,16,Kaz Grala,4191,0,0,Tail End,Multiple Inspection Failures
5036,38,Anthony Alfredo,4301,0,1,Pass Thru,Unapproved body adjustment on grid
5036,37,Ryan Preece,4070,22,25,Tail End,
5036,38,Anthony Alfredo,4301,23,25,Tail End,
5036,22,Joey Logano,3859,52,55,Tail End,
5036,10,Aric Almirola,40,77,81,Tail End,
5036,10,Aric Almirola,40,77,81,Tail End,
5036,10,Aric Almirola,40,77,81,Tail End,
5036,38,Anthony Alfredo,4301,77,81,Tail End,
5036,48,Alex Bowman,4045,77,81,Tail End,
