race_id,car_number,driver_fullname,driver_id,lap,lap_assessed,penalty,notes
5143,16,AJ Allmendinger,3774,0,0,Tail End,Unapproved adjustments
5143,42,Ty Dillon,4013,33,38,Tail End,
5143,42,Ty Dillon,4013,48,50,Tail End,
5144,50,Kaz Grala,4191,0,0,Tail End,Unapproved Adjustments
5144,50,Kaz Grala,4191,35,36,Pass Thru,
5145,27,Jacques Villeneuve,3823,34,0,Pass Thru,Garage
5146,27,Jacques Villeneuve,3823,0,0,Tail End,Engine Change
5146,22,Joey Logano,3859,0,0,Tail End,Backup Car
5146,14,Chase Briscoe,4228,0,0,Tail End,2 Inspection Failures
5146,16,Daniel Hemric,4093,0,1,Pass Thru,3 Inspection Failures - to the Rear AND Pass Thru
5146,44,Greg Biffle,243,25,27,Pass Thru,Garage
5146,42,Ty Dillon,4013,38,40,Pass Thru,
5146,50,Kaz Grala,4191,42,45,Tail End,
5146,78,BJ McLeod,3973,42,45,Tail End,
5146,14,Chase Briscoe,4228,42,45,Tail End,
5146,16,Daniel Hemric,4093,44,48,1 Lap,"Pitted a 2nd time to ""top off"" as the Free Pass Vehicle"
5146,31,Justin Haley,4172,52,56,Tail End,
5146,31,Justin Haley,4172,55,56,Tail End,
5146,18,Kyle Busch,454,63,71,Tail End,
5146,7,Corey Lajoie,4096,63,71,Tail End,
5146,20,Christopher Bell,4153,63,71,Tail End,
5146,11,Denny Hamlin,1361,63,0,Tail End,Garage
5146,20,Christopher Bell,4153,65,71,Tail End,Equipment over the wall too soon
5146,48,Alex Bowman,4045,65,71,Tail End,
5146,31,Justin Haley,4172,65,71,Tail End,
5146,45,Kurt Busch,453,67,71,Tail End,
5146,44,Greg Biffle,243,86,88,Pass Thru,
5146,50,Kaz Grala,4191,99,103,Pass Thru,
5146,99,Daniel Suárez,4113,108,111,Pass Thru,
5146,78,BJ McLeod,3973,110,112,Pass Thru,
5146,99,Daniel Suárez,4113,130,137,Tail End,
5146,3,Austin Dillon,3873,131,137,Tail End,
5146,18,Kyle Busch,454,132,137,Tail End,
5146,31,Justin Haley,4172,132,137,Tail End,
5146,41,Cole Custer,4104,132,137,Tail End,
5146,34,Michael McDowell,3832,133,137,Tail End,
5146,45,Kurt Busch,453,135,137,Tail End,
5146,8,Tyler Reddick,4065,151,0,Tail End,Garage
5146,19,Martin Truex Jr,3368,152,159,Tail End,
5146,45,Kurt Busch,453,154,159,Tail End,
5146,45,Kurt Busch,453,154,159,Tail End,
5146,31,Justin Haley,4172,155,159,Tail End,
5146,22,Joey Logano,3859,155,159,Tail End,
5146,9,Chase Elliott,4062,156,159,Tail End,On Exit
5146,3,Austin Dillon,3873,176,181,Pass Thru,
5146,3,Austin Dillon,3873,176,181,Pass Thru,
5146,27,Jacques Villeneuve,3823,179,181,Pass Thru,On Exit
5146,4,Kevin Harvick,1416,191,0,Tail End,Garage
5146,43,Erik Jones,4059,191,0,Tail End,Garage
5146,3,Austin Dillon,3873,191,194,Tail End,
5146,17,Chris Buescher,3989,195,199,Tail End,
5147,1,Ross Chastain,4001,0,0,Tail End,Backup car
5147,4,Kevin Harvick,1416,0,0,Tail End,Unapproved adjustments
5147,5,Kyle Larson,4030,0,0,Tail End,Unapproved adjustments
5147,6,Brad Keselowski,1816,0,0,Tail End,Unapproved adjustments
5147,22,Joey Logano,3859,0,0,Tail End,Unapproved adjustments
5147,23,Bubba Wallace,4025,0,0,Tail End,Unapproved adjustments
5147,31,Justin Haley,4172,0,0,Tail End,Unapproved adjustments
5147,45,Kurt Busch,453,1,1,Pass Thru,Multiple inspection failures
5147,18,Kyle Busch,454,15,19,Tail End,
5147,18,Kyle Busch,454,36,42,Tail End,
5147,51,Cody Ware,4125,38,42,Tail End,
5147,3,Austin Dillon,3873,39,42,Tail End,
5147,20,Christopher Bell,4153,41,42,Tail End,
5147,9,Chase Elliott,4062,54,57,Tail End,
5147,45,Kurt Busch,453,54,57,Tail End,
5147,4,Kevin Harvick,1416,56,57,Tail End,
5147,18,Kyle Busch,454,67,73,Tail End,
5147,18,Kyle Busch,454,69,73,Tail End,
5147,51,Cody Ware,4125,72,73,Tail End,Ran over choose box
5147,16,Daniel Hemric,4093,72,73,Tail End,Ran over choose box
5147,11,Denny Hamlin,1361,92,96,Tail End,
5147,11,Denny Hamlin,1361,94,96,Tail End,
5147,99,Daniel Suárez,4113,94,96,Tail End,
5147,17,Chris Buescher,3989,112,115,Tail End,
5147,77,Josh Bilicki,4213,113,115,Tail End,
5147,6,Brad Keselowski,1816,116,121,Tail End,
5147,6,Brad Keselowski,1816,116,121,Tail End,
5147,16,Daniel Hemric,4093,118,121,Tail End,
5147,7,Corey Lajoie,4096,133,136,Tail End,
5147,4,Kevin Harvick,1416,134,136,Tail End,
5147,77,Josh Bilicki,4213,135,136,Tail End,
5147,77,Josh Bilicki,4213,135,135,1 Lap,Took fuel second time as the free pass car
5147,7,Corey Lajoie,4096,146,151,Pass Thru,
5147,7,Corey Lajoie,4096,153,156,Tail End,
5147,11,Denny Hamlin,1361,153,156,Tail End,
5147,4,Kevin Harvick,1416,153,156,Tail End,
5147,23,Bubba Wallace,4025,158,165,Tail End,
5147,23,Bubba Wallace,4025,160,165,Tail End,
5147,6,Brad Keselowski,1816,160,165,Tail End,
5147,7,Corey Lajoie,4096,161,165,Tail End,
5147,1,Ross Chastain,4001,174,178,Tail End,
5147,23,Bubba Wallace,4025,174,178,Tail End,
5147,9,Chase Elliott,4062,192,196,Tail End,
