season,series_id,race_id,race_id_short,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
1975,I,1975_Race_3,1975_03_I,7,4,10,usa,Johnny_Rutherford,Johnny Rutherford,USAC,,Chevrolet,30,,running,-,
1975,I,1975_Race_3,1975_03_I,8,6,16,sweden,Ronnie_Peterson,Ronnie Peterson,FIA,,Chevrolet,30,,running,-,
1975,I,1975_Race_3,1975_03_I,9,5,8,usa,Cale_Yarborough,Cale Yarborough,NASCAR,,Chevrolet,30,,running,-,
1975,I,1975_Race_3,1975_03_I,10,8,9,usa,Richard_Petty,Richard Petty,NASCAR,,Chevrolet,29,,running,-,
1975,I,1975_Race_3,1975_03_I,11,9,6,usa,David_Pearson,David Pearson,NASCAR,,Chevrolet,19,,engine,-,
1975,I,1975_Race_3,1975_03_I,12,7,14,south_africa,Jody_Scheckter,Jody Scheckter,FIA,,Chevrolet,6,,engine,-,
1975,I,1975_Race_4,1975_04_I,1,2,12,usa,Bobby_Unser,Bobby Unser,USAC,,Chevrolet,40,,running,-,
1975,I,1975_Race_4,1975_04_I,2,5,10,usa,A_J_Foyt,A.J. Foyt,USAC,,Chevrolet,40,,running,-,
1975,I,1975_Race_4,1975_04_I,3,7,3,usa,Cale_Yarborough,Cale Yarborough,NASCAR,,Chevrolet,40,,running,-,
1975,I,1975_Race_4,1975_04_I,4,4,8,usa,Bobby_Allison,Bobby Allison,NASCAR,,Chevrolet,40,,running,-,
1975,I,1975_Race_4,1975_04_I,5,6,6,usa,David_Pearson,David Pearson,NASCAR,,Chevrolet,40,,running,-,
1975,I,1975_Race_4,1975_04_I,6,1,9,brazil,Emerson_Fittipaldi,Emerson Fittipaldi,FIA,,Chevrolet,40,,running,-,
1975,I,1975_Race_4,1975_04_I,7,8,2,sweden,Ronnie_Peterson,Ronnie Peterson,FIA,,Chevrolet,30,,crash,-,
1975,I,1975_Race_4,1975_04_I,8,3,16,usa,George_Follmer,George Follmer,SCCA,,Chevrolet,3,,crash,-,
1975,I,1975_Race_4,1975_04_I,9,9,14,usa,Johnny_Rutherford,Johnny Rutherford,USAC,,Chevrolet,3,,crash,-,
