race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4392,1,2015,SpongeBob SquarePants 400,1,1,41,Kansas Speedway,2015-05-09T19:30:00,2015-05-09T19:30:00,2015-05-08T00:00:00,,400.5,400.5,267,267,,,,43,3859,192.397,16,10,9,49,125.265,03:11:50,,5400236.0,"Jimmie Johnson won the SpongeBob SquarePants 400, his 73rd victory in the NASCAR Sprint Cup Series and third at the track. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FS1,3884,,,,,,,,
4413,1,2015,Hollywood Casino 400,1,1,41,Kansas Speedway,2015-10-18T14:15:00,2015-10-18T14:15:00,2015-10-16T00:00:00,,400.0,403.5,267,269,,,,43,1816,195.503,21,9,7,39,135.732,02:58:22,,6144256.0,"Joey Logano won the Hollywood Casino 400, his 13th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 13 (backup car).",0,MRN,NBC,1950,,,,,,,,
4384,1,2015,Kobalt 400,1,1,42,Las Vegas Motor Speedway,2015-03-08T15:30:00,2015-03-08T15:30:00,2015-03-06T00:00:00,,400.5,400.5,267,267,,,,43,1237,194.679,19,10,6,28,143.677,02:47:15,,6495939.0,"Kevin Harvick won the Kobalt 400 at Las Vegas Motor Speedway, his 29th victory in the NASCAR Sprint Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #18, 24 (backup car).",0,PRN,FOX,1824,,,,,,,,
4388,1,2015,Duck Commander 500,1,1,43,Texas Motor Speedway,2015-04-11T19:30:00,2015-04-11T19:30:00,2015-04-10T00:00:00,,501.0,501.0,334,334,,,,43,453,193.847,29,9,8,40,140.5,03:33:57,,7260922.0,"Jimmie Johnson won the Duck Commander 500 at Texas Motor Speedway, his 72nd victory in the NASCAR Sprint Cup Series. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated:  #31 (engine change).",0,PRN,FOX,1795,,,,,,,,
4417,1,2015,AAA Texas 500,1,1,43,Texas Motor Speedway,2015-11-08T14:00:00,2015-11-08T14:00:00,2015-11-06T00:00:00,,501.0,501.0,334,334,,,,43,1816,196.929,15,8,9,47,137.49,03:38:38,,7075075.0,"Jimmie Johnson won the AAA Texas 500, his 75th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: Nos. 98 (engine change) and 14 (missed driver introductions).",0,PRN,NBC,2100,,,,,,,,
4400,1,2015,Quaker State 400 Presented by Advance Auto Parts,1,1,61,Kentucky Speedway,2015-07-11T19:30:00,2015-07-11T19:30:00,2015-07-10T00:00:00,,400.5,400.5,267,267,,,,43,0,0.0,13,8,11,49,129.402,03:05:42,,5104114.0,"Kyle Busch won the Quaker State 400 presented by Advance Auto Parts, his 31st career NASCAR Sprint Cup Series victory. Prior to the start of the race, 
no cars dropped to the rear of the field.",0,PRN,NBCSN,3889,,,,,,,,
4391,1,2015,GEICO 500,1,1,82,Talladega Superspeedway,2015-05-03T13:00:00,2015-05-03T13:00:00,2015-05-02T00:00:00,,500.0,500.08,188,188,,,,43,1237,194.793,27,15,6,23,159.487,03:08:08,,6183287.0,"Dale Earnhardt Jr. won the GEICO 500 at Talladega Superspeedway, his 24th victory in the NASCAR Sprint Cup Series. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FOX,957,,,,,,,,
4415,1,2015,CampingWorld.com 500 at Talladega,1,1,82,Talladega Superspeedway,2015-10-25T14:30:00,2015-10-25T14:30:00,2015-10-24T00:00:00,,500.0,521.36,188,196,,,,43,1237,194.5,30,18,3,18,167.311,03:06:58,,5446886.0,"Joey Logano won the CampingWorld.com 500, his 14th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 10 (transmission repair), No. 14 (unapproved adjustments) and No. 51 (repairs).",0,MRN,NBCSN,937,,,,,,,,
4383,1,2015,CampingWorld.com 500,1,1,84,Phoenix International Raceway,2015-03-15T15:30:00,2015-03-15T15:30:00,2015-03-13T00:00:00,,312.0,312.0,312,312,,,,43,1416,140.751,8,4,10,53,105.753,02:57:01,,5107970.0,"Kevin Harvick won the CampingWorld.com 500 at Phoenix International Raceway, his 30th victory in the NASCAR Sprint Cup Series and seventh at Phoenix. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated:  #47 (engine change).",0,MRN,FOX,2074,,,,,,,,
4418,1,2015,Quicken Loans Race for Heroes 500,1,1,84,Phoenix International Raceway,2015-11-15T14:30:00,2015-11-15T14:30:00,2015-11-13T00:00:00,,312.0,219.0,312,219,,,,43,1717,143.158,8,7,2,29,106.512,02:03:22,,5202126.0,"Dale Earnhardt Jr. won the Quicken Loans Race for Heroes 500, his 26th career NASCAR Sprint Cup Series victory.",0,MRN,NBCSN,1550,,,,,,,,
4399,1,2015,Toyota - Save Mart 350,1,1,99,Sonoma Raceway,2015-06-28T15:00:00,2015-06-28T15:00:00,2015-06-27T00:00:00,,218.9,218.9,110,110,,,,43,3774,96.31,9,5,5,21,74.774,02:55:39,,5735702.0,"Kyle Busch won the Toyota/Save Mart 350, his 30th career NASCAR Sprint Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: Nos. 27, 46 (engine change).",0,PRN,FS1,1563,,,,,,,,
