race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4507,1,2016,Bojangles' Southern 500,1,1,4,Darlington Raceway,2016-09-04T18:00:00,2016-09-04T18:00:00,,,501.32,501.322,367,367,,,,40,0,0.0,14,8,10,52,126.437,03:57:54,,0,"Martin Truex Jr. won the Bojangles' Southern 500 at Darlington Raceway, his fifth career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 23 (engine change), Nos. 27, 31 (unapproved adjustments).",0,MRN,NBC,442,,,,,,,,
4488,1,2016,Food City 500,1,1,14,Bristol Motor Speedway,2016-04-17T13:00:00,2016-04-17T13:00:00,2016-04-15T00:00:00,,266.5,266.5,500,500,,,,40,923,127.997,16,7,15,102,81.637,03:15:52,,0,"Carl Edwards won the Food City 500 at Bristol Motor Speedway, his 26th NASCAR Sprint Cup Series victory. No cars dropped to the rear of the field at the start of the race.",0,PRN,FOX,588,,,,,,,,
4506,1,2016,Bass Pro Shops NRA Night Race,1,1,14,Bristol Motor Speedway,2016-08-20T20:00:00,2016-08-20T00:00:00,2016-08-19T00:00:00,,266.5,266.5,500,500,,,,40,923,131.407,20,8,9,106,77.968,03:25:05,,0,"Kevin Harvick won the Bass Pro Shops NRA Night Race at Bristol Motor Speedway, his 33rd career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: #46 (driver substitution).",0,PRN,CNBC,612,,,,,,,,
4515,1,2016,Goody's Fast Relief 500,1,1,22,Martinsville Speedway,2016-10-30T13:00:00,2016-10-30T13:00:00,2016-10-28T00:00:00,,263.0,263.0,500,500,,,,40,3368,98.206,15,9,5,54,78.54,03:20:55,,0,"Jimmie Johnson won the Goody's Fast Relief 500 at Martinsville Speedway, his 79th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 17 (backup car) and No. 21 (unapproved adjustments).",0,MRN,NBCSN,6,,,,,,,,
4486,1,2016,STP 500,1,1,22,Martinsville Speedway,2016-04-03T13:00:00,2016-04-03T13:00:00,2016-04-01T00:00:00,,263.0,263.0,500,500,,,,40,3859,97.043,11,5,8,51,80.088,03:17:02,,0,"Kyle Busch won the STP 500 at Martinsville Speedway, his 35th career NASCAR Sprint Cup Series victory. ",0,MRN,FS1,12,,,,,,,,
4489,1,2016,Toyota Owners 400,1,1,26,Richmond International Raceway,2016-04-24T13:00:00,2016-04-24T13:00:00,,,300.0,300.0,400,400,,,,40,0,0.0,23,8,8,49,97.07,03:05:26,,0,"Carl Edwards won the Toyota Owners 400 at Richmond International Raceway, his 27th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field: No. 15 (transmission change).",0,MRN,FOX,1555,,,,,,,,
4508,1,2016,Federated Auto Parts 400,1,1,26,Richmond International Raceway,2016-09-10T19:30:00,2016-09-10T19:30:00,2016-09-09T00:00:00,,300.0,305.25,400,407,,,,40,1361,122.344,21,7,16,89,85.778,03:33:31,,0,"Denny Hamlin won the Federated Auto Parts 400 at Richmond International Raceway, his 29th career NASCAR Sprint Cup Series victory.",0,MRN,NBCSN,1544,,,,,,,,
4485,1,2016,Auto Club 400,1,1,38,Auto Club Speedway,2016-03-20T15:30:00,2016-03-20T15:30:00,2016-03-18T00:00:00,,400.0,410.0,200,205,,,,39,3873,188.482,26,8,6,33,137.213,02:59:17,,0,"Jimmie Johnson won the Auto Club 400 at Auto Club Speedway, his 77th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field: No. 41 (backup), No. 47 (rear end gear change).",0,MRN,FOX,1804,,,,,,,,
4509,1,2016,Teenage Mutant Ninja Turtles 400,1,1,39,Chicagoland Speedway,2016-09-18T14:30:00,2016-09-18T14:30:00,2016-09-16T00:00:00,,400.5,405.0,267,270,,,,40,0,0.0,17,9,4,22,145.161,02:47:24,,0,"Martin Truex Jr. won the Teenage Mutant Ninja Turtles 400 at Chicagoland Speedway, his sixth career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: No. 42 (transmission change) and Nos. 43, 4 (unapproved adjustments).  ",0,MRN,NBCSN,1976,,,,,,,,
4518,1,2016,Ford EcoBoost 400,1,1,40,Homestead-Miami Speedway,2016-11-20T14:30:00,2016-11-20T14:30:00,2016-11-18T00:00:00,,400.5,402.0,267,268,,,,40,1416,177.637,20,6,7,33,128.869,03:07:10,,0,"Jimmie Johnson won the Ford EcoBoost 400 at Homestead-Miami Speedway, his 80th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: No. 48 (unapproved body modification).",0,MRN,NBC,1887,,,,,,,,
4513,1,2016,Hollywood Casino 400,1,1,41,Kansas Speedway,2016-10-16T14:15:00,2016-10-16T14:15:00,2016-10-14T00:00:00,,400.5,400.5,267,267,,,,40,1810,192.089,16,10,8,38,133.155,03:00:28,,0,"Kevin Harvick won the Hollywood Casino 400 at Kansas Speedway, his 35th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: #41 (backup car), #98 (missing driver intros) and #7 (transmission change).",0,MRN,NBC,1950,,,,,,,,
4491,1,2016,Go Bowling 400,1,1,41,Kansas Speedway,2016-05-07T19:30:00,2016-05-07T19:30:00,2016-05-06T00:00:00,,400.5,400.5,267,267,,,,40,3368,190.921,16,10,6,30,141.909,02:49:20,,0,"Kyle Busch won the Go Bowling 400 at Kansas Speedway, his 37th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: No. 13 (rear gear change).",0,MRN,FS1,3884,,,,,,,,
4483,1,2016,Kobalt 400,1,1,42,Las Vegas Motor Speedway,2016-03-06T15:30:00,2016-03-06T15:30:00,2016-03-04T00:00:00,,400.5,400.5,267,267,,,,39,453,196.328,20,10,6,36,138.17,02:53:55,,0,"Brad Keselowski won the Kobalt 400 at Las Vegas Motor Speedway, his 18th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field: No. 1 and No. 19 (backup cars).",0,PRN,FOX,1824,,,,,,,,
4487,1,2016,Duck Commander 500,1,1,43,Texas Motor Speedway,2016-04-09T19:30:00,2016-04-09T19:30:00,2016-04-08T00:00:00,,501.0,501.0,334,334,,,,40,923,194.609,17,8,7,41,138.355,03:37:16,,0,"Kyle Busch won the Duck Commander 500 at Texas Motor Speedway, his 36th NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: No. 24 (transmission change).",0,PRN,FOX,1795,,,,,,,,
4516,1,2016,AAA Texas 500,1,1,43,Texas Motor Speedway,2016-11-06T14:00:00,2016-11-06T14:00:00,2016-11-04T00:00:00,,501.0,439.5,334,293,,,,40,3873,192.301,12,8,8,37,134.541,03:16:00,,0,"Carl Edwards won the AAA Texas 500 at Texas Motor Speedway, his 28th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: No. 83 (driver change).",0,PRN,NBCSN,2100,,,,,,,,
4500,1,2016,Quaker State 400 Presented by Advance Auto Parts,1,1,61,Kentucky Speedway,2016-07-09T19:30:00,2016-07-09T19:30:00,,,400.5,400.5,267,267,,,,40,0,0.0,16,9,11,53,128.583,03:06:53,,0,"Brad Keselowski won the Quaker State 400 at Kentucky Speedway, his 21st career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: No. 41 (backup car).",0,PRN,NBCSN,3889,,,,,,,,
4490,1,2016,GEICO 500,1,1,82,Talladega Superspeedway,2016-05-01T13:00:00,2016-05-01T13:00:00,2016-04-30T00:00:00,,500.08,500.08,188,188,,,,40,4062,192.661,37,17,10,41,140.046,03:34:15,,0,"Brad Keselowski won the GEICO 500 at Talladega Superspeedway, his 19th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: Nos. 14 (driver change) and 31 (unapproved adjustments).",0,MRN,FOX,957,,,,,,,,
4514,1,2016,Hellmann's 500,1,1,82,Talladega Superspeedway,2016-10-23T14:00:00,2016-10-23T14:00:00,2016-10-22T00:00:00,,500.08,510.72,188,192,,,,40,3368,193.423,31,14,6,25,159.905,03:11:38,,0,"Joey Logano won the Hellmann's 500 at Talladega Superspeedway, his 16th career NASCAR Sprint Cup Series victory.",0,MRN,NBCSN,937,,,,,,,,
4517,1,2016,Can-Am 500,1,1,84,Phoenix International Raceway,2016-11-13T14:30:00,2016-11-13T14:30:00,2016-11-11T00:00:00,,312.0,324.0,312,324,,,,40,4045,140.521,8,5,9,53,102.866,03:08:59,,0,"Joey Logano won the Can-Am 500 at Phoenix International Raceway, his 17th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: No. 38 (rear gear change).",0,MRN,NBC,1550,,,,,,,,
4484,1,2016,Good Sam 500,1,1,84,Phoenix International Raceway,2016-03-13T15:30:00,2016-03-13T15:30:00,2016-03-11T00:00:00,,312.0,313.0,312,313,,,,39,454,138.387,7,4,5,30,113.212,02:45:53,,0,"Kevin Harvick won the Good Sam 500 at Phoenix International Raceway, his 32nd career NASCAR Sprint Cup Series victory. Prior to the start  of the race, 
the following cars dropped to the rear of the field: No. 5 (engine change); Nos. 46 and 48 (Backup car). ",0,MRN,FOX,2074,,,,,,,,
4498,1,2016,Toyota - Save Mart 350,1,1,99,Sonoma Raceway,2016-06-26T15:00:00,2016-06-26T15:00:00,2016-06-25T00:00:00,,218.9,218.9,110,110,,,,40,923,95.777,12,8,4,10,80.966,02:42:13,,0,"Tony Stewart won the Toyota/Save Mart 350 at Sonoma Raceway, his 49th NASCAR Sprint Cup Series victory. Prior to the start of the race, no cars 
dropped to the rear of the field. ",0,PRN,FS1,1563,,,,,,,,
4511,1,2016,Citizen Soldier 400,1,1,103,Dover International Speedway,2016-10-02T14:00:00,2016-10-02T14:00:00,2016-09-30T00:00:00,,400.0,400.0,400,400,,,,40,0,0.0,14,6,4,22,130.969,03:03:15,,0,"Martin Truex Jr. won the Citizen Soldier 400 at Dover International Speedway, his seventh career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reasons indicated: Nos. 46 (rear gear change).",0,MRN,NBCSN,1038,,,,,,,,
4495,1,2016,AAA 400 Drive for Autism,1,1,103,Dover International Speedway,2016-05-15T13:00:00,2016-05-15T13:00:00,2016-05-13T00:00:00,,400.0,400.0,400,400,,,,40,0,0.0,19,10,12,65,109.348,03:39:29,,0,"Matt Kenseth won the AAA 400 Drive for Autism at Dover International Speedway, his 37th career NASCAR Sprint Cup Series victory. No cars dropped to 
the rear of the field prior to the start of the race.",0,MRN,FS1,922,,,,,,,,
4478,1,2016,Sprint Unlimited,2,1,105,Daytona International Speedway,2016-02-13T20:00:00,2016-02-13T20:00:00,,,187.5,197.5,75,79,,,,25,0,0.0,12,3,7,25,128.432,01:32:16,,0,"Denny Hamlin won the Sprint Unlimited at Daytona International Speedway, his third victory in the preseason event. Prior to the start of  the race, no cars dropped to the rear of the field.",0,MRN,FOX,3222,,,,,,,,
4479,1,2016,Can-Am Duel At Daytona 1,2,1,105,Daytona International Speedway,2016-02-18T19:00:00,2016-02-18T19:00:00,,,150.0,150.0,60,60,,,,22,0,0.0,4,4,1,4,0.0,00:00:00,,0,,0,MRN,FS1,3217,,,,,,,,
4480,1,2016,Can-Am Duel At Daytona 2,2,1,105,Daytona International Speedway,2016-02-18T19:00:00,2016-02-18T19:00:00,,,150.0,150.0,60,60,,,,22,0,0.0,3,3,1,1,191.898,00:46:54,,0,0,0,MRN,FS1,3218,,,,,,,,
4481,1,2016,Daytona 500,1,1,105,Daytona International Speedway,2016-02-21T13:00:00,2016-02-21T13:00:00,2016-02-14T00:00:00,,500.0,500.0,200,200,,,,40,4062,196.314,20,15,6,31,157.549,03:10:25,,0,"Denny Hamlin won the Daytona 500 at Daytona International Speedway, his 27th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field: Nos. 20, 44, 47, 48, 78 (Back Up Car)",0,MRN,FOX,385,,,,,,,,
4499,1,2016,Coke Zero 400 Powered by Coca-Cola,1,1,105,Daytona International Speedway,2016-07-02T19:45:00,2016-07-02T19:45:00,2016-07-01T00:00:00,,400.0,402.5,160,161,,,,40,243,192.955,26,13,5,28,150.342,02:40:38,,0,"Brad Keselowski won the Coke Zero 400 Powered by Coca-Cola, his 20th NASCAR Sprint Cup Series victory. Prior to the start of the race, the folllowing cars dropped to the rear of the field: #7 (engine change) and #55 (unapproved adjustments).",0,MRN,NBC,408,,,,,,,,
4482,1,2016,Folds of Honor QuikTrip 500,1,1,111,Atlanta Motor Speedway,2016-02-28T13:00:00,2016-02-28T13:00:00,2016-02-26T00:00:00,,500.5,508.2,325,330,,,,39,453,191.582,28,8,3,13,155.863,03:15:38,,0,"Jimmie Johnson won the Folds of Honor QuikTrip 500 at Atlanta Motor Speedway, his 76th career NASCAR Sprint Cup Series victory. ",0,PRN,FOX,3335,,,,,,,,
