season,series_id,race_num,race_date,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2001,E,1,04/22/01,Lee,Lee_USA_Speedway,30,Tracy Gordon,gordotr01,1,Chevrolet ,0.375,P,56,,86.923,4,60.020,0,https://www.racing-reference.info/race-results/2001_Autotown_150/E, https://www.racing-reference.info/tracks/Lee_USA_Speedway,https://www.racing-reference.info/driver/gordotr01/
2001,E,2,05/12/01,Loudon,New_Hampshire_International_Speedway,42,Ted Christopher,christe01,8,Chevrolet ,1.058,P,132,,124.629,2,108.476,8,https://www.racing-reference.info/race-results/2001_CVS_Pharmacy_125_Presented_by_Bayer/E, https://www.racing-reference.info/tracks/New_Hampshire_International_Speedway,https://www.racing-reference.info/driver/christe01/
2001,E,3,05/26/01,Seekonk,Seekonk_Speedway,29,Kelly Moore,mooreke01,5,Chevrolet ,0.333,P,50,,92.329,4,67.699,2,https://www.racing-reference.info/race-results/2001_Budweiser_150/E, https://www.racing-reference.info/tracks/Seekonk_Speedway,https://www.racing-reference.info/driver/mooreke01/
2001,E,4,06/02/01,Holland,Holland_International_Speedway,31,Brad Leighton,leighbr01,8,Chevrolet ,0.375,P,56,,92.428,3,67.726,1,https://www.racing-reference.info/race-results/2001_Burnham_Boilers_150/E, https://www.racing-reference.info/tracks/Holland_International_Speedway,https://www.racing-reference.info/driver/leighbr01/
2001,E,5,06/10/01,Beech Ridge,Beech_Ridge_Motor_Speedbowl,30,Mike Olsen,olsenmi01,2,Chevrolet ,0.333,P,51,,NTT,6,45.774,7,https://www.racing-reference.info/race-results/2001_PTM_Racing_150_%28June%29/E, https://www.racing-reference.info/tracks/Beech_Ridge_Motor_Speedbowl,https://www.racing-reference.info/driver/olsenmi01/
2001,E,6,06/16/01,Epping,Star_Speedway,26,Mike Olsen,olsenmi01,2,Chevrolet ,0.250,P,38,,65.005,9,33.515,0,https://www.racing-reference.info/race-results/2001_Star_150/E, https://www.racing-reference.info/tracks/Star_Speedway,https://www.racing-reference.info/driver/olsenmi01/
2001,E,7,06/22/01,Stafford Springs,Stafford_Motor_Speedway,30,Kelly Moore,mooreke01,5,Chevrolet ,0.500,P,75,,91.491,8,52.376,5,https://www.racing-reference.info/race-results/2001_Carquest_150/E, https://www.racing-reference.info/tracks/Stafford_Motor_Speedway,https://www.racing-reference.info/driver/mooreke01/
2001,E,8,06/30/01,Waterford,Waterford_Speedbowl,27,Mike Johnson,johnsmi02,15,Ford ,0.375,P,58,,79.888,4,65.045,5,https://www.racing-reference.info/race-results/2001_Left_Turns_University_150/E, https://www.racing-reference.info/tracks/Waterford_Speedbowl,https://www.racing-reference.info/driver/johnsmi02/
2001,E,9,07/07/01,Beech Ridge,Beech_Ridge_Motor_Speedbowl,29,Mike Johnson,johnsmi02,4,Ford ,0.333,P,50,,76.992,3,54.945,6,https://www.racing-reference.info/race-results/2001_Irving_Oil_150/E, https://www.racing-reference.info/tracks/Beech_Ridge_Motor_Speedbowl,https://www.racing-reference.info/driver/johnsmi02/
2001,E,10,07/14/01,Thompson,Thompson_Speedway,36,"Martin Truex, Jr.",truexma02,4,Chevrolet ,0.625,P,94,,109.776,9,71.626,2,https://www.racing-reference.info/race-results/2001_Pepsi_Racing_150/E, https://www.racing-reference.info/tracks/Thompson_Speedway,https://www.racing-reference.info/driver/truexma02/
2001,E,11,07/21/01,Loudon,New_Hampshire_International_Speedway,41,Brad Leighton,leighbr01,1,Chevrolet ,1.058,P,132,,124.674,5,100.805,7,https://www.racing-reference.info/race-results/2001_New_England_125/E, https://www.racing-reference.info/tracks/New_Hampshire_International_Speedway,https://www.racing-reference.info/driver/leighbr01/
