race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,stage_4_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round
4770,1,2019,Advance Auto Parts Clash,2,True,105,Daytona International Speedway,2019-02-10T15:00:00,2019-02-10T00:00:00,2019-02-10T00:00:00,,187.5,147.5,75,59,0,0,0,,20,2225,0.0,5,4,4,20,110.602,1:20:01,Under Caution,0,0,MRN,FS1,3222,False,
4771,1,2019,Gander RV Duel at DAYTONA 1,2,True,105,Daytona International Speedway,2019-02-14T19:00:00,2019-02-14T19:00:00,2019-02-14T00:00:00,,150.0,150.0,60,60,0,0,0,,21,4184,0.0,2,3,1,3,177.749,0:50:38,.165,0,0,MRN,FS1,3217,True,
4772,1,2019,Gander RV Duel at DAYTONA 2,2,True,105,Daytona International Speedway,2019-02-14T19:00:00,2019-02-14T19:00:00,2019-02-14T00:00:00,,150.0,150.0,60,60,0,0,0,,21,4045,0.0,4,4,0,0,193.133,0:46:36,.126,0,0,MRN,FS1,3218,True,
4773,1,2019,DAYTONA 500,1,True,105,Daytona International Speedway,2019-02-17T14:30:00,2019-02-17T14:30:00,2019-02-17T00:00:00,,500.0,517.5,200,207,60,60,87,,40,4184,194.305,15,9,12,47,137.44,03:45:55,.138,0,0,MRN,FOX,385,True,
4774,1,2019,Folds of Honor QuikTrip 500,1,False,111,Atlanta Motor Speedway,2019-02-24T14:00:00,2019-02-24T14:00:00,2019-02-22T00:00:00,,500.5,500.5,325,325,85,85,155,,37,40,181.473,26,9,5,30,142.626,3:30:33,.218,0,0,PRN,FOX,3335,True,
4775,1,2019,Pennzoil 400 presented by Jiffy Lube,1,False,42,Las Vegas Motor Speedway,2019-03-03T15:30:00,2019-03-03T12:30:00,2019-03-03T12:30:00,,400.5,400.5,267,267,80,80,107,,38,1416,180.517,19,9,2,12,154.849,2:35:11,.236,0,0,PRN,FOX,1824,True,
4776,1,2019,TicketGuardian 500,1,False,84,ISM Raceway,2019-03-10T15:30:00,2019-03-10T12:30:00,2019-03-08T00:00:00,,312.0,312.0,312,312,75,75,162,,36,4023,141.287,17,6,9,57,101.693,3:04:05,1.259,0,0,MRN,FOX,2074,True,
4777,1,2019,Auto Club 400,1,False,38,Auto Club Speedway,2019-03-17T15:30:00,2019-03-17T12:30:00,2019-03-17T12:30:00,,400.0,400.0,200,200,60,60,80,,38,3873,180.081,18,8,4,22,143.113,2:47:42,2.354,0,0,MRN,FOX,1804,True,
4778,1,2019,STP 500,1,False,22,Martinsville Speedway,2019-03-24T14:00:00,2019-03-24T14:00:00,2019-03-24T14:00:00,,263.0,263.0,500,500,130,130,240,,36,3859,97.83,3,3,7,56,78.158,3:21:54,.594,0,0,MRN,FS1,12,True,
4779,1,2019,O'Reilly Auto Parts 500,1,False,43,Texas Motor Speedway,2019-03-31T15:00:00,2019-03-31T15:00:00,2019-03-29T00:00:00,,501.0,501.0,334,334,85,85,164,,39,1717,188.89,26,13,5,29,153.224,03:16:11,2.743,0,0,PRN,FOX,1795,True,
4780,1,2019,Food City 500,1,False,14,Bristol Motor Speedway,2019-04-07T14:00:00,2019-04-07T14:00:00,2019-04-07T14:00:00,,266.5,266.5,500,500,125,125,250,,37,4062,131.713,21,9,11,77,90.527,2:56:38,.722,0,0,PRN,FS1,588,True,
4781,1,2019,Toyota Owners 400,1,False,26,Richmond Raceway,2019-04-13T19:30:00,2019-04-13T19:30:00,2019-04-13T19:30:00,,300.0,300.0,400,400,100,100,200,,37,1416,124.298,8,5,5,41,99.852,3:00:16,0.178,0,0,MRN,FOX,1555,True,
4782,1,2019,GEICO 500,1,True,82,Talladega Superspeedway,2019-04-28T14:00:00,2019-04-28T13:00:00,2019-04-27T00:00:00,,500.08,500.08,188,188,55,55,78,,40,3873,192.544,38,15,6,21,161.331,3:05:59,Caution,0,0,MRN,FOX,957,True,
4783,1,2019,Gander RV 400,1,False,103,Dover International Speedway,2019-05-05T14:00:00,2019-05-06T12:00:00,2019-05-06T12:00:00,,400.0,400.0,400,400,120,120,160,,37,4062,165.96,15,11,6,31,127.242,3:08:37,9.501,0,0,MRN,FS1,922,True,
4784,1,2019,Digital Ally 400,1,False,41,Kansas Speedway,2019-05-11T19:30:00,2019-05-11T18:30:00,2019-05-11T18:30:00,,400.5,406.5,267,271,80,80,111,,40,1416,179.217,23,12,7,41,131.023,3:06:09,.205,0,0,MRN,FS1,3884,True,
4786,1,2019,Monster Energy Open,2,False,162,Charlotte Motor Speedway,2019-05-18T18:00:00,2019-05-18T18:00:00,2019-05-18T18:00:00,,75.0,93.0,50,62,0,0,0,,24,4093,182.168,7,7,4,15,91.877,1:00:44,.867,0,0,MRN,FS1,3690,True,
4785,1,2019,Monster Energy NASCAR All-Star Race,2,False,162,Charlotte Motor Speedway,2019-05-18T20:00:00,2019-05-18T20:00:00,2019-05-18T20:00:00,,127.5,132.0,85,88,30,20,38,,19,339,136.371,10,7,8,17,79.439,1:36:18,.322,0,0,MRN,FS1,3670,True,
4787,1,2019,Coca-Cola 600,1,False,162,Charlotte Motor Speedway,2019-05-26T18:00:00,2019-05-26T18:00:00,2019-05-23T00:00:00,,600.0,600.0,400,400,100,100,200,,40,4184,183.424,30,11,16,80,124.074,4:50:09,0.330,0,0,PRN,FOX,447,True,
4788,1,2019,Pocono 400,1,False,198,Pocono Raceway,2019-06-02T14:00:00,2019-06-02T14:00:00,2019-06-02T14:00:00,,400.0,400.0,160,160,50,50,60,,37,4184,173.494,13,9,8,28,134.718,2:58:09,2.224,0,0,MRN,FS1,1358,True,
4789,1,2019,FireKeepers Casino 400,1,False,133,Michigan International Speedway,2019-06-09T14:00:00,2019-06-10T17:00:00,2019-06-10T17:00:00,,400.0,406.0,200,203,60,60,83,,36,3859,187.139,20,11,7,35,140.945,2:52:50,.147,0,0,MRN,FS1,917,True,
4790,1,2019,Toyota / Save Mart 350,1,False,99,Sonoma Raceway,2019-06-23T15:00:00,2019-06-23T12:00:00,2019-06-23T12:00:00,,226.8,2.52,90,90,20,20,50,,38,4030,95.712,7,6,2,6,83.922,2:42:09,1.861,0,0,PRN,FS1,1563,True,
4791,1,2019,Camping World 400,1,False,39,Chicagoland Speedway,2019-06-30T15:00:00,2019-06-30T14:00:00,2019-06-30T14:00:00,,400.5,400.5,267,267,80,80,107,,38,3873,176.263,23,13,5,25,140.677,2:50:49,.546,0,0,MRN,NBCSN,1976,True,
4792,1,2019,Coke Zero Sugar 400,1,True,105,Daytona International Speedway,2019-07-06T19:30:00,2019-07-07T13:00:00,2019-07-05T00:00:00,,400.0,317.5,160,127,50,50,27,,40,0,0.0,24,14,6,25,141.146,2:14:58,Caution,0,0,MRN,NBC,408,True,
4793,1,2019,Quaker State 400 Presented by Walmart,1,False,61,Kentucky Speedway,2019-07-13T19:30:00,2019-07-13T19:30:00,2019-07-12T00:00:00,,400.5,403.5,267,269,80,80,109,,36,4113,184.59,15,10,7,35,141.07,2:51:37,.076,0,0,PRN,NBCSN,3889,True,
4794,1,2019,Foxwoods Resort Casino 301,1,False,138,New Hampshire Motor Speedway,2019-07-21T15:00:00,2019-07-21T15:00:00,2019-07-21T15:00:00,,318.46,318.458,301,301,75,75,151,,37,1816,136.384,14,7,9,48,104.062,3:03:37,0.210,0,0,PRN,NBCSN,1683,True,
4795,1,2019,Gander RV 400,1,False,198,Pocono Raceway,2019-07-28T15:00:00,2019-07-28T15:00:00,2019-07-27T00:00:00,,400.0,407.5,160,163,50,50,63,,38,1416,174.058,9,5,7,24,136.313,2:59:22,0.341,0,0,MRN,NBCSN,1122,True,
4796,1,2019,Go Bowling at The Glen,1,False,157,Watkins Glen International,2019-08-04T15:00:00,2019-08-04T15:00:00,2019-08-04T15:00:00,,220.5,220.5,90,90,20,20,50,,37,4062,127.297,5,4,4,13,98.523,2:14:17,0.454,0,0,MRN,NBCSN,1482,True,
4797,1,2019,Consumers Energy 400,1,False,133,Michigan International Speedway,2019-08-11T15:00:00,2019-08-11T15:00:00,2019-08-11T15:00:00,,400.0,400.0,200,200,60,60,80,,38,1816,190.471,19,8,6,24,149.084,2:40:59,1.054,0,0,MRN,NBCSN,930,True,
4798,1,2019,Bass Pro Shops NRA Night Race,1,False,14,Bristol Motor Speedway,2019-08-17T19:30:00,2019-08-17T19:30:00,2019-08-17T19:30:00,,266.5,266.5,500,500,125,125,250,,39,1361,129.23,23,10,8,61,94.531,2:49:09,.502,0,0,PRN,NBCSN,612,True,
4799,1,2019,Bojangles' Southern 500,1,False,4,Darlington Raceway,2019-09-01T18:00:00,2019-09-01T18:00:00,2019-09-01T18:00:00,,501.32,501.322,367,367,100,100,167,,39,4184,172.487,13,9,7,35,133.825,3:44:46,4.058,0,0,MRN,NBCSN,442,True,
4800,1,2019,Big Machine Vodka 400 at the Brickyard Powered By Florida Georgia Line,1,False,123,Indianapolis Motor Speedway,2019-09-08T14:00:00,2019-09-08T14:00:00,2019-09-08T14:00:00,,400.0,400.0,160,160,50,50,60,,40,1416,185.766,14,8,9,48,119.443,3:20:06,6.118,0,0,IMS,NBC,1716,True,
4801,1,2019,South Point 400,1,False,42,Las Vegas Motor Speedway,2019-09-15T19:00:00,2019-09-15T16:00:00,2019-09-15T14:11:00,,400.0,400.5,267,267,80,80,107,,39,339,178.926,24,14,4,22,142.555,2:48:34,4.173,0,0,PRN,NBCSN,4705,True,
4802,1,2019,Federated Auto Parts 400,1,False,26,Richmond Raceway,2019-09-21T19:30:00,2019-09-21T19:30:00,2019-09-21T19:30:00,,300.0,300.0,400,400,100,100,200,,38,1816,127.185,6,3,5,32,101.437,2:57:27,2.630,0,0,MRN,NBCSN,1544,True,
4803,1,2019,Bank of America ROVAL 400,1,False,210,Charlotte Motor Speedway Road Course,2019-09-29T14:30:00,2019-09-29T14:30:00,2019-09-29T14:30:00,,252.8,0.0,109,109,25,25,59,,40,4184,103.198,13,9,10,23,75.499,3:20:58,3.024,0,0,PRN,NBC,4707,True,
4804,1,2019,Drydene 400,1,False,103,Dover International Speedway,2019-10-06T14:30:00,2019-10-06T14:30:00,2019-10-06T14:30:00,,400.0,400.0,400,400,120,120,160,,38,1361,166.984,14,9,3,17,135.734,02:56:49,1.578,0,0,MRN,NBCSN,1038,True,
4805,1,2019,1000Bulbs.com 500,1,True,82,Talladega Superspeedway,2019-10-13T14:00:00,2019-10-13T13:00:00,2019-10-13T13:00:00,,500.08,500.08,188,188,55,55,78,,40,4062,192.707,46,19,9,43,136.644,3:39:35,0.007,0,0,MRN,NBC,937,True,
4806,1,2019,Hollywood Casino 400,1,False,41,Kansas Speedway,2019-10-20T14:30:00,2019-10-20T13:30:00,2019-10-20T13:30:00,,400.5,415.5,267,277,80,80,117,,40,4093,178.047,15,12,7,32,136.491,3:02:39,.128,0,0,MRN,NBC,1950,True,
4807,1,2019,First Data 500,1,False,22,Martinsville Speedway,2019-10-27T15:00:00,2019-10-27T15:00:00,2019-10-27T15:00:00,,263.0,263.0,500,500,130,130,240,,38,1361,97.84,3,3,11,69,75.448,3:29:09,0.373,0,0,MRN,NBCSN,6,True,
4808,1,2019,AAA Texas 500,1,False,43,Texas Motor Speedway,2019-11-03T15:00:00,2019-11-03T14:00:00,2019-11-03T14:00:00,,501.0,501.0,334,334,85,85,164,,40,1416,189.707,26,11,11,56,133.759,3:44:44,1.594,0,0,PRN,NBCSN,2100,True,
4809,1,2019,Bluegreen Vacations 500,1,False,84,ISM Raceway,2019-11-10T14:30:00,2019-11-10T12:30:00,2019-11-10T12:30:00,,312.0,312.0,312,312,75,75,162,,39,454,140.116,8,5,5,32,111.429,2:48:00,.377,0,0,MRN,NBC,1550,True,
4810,1,2019,Ford EcoBoost 400,1,False,40,Homestead-Miami Speedway,2019-11-17T15:00:00,2019-11-17T15:00:00,1900-01-01T00:00:00,,400.5,400.5,267,267,80,80,107,,40,0,0.0,14,5,3,15,142.654,2:48:47,4.578,0,0,MRN,NBC,1887,True,
4811,2,2019,NASCAR Racing Experience 300,1,True,105,Daytona International Speedway,2019-02-16T14:30:00,2019-02-16T14:30:00,2019-02-16T00:00:00,,300.0,300.0,120,120,30,30,60,,38,4065,189.06,13,9,4,19,151.664,1:58:41,0.116,0,0,MRN,FS1,2131,True,
4812,2,2019,Rinnai 250,1,False,111,Atlanta Motor Speedway,2019-02-23T14:00:00,2019-02-23T14:00:00,2019-02-23T00:00:00,,300.3,251.02,163,163,40,40,83,,37,0,0.0,11,5,3,16,139.456,1:48:00,0.191,0,0,PRN,FS1,2432,True,
4813,2,2019,Boyd Gaming 300,1,False,42,Las Vegas Motor Speedway,2019-03-02T16:00:00,2019-03-02T13:00:00,2019-03-02T00:00:00,,300.0,319.5,200,213,45,45,123,,38,0,0.0,12,6,7,37,115.979,2:35:12,0.192,0,0,PRN,FS1,2573,True,
4814,2,2019,iK9 Service Dog 200,1,False,84,ISM Raceway,2019-03-09T16:00:00,2019-03-09T14:00:00,2019-03-09T14:00:00,,200.0,200.0,200,200,45,45,110,,37,4153,133.973,12,5,4,35,100.897,1:59:30,3.025,0,0,MRN,FS1,2837,True,
4815,2,2019,Production Alliance Group 300,1,False,38,Auto Club Speedway,2019-03-16T17:00:00,2019-03-16T14:00:00,2019-03-16T14:00:00,,300.0,300.0,150,150,35,35,80,,37,4065,179.861,13,6,5,28,130.703,2:17:43,1.927,0,0,MRN,FS1,2596,False,
4816,2,2019,My Bariatric Solutions 300,1,False,43,Texas Motor Speedway,2019-03-30T13:00:00,2019-03-30T13:00:00,2019-03-30T12:00:00,,300.0,300.0,200,200,45,45,110,,38,4153,191.32,11,5,9,50,118.356,2:32:05,0.861,0,0,PRN,FS1,2576,True,
4817,2,2019,Alsco 300,1,False,14,Bristol Motor Speedway,2019-04-06T13:00:00,2019-04-06T13:00:00,2019-04-06T13:00:00,,159.9,159.9,300,300,85,85,130,,37,4104,126.503,11,5,4,40,91.328,1:45:03,0.906,0,0,PRN,FS1,2133,True,
4818,2,2019,ToyotaCare 250,1,False,26,Richmond Raceway,2019-04-12T19:00:00,2019-04-12T19:00:00,2019-04-12T00:00:00,,187.5,187.5,250,250,75,75,100,,38,0,0.0,9,6,7,44,90.519,2:04:17,2.639,0,0,MRN,FS1,2368,True,
4819,2,2019,MoneyLion 300,1,True,82,Talladega Superspeedway,2019-04-27T13:00:00,2019-04-27T12:00:00,2019-04-27T00:00:00,,300.58,300.58,113,113,25,25,63,,37,3861,189.264,16,10,8,34,126.976,2:22:02,0.127,0,0,MRN,FS1,2447,True,
4820,2,2019,Allied Steel Buildings 200,1,False,103,Dover International Speedway,2019-05-04T13:30:00,2019-05-04T13:30:00,2019-05-04T13:30:00,,200.0,200.0,200,200,45,45,110,,38,4104,157.329,3,3,5,29,110.159,1:48:56,1.745,0,0,MRN,FS1,2141,True,
4821,2,2019,Alsco 300,1,False,162,Charlotte Motor Speedway,2019-05-25T13:00:00,2019-05-25T13:00:00,2019-05-25T13:00:00,,300.0,300.0,200,200,45,45,110,,38,4153,184.313,15,7,10,56,110.69,2:42:37,2.102,0,0,PRN,FS1,2143,True,
4822,2,2019,Pocono Green 250 Recycled by J.P. Mascaro & Sons,1,False,198,Pocono Raceway,2019-06-01T13:00:00,2019-06-01T13:00:00,2019-06-01T13:00:00,,250.0,257.5,100,103,25,25,53,,38,4104,170.707,10,6,7,26,121.574,2:07:05,0.226,0,0,MRN,FS1,4532,True,
4823,2,2019,LTi Printing 250,1,False,133,Michigan International Speedway,2019-06-08T13:30:00,2019-06-08T13:30:00,2019-06-08T13:30:00,,250.0,250.0,125,125,30,30,65,,38,2225,193.356,5,5,6,29,133.353,1:52:29,1.515,0,0,MRN,FS1,2450,True,
4824,2,2019,CircuitCity.com 250 presented by Tamron,1,False,206,Iowa Speedway,2019-06-16T17:30:00,2019-06-16T16:30:00,2019-06-16T00:00:00,,218.75,218.75,250,250,60,60,130,,38,4104,132.47,5,3,7,48,94.402,2:19:02,1.756,0,0,MRN,FS1,3961,True,
4825,2,2019,Camping World 300,1,False,39,Chicagoland Speedway,2019-06-29T15:30:00,2019-06-29T14:30:00,2019-06-29T14:30:00,,300.0,300.0,200,200,45,45,110,,38,3859,177.556,10,5,6,30,128.068,2:20:33,2.917,0,0,MRN,NBCSN,2712,False,
4826,2,2019,Circle K Firecracker 250 Powered by Coca-Cola,1,True,105,Daytona International Speedway,2019-07-05T19:30:00,2019-07-05T19:30:00,2019-07-05T00:00:00,,250.0,250.0,100,100,30,30,40,,38,4065,187.743,18,7,7,31,125.786,1:59:15,.109,0,0,MRN,NBCSN,2744,False,
4827,2,2019,Alsco 300,1,False,61,Kentucky Speedway,2019-07-12T19:30:00,2019-07-12T19:30:00,2019-07-12T00:00:00,,300.0,300.0,200,200,45,45,110,,38,4180,180.03,14,8,5,24,139.445,2:09:05,1.651,0,0,PRN,NBCSN,2709,True,
4828,2,2019,ROXOR 200,1,False,138,New Hampshire Motor Speedway,2019-07-20T16:00:00,2019-07-20T16:00:00,2019-07-20T16:00:00,,211.6,211.6,200,200,45,45,110,,38,4104,130.528,5,4,5,28,104.365,2:01:39,4.068,0,0,PRN,NBCSN,2395,True,
4829,2,2019,U.S. Cellular 250,1,False,206,Iowa Speedway,2019-07-27T17:00:00,2019-07-27T16:00:00,2019-07-27T16:00:00,,218.75,218.75,250,250,60,60,130,,38,4153,132.855,8,5,8,58,88.682,2:28:00,1.069,0,0,MRN,NBCSN,3713,True,
4830,2,2019,Zippo 200 at The Glen,1,False,157,Watkins Glen International,2019-08-03T15:00:00,2019-08-03T15:00:00,2019-08-03T15:00:00,,200.9,200.9,82,82,20,20,42,,37,454,124.054,9,6,7,16,88.611,2:16:02,1.168,0,0,MRN,NBC,2530,True,
4831,2,2019,B&L Transport 170 at Mid-Ohio,1,False,72,Mid-Ohio Sports Car Course,2019-08-10T15:00:00,2019-08-10T15:00:00,2019-08-10T15:00:00,,169.35,180.0,75,75,20,20,35,,38,4180,96.506,10,8,6,17,71.439,2:22:14,3.780,0,0,MRN,NBCSN,4229,True,
4832,2,2019,Food City 300,1,False,14,Bristol Motor Speedway,2019-08-16T19:30:00,2019-08-16T19:30:00,2019-08-16T19:30:00,,159.9,159.9,300,300,85,85,130,,38,4180,122.568,11,7,9,59,81.294,1:58:01,0.655,0,0,PRN,NBCSN,2153,True,
4833,2,2019,CTECH Manufacturing 180,1,False,34,Road America,2019-08-24T15:00:00,2019-08-24T14:00:00,2019-08-24T14:00:00,,182.16,182.16,45,45,10,10,25,,38,3774,109.792,8,6,4,8,83.031,2:11:38,1.891,0,0,MRN,NBCSN,3793,True,
4834,2,2019,Sport Clips Haircuts VFW 200,1,False,4,Darlington Raceway,2019-08-31T16:00:00,2019-08-31T16:00:00,2019-08-31T16:00:00,,200.8,200.802,147,147,45,45,57,,38,4023,171.369,5,3,5,23,119.131,1:41:08,.602,0,0,MRN,NBC,2200,True,
4835,2,2019,Indiana 250,1,False,123,Indianapolis Motor Speedway,2019-09-07T15:00:00,2019-09-07T15:00:00,2019-09-07T15:00:00,,250.0,250.0,100,100,30,30,40,,38,454,168.397,14,7,8,31,114.199,2:11:21,0.132,0,0,IMS,NBCSN,4074,True,
4836,2,2019,Rhino Pro Truck Outfitters 300,1,False,42,Las Vegas Motor Speedway,2019-09-14T19:30:00,2019-09-14T16:30:00,2019-09-14T16:30:00,,300.0,300.0,200,200,45,45,110,,38,4104,181.372,13,5,4,20,138.284,2:10:10,0.738,0,0,PRN,NBCSN,4082,True,
4837,2,2019,Go Bowling 250,1,False,26,Richmond Raceway,2019-09-20T19:30:00,2019-09-20T19:30:00,2019-09-20T19:30:00,,187.5,187.5,250,250,75,75,100,,38,4180,118.901,4,3,5,31,95.935,1:57:16,1.700,0,0,MRN,NBCSN,2332,True,
4838,2,2019,Drive for the Cure 200 presented by Blue Cross Blue Shield of North Carolina,1,False,210,Charlotte Motor Speedway Road Course,2019-09-28T15:30:00,2019-09-28T15:30:00,2019-09-28T15:30:00,,152.76,0.0,67,67,20,20,27,,38,4228,100.346,7,6,7,14,73.726,2:06:30,2.386,0,0,PRN,NBCSN,4742,True,
4839,2,2019,Use Your Melon Driver Sober 200,1,False,103,Dover International Speedway,2019-10-05T15:00:00,2019-10-05T15:00:00,2019-10-05T15:00:00,,200.0,200.0,200,200,45,45,110,,38,4228,157.246,9,6,6,33,107.639,1:51:29,1.000,0,0,MRN,NBCSN,2275,True,
4840,2,2019,Kansas Lottery 300,1,False,41,Kansas Speedway,2019-10-19T15:00:00,2019-10-19T14:00:00,2019-10-19T14:00:00,,300.0,300.0,200,200,45,45,110,,38,4153,181.165,12,5,8,41,119.074,2:31:10,0.272,0,0,MRN,NBC,2721,True,
4841,2,2019,O'Reilly Auto Parts 300,1,False,43,Texas Motor Speedway,2019-11-02T20:30:00,2019-11-02T19:30:00,2019-11-02T19:30:00,,300.0,300.0,200,200,45,45,110,,38,4065,190.705,9,4,9,51,116.543,2:34:27,5.561,0,0,PRN,NBCSN,3794,True,
4842,2,2019,Desert Diamond West Valley Casino 200,1,False,84,ISM Raceway,2019-11-09T15:30:00,2019-11-09T13:30:00,2019-11-09T13:30:00,,200.0,200.0,200,200,45,45,110,,38,4153,132.45,9,6,4,23,106.936,1:52:13,0.810,0,0,MRN,NBC,2860,True,
4843,2,2019,Ford EcoBoost 300,1,False,40,Homestead-Miami Speedway,2019-11-16T15:30:00,2019-11-16T15:30:00,2019-11-16T15:30:00,,300.0,300.0,200,200,45,45,110,,38,4065,167.069,15,6,7,35,118.564,2:31:49,1.038,0,0,MRN,NBCSN,2861,True,
4844,3,2019,NextEra Energy 250,1,False,105,Daytona International Speedway,2019-02-15T19:30:00,2019-02-15T19:30:00,2019-02-15T00:00:00,,250.0,277.5,100,111,20,20,71,,32,4268,182.604,15,10,11,55,104.498,2:39:20,0.278,0,0,MRN,FS1,3020,True,
4845,3,2019,Ultimate Tailgating 200,1,False,111,Atlanta Motor Speedway,2019-02-23T16:30:00,2019-02-23T16:30:00,2019-02-23T00:00:00,,200.0,200.2,130,130,40,40,50,,32,0,0.0,10,6,6,30,112.648,1:46:38,0.932,0,0,MRN,FS1,4475,True,
4846,3,2019,Strat 200,1,False,42,Las Vegas Motor Speedway,2019-03-01T21:00:00,2019-03-01T00:00:00,2019-03-01T00:00:00,,200.0,201.0,134,134,30,30,74,,32,454,178.903,7,5,3,15,139.449,1:26:29,1.211,0,0,MRN,FS1,4103,True,
4847,3,2019,TrüNorth Global 250,1,False,22,Martinsville Speedway,2019-03-23T14:00:00,2019-03-23T14:00:00,2019-03-23T00:00:00,,131.5,131.5,250,250,70,70,110,,32,4205,96.465,8,4,7,50,70.175,1:52:26,Caution,0,0,MRN,FOX,2913,True,
4851,3,2019,Vankor 350,1,False,43,Texas Motor Speedway,2019-03-29T21:00:00,2019-03-29T21:00:00,2019-03-29T20:00:00,,250.5,220.5,167,147,35,35,77,,32,3978,187.35,16,6,9,47,106.923,2:03:44,1.269,0,0,MRN,FS1,4095,True,
4848,3,2019,JEGS 200,1,False,103,Dover International Speedway,2019-05-03T17:00:00,2019-05-03T17:00:00,2019-05-03T17:00:00,,200.0,200.0,200,200,45,45,110,,32,4038,161.413,11,6,6,35,107.431,1:51:42,0.603,0,0,MRN,FS1,3041,True,
4849,3,2019,Digital Ally 250,1,False,41,Kansas Speedway,2019-05-10T20:30:00,2019-05-10T19:30:00,2019-05-10T19:30:00,,250.5,250.5,167,167,40,40,87,,30,694,177.288,22,9,6,29,123.517,2:01:41,.483,0,0,MRN,FS1,3055,True,
4850,3,2019,North Carolina Education Lottery 200,1,False,162,Charlotte Motor Speedway,2019-05-17T20:30:00,2019-05-17T20:30:00,2019-05-17T20:30:00,,201.0,201.0,134,134,30,30,74,,32,694,179.134,19,9,7,31,114.985,1:44:53,1.115,0,0,MRN,FS1,3094,True,
4864,3,2019,SpeedyCash.com 400,1,False,43,Texas Motor Speedway,2019-06-07T21:00:00,2019-06-07T20:00:00,2019-06-07T20:00:00,,220.5,250.5,147,167,40,40,87,,32,4231,184.761,12,9,13,63,100.434,2:29:39,0.963,0,0,MRN,FS1,3018,True,
4852,3,2019,M&M'S 200 presented by Casey's General Store ,1,False,206,Iowa Speedway,2019-06-16T12:00:00,2019-06-16T11:00:00,2019-06-15T00:00:00,,175.0,175.0,200,200,60,60,80,,32,0,0.0,3,4,4,25,104.686,1:40:18,5.596,0,0,MRN,FS1,3715,False,
4853,3,2019,CarShield 200 presented by CK Power,1,False,45,World Wide Technology Raceway at Gateway,2019-06-22T22:00:00,2019-06-22T21:00:00,1900-01-01T00:00:00,,200.0,200.0,100,160,35,35,90,,32,0,0.0,14,8,5,30,102.171,1:57:27,0.704,0,0,MRN,FS1,4376,True,
4854,3,2019,Camping World 225,1,False,39,Chicagoland Speedway,2019-06-28T21:00:00,2019-06-28T20:00:00,2019-06-28T20:00:00,,225.0,225.0,150,150,35,35,80,,32,4133,176.632,12,7,5,27,123.551,1:49:16,3.950,0,0,MRN,FS1,3714,True,
4855,3,2019,Buckle Up In Your Truck 225,1,False,61,Kentucky Speedway,2019-07-11T19:30:00,2019-07-11T19:30:00,2019-07-11T00:00:00,,225.0,225.0,150,150,35,35,80,,32,3978,181.953,10,7,5,33,119.416,1:53:03,7.373,0,0,MRN,FS1,3994,True,
4857,3,2019,Gander RV 150,1,False,198,Pocono Raceway,2019-07-27T13:00:00,2019-07-27T13:00:00,2019-07-27T13:00:00,,125.0,150.0,60,60,15,15,30,,32,4133,171.347,3,3,4,12,124.224,1:12:27,1.007,0,0,MRN,FOX,3822,True,
4856,3,2019,Eldora Dirt Derby,1,False,208,Eldora Speedway,2019-08-01T21:00:00,2019-08-01T21:00:00,2019-08-01T21:00:00,,75.0,75.0,150,150,40,50,60,,32,4228,0.0,1,2,12,68,41.247,1:49:06,.728,0,0,MRN,FS1,4363,True,
4858,3,2019,Corrigan Oil 200,1,False,133,Michigan International Speedway,2019-08-10T13:00:00,2019-08-10T13:00:00,2019-08-10T13:00:00,,200.0,210.0,100,105,20,20,65,,32,4001,183.772,17,10,8,35,113.616,1:50:54,0.125,0,0,MRN,FS1,3010,True,
4859,3,2019,UNOH 200 presented by Ohio Logistics,1,False,14,Bristol Motor Speedway,2019-08-15T20:30:00,2019-08-15T20:30:00,2019-08-15T20:30:00,,106.6,106.6,200,200,55,55,90,,32,4038,127.69,9,3,12,73,65.983,1:36:56,0.743,0,0,MRN,FS1,3105,True,
4860,3,2019,Chevrolet Silverado 250,1,False,209,Canadian Tire Motorsport Park,2019-08-25T14:30:00,2019-08-25T14:30:00,2019-08-25T14:30:00,,157.38,160.0,64,64,20,20,24,,29,4038,111.376,6,5,3,9,88.913,1:46:12,5.160,0,0,MRN,FS1,4252,True,
4861,3,2019,World of Westgate 200,1,False,42,Las Vegas Motor Speedway,2019-09-13T21:00:00,2019-09-13T18:00:00,2019-09-13T18:00:00,,200.0,201.0,134,134,30,30,74,,32,4268,178.077,21,5,6,32,112.71,1:47:00,2.116,0,0,MRN,FS1,2941,True,
