season,series_id,race_id,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2014,C,2014_NextEra_Energy_Resources_250,1,7,51,usa,Kyle_Busch,Kyle Busch,ToyotaCare,Kyle_Busch,Toyota,100,70870,running,25,0
2014,C,2014_NextEra_Energy_Resources_250,2,18,17,usa,Timothy_Peters,Timothy Peters,Valvoline Max Life,Tom_DeLoach,Toyota,100,52260,running,20,43
2014,C,2014_NextEra_Energy_Resources_250,3,9,98,usa,Johnny_Sauter,Johnny Sauter,Nextant Aerospace / Curb Records,Mike_Curb,Toyota,100,37226,running,0,41
2014,C,2014_NextEra_Energy_Resources_250,4,14,32,usa,Ryan_Truex,Ryan Truex,Bass Pro Shops / Tracker Boats,Steve_Turner,Chevrolet,100,27700,running,0,0
2014,C,2014_NextEra_Energy_Resources_250,5,2,30,usa,Ron_Hornaday_Jr,"Ron Hornaday, Jr.",Rheem,Steve_Turner,Chevrolet,100,23050,running,0,39
2014,C,2014_NextEra_Energy_Resources_250,6,3,29,usa,Ryan_Blaney,Ryan Blaney,Cooper Standard / CareersForVeterans.org,Brad_Keselowski,Ford,100,18925,running,0,38
2014,C,2014_NextEra_Energy_Resources_250,7,11,13,usa,Jeb_Burton,Jeb Burton,VAMP E-Cigs / Vapor Brands,Duke_Thorson,Toyota,100,17625,running,0,37
2014,C,2014_NextEra_Energy_Resources_250,8,13,8,usa,Joe_Nemechek,Joe Nemechek,Wood Pellet Grills,Joe_Nemechek,Toyota,100,14375,running,0,36
2014,C,2014_NextEra_Energy_Resources_250,9,30,08,usa,Jimmy_Weller_III,Jimmy Weller III,Geneva-Liberty Steel / Engine Parts Plus,Bobby_Dotter,Chevrolet,100,15625,running,0,35
2014,C,2014_NextEra_Energy_Resources_250,10,23,77,mexico,German_Quiroga,German Quiroga,OtterBox,Tom_DeLoach,Toyota,100,15900,running,0,34
2014,C,2014_NextEra_Energy_Resources_250,11,12,39,usa,Ryan_Sieg,Ryan Sieg,Star Fleet Trucking,Rod_Sieg,Chevrolet,100,14525,running,0,33
