race_id,series_id,race_season,result_id,finishing_position,starting_position,car_number,driver_fullname,driver_hometown,hometown_city,hometown_state,hometown_country,team_id,team_name,qualifying_order,qualifying_position,qualifying_speed,laps_led,times_led,car_make,car_model,sponsor,points_earned,playoff_points_earned,laps_completed,finishing_status,winnings,owner_fullname,crew_chief_id,crew_chief_fullname,points_position,points_delta,owner_id,official_car_number,disqualified,diff_laps,diff_time
4770,1,2019,255915,8,18,10,Aric Almirola,,Tampa,Florida,,2686,Stewart-Haas Racing,0,18,0,0,0,Ford,Mustang,Smithfield Prime Fresh,0,,59,Running,0,Stewart-Haas Racing,,John Klausmeier,0,0,3193,10,,,
4770,1,2019,255918,16,15,14,Clint Bowyer,,Emporia,Kansas,,2370,Stewart-Haas Racing,0,15,0,0,0,Ford,Mustang,Mobil 1,0,,55,Accident,0,Stewart-Haas Racing,,Mike Bugarewicz,0,0,4084,14,,,
4770,1,2019,255909,2,19,1,Kurt Busch,,Las Vegas,Nevada,,1432,Chip Ganassi Racing,0,19,0,0,0,Chevrolet,Camaro,Monster Energy,0,,59,Running,0,Chip Ganassi Racing,,Matt McCall,0,0,4032,1,,,
4770,1,2019,255919,14,2,18,Kyle Busch,,Las Vegas,Nevada,,1524,Joe Gibbs Racing,0,2,0,1,1,Toyota,Camry,M&M's Tablet,0,,55,Accident,0,Joe Gibbs Racing,,Adam Stevens,0,0,4047,18,,,
4770,1,2019,255916,17,17,11,Denny Hamlin,,Chesterfield,Virginia,,1447,Joe Gibbs Racing,0,17,0,0,0,Toyota,Camry,FedEx Express,0,,55,Accident,0,Joe Gibbs Racing,,Christopher Gabehart,0,0,1187,11,,,
4770,1,2019,255912,12,6,4,Kevin Harvick,,Bakersfield,California,,2766,Stewart-Haas Racing,0,6,0,0,0,Ford,Mustang,Busch Beer Car2Can,0,,57,Running,0,Stewart-Haas Racing,,Rodney Childers,0,0,3193,4,,,
4770,1,2019,255927,1,13,48,Jimmie Johnson,,El Cajon,California,,1707,Hendrick Motorsports,0,13,0,4,1,Chevrolet,Camaro,Ally,0,,59,Running,0,Hendrick Motorsports,,Kevin Meendering,0,0,1237,48,,,
4770,1,2019,255910,18,3,2,Brad Keselowski,,Rochester Hills,Michigan,,1547,Team Penske,0,3,0,0,0,Ford,Mustang,Miller Lite,0,,55,Accident,0,Team Penske,,Paul Wolfe,0,0,4414,2,,,
4770,1,2019,255924,11,11,40,Jamie McMurray,,Joplin,Missouri,,3015,Spire Motorsports,0,11,0,0,0,Chevrolet,Camaro,AdventHealth,0,,58,Running,0,Spire Motorsports,,Scott Eggleston,0,0,7539,40,,,
4770,1,2019,255922,13,1,21,Paul Menard,,Eau Claire,Wisconsin,,1560,Wood Brothers Racing,0,1,0,51,2,Ford,Mustang,Motorcraft / Quick Lane Tire & Auto Center,0,,55,Accident,0,Wood Brothers Racing,,Greg Erwin,0,0,7552,21,,,
