race_id,series_id,race_season,result_id,finishing_position,starting_position,car_number,driver_fullname,driver_hometown,hometown_city,hometown_state,hometown_country,team_id,team_name,qualifying_order,qualifying_position,qualifying_speed,laps_led,times_led,car_make,car_model,sponsor,points_earned,playoff_points_earned,laps_completed,finishing_status,winnings,owner_fullname,crew_chief_id,crew_chief_fullname,points_position,points_delta,owner_id,official_car_number,disqualified,diff_laps,diff_time
5006,1,2021,272355,9,20,47,Ricky Stenhouse Jr,,Olive Branch,Mississippi,,2377,JTG Daugherty Racing,20,20,0.0,0,0,Chevrolet,Camaro,Kroger,0,0,35,Running,0,JTG Daugherty Racing,,Brian Pattie,0,0,4862,47,False,0,10023
5006,1,2021,272350,19,15,1,Kurt Busch,,Las Vegas,Nevada,,1432,Chip Ganassi Racing,1,15,0.0,1,1,Chevrolet,Camaro,AdventHealth,0,0,35,Running,0,Chip Ganassi Racing,,Matt McCall,0,0,4032,1,False,0,57941
5006,1,2021,272358,15,17,4,Kevin Harvick,,Bakersfield,California,,2766,Stewart-Haas Racing,4,17,0.0,0,0,Ford,Mustang,Busch Light,0,0,35,Running,0,Stewart-Haas Racing,,Rodney Childers,0,0,3193,4,False,0,19627
5006,1,2021,272349,4,6,8,Tyler Reddick,,Corning,California,,2983,Richard Childress Racing,6,6,0.0,1,1,Chevrolet,Camaro,TBA,0,0,35,Running,0,Richard Childress Racing,,Randall Burnett,0,0,553,8,False,0,1797
5006,1,2021,272346,17,4,2,Brad Keselowski,,Rochester Hills,Michigan,,1547,Team Penske,2,4,0.0,1,1,Ford,Mustang,MoneyLion,0,0,35,Running,0,Team Penske,,Jeremy Bullins,0,0,4414,2,False,0,22867
5006,1,2021,272363,18,14,23,Ty Dillon,,Welcome,North Carolina,,3078,23XI Racing,16,14,0.0,0,0,Toyota,Camry,Root Insurance,0,0,35,Running,0,23XI Racing,,Michael Wheeler,0,0,7712,23,False,0,57123
5006,1,2021,272344,5,5,24,William Byron,,Charlotte,North Carolina,,1581,Hendrick Motorsports,17,5,0.0,0,0,Chevrolet,Camaro,Axalta,0,0,35,Running,0,Hendrick Motorsports,,Rudy Fugle,0,0,1464,24,False,0,4195
5006,1,2021,272360,21,18,19,Martin Truex Jr,,Mayetta,New Jersey,,2810,Joe Gibbs Racing,13,18,0.0,2,1,Toyota,Camry,DeWalt,0,0,27,Accident,0,Joe Gibbs Racing,,James Small,0,0,1187,19,False,8,0
5006,1,2021,272359,20,8,41,Cole Custer,,Ladera Ranch,California,,2767,Stewart-Haas Racing,18,8,0.0,0,0,Ford,Mustang,HaasTooling.com,0,0,32,Running,0,Stewart-Haas Racing,,Mike Shiplett,0,0,4084,41,False,3,0
5006,1,2021,272362,12,21,10,Aric Almirola,,Tampa,Florida,,2686,Stewart-Haas Racing,8,21,0.0,0,0,Ford,Mustang,Smithfield,0,0,35,Running,0,Stewart-Haas Racing,,Mike Bugarewicz,0,0,3193,10,False,0,13923
5006,1,2021,272351,6,3,11,Denny Hamlin,,Chesterfield,Virginia,,1447,Joe Gibbs Racing,9,3,0.0,21,4,Toyota,Camry,FedEx Express,0,0,35,Running,0,Joe Gibbs Racing,,Christopher Gabehart,0,0,1187,11,False,0,8224
5006,1,2021,272348,2,7,9,Chase Elliott,,Dawsonville,Georgia,,2952,Hendrick Motorsports,7,7,0.0,4,1,Chevrolet,Camaro,Llumar,0,0,35,Running,0,Hendrick Motorsports,,Alan Gustafson,0,0,1464,9,False,0,765
5006,1,2021,272356,3,10,22,Joey Logano,,Middletown,Connecticut,,2593,Team Penske,15,10,0.0,0,0,Ford,Mustang,Shell Penzoil,0,0,35,Running,0,Team Penske,,Paul Wolfe,0,0,4414,22,False,0,1444
5006,1,2021,272347,8,9,43,Erik Jones,,Byron,Michigan,,1690,Richard Petty Motorsports,19,9,0.0,0,0,Chevrolet,Camaro,RP Funding,0,0,35,Running,0,Richard Petty Motorsports,,Jerry Baxter,0,0,2562,43,False,0,9588
5006,1,2021,272353,7,2,48,Alex Bowman,,Tucson,Arizona,,1707,Hendrick Motorsports,21,2,0.0,0,0,Chevrolet,Camaro,Ally,0,0,35,Running,0,Hendrick Motorsports,,Greg Ives,0,0,1464,48,False,0,9341
5006,1,2021,272357,11,19,3,Austin Dillon,,Welcome,North Carolina,,2765,Richard Childress Racing,3,19,0.0,0,0,Chevrolet,Camaro,Bass Pro Shops,0,0,35,Running,0,Richard Childress Racing,,Justin Alexander,0,0,553,3,False,0,12786
5006,1,2021,272361,14,11,6,Ryan Newman,,South Bend,Indiana,,2803,Roush Fenway Racing,5,11,0.0,0,0,Ford,Mustang,Guaranteed Rate,0,0,35,Running,0,Roush Fenway Racing,,Scott Graves,0,0,5061,6,False,0,17869
5006,1,2021,272345,16,13,17,Chris Buescher,,Prosper,Texas,,1513,Roush Fenway Racing,11,13,0.0,0,0,Ford,Mustang,Fastenal,0,0,35,Running,0,Roush Fenway Racing,,Lucas Lambert,0,0,5061,17,False,0,22610
5006,1,2021,272343,10,12,21,Matt DiBenedetto,,Grass Valley,California,,1560,Wood Brothers Racing,14,12,0.0,0,0,Ford,Mustang,Motorcraft / Quick Lane,0,0,35,Running,0,Wood Brothers Racing,,Greg Erwin,0,0,7552,21,False,0,10472
5006,1,2021,272352,13,1,12,Ryan Blaney,,High Point,North Carolina,,1460,Team Penske,10,1,0.0,4,3,Ford,Mustang,Menards\Great Lakes Flooring,0,0,35,Running,0,Team Penske,,Todd Gordon,0,0,4414,12,False,0,17556
5006,1,2021,272354,1,16,18,Kyle Busch,,Las Vegas,Nevada,,1524,Joe Gibbs Racing,12,16,0.0,1,1,Toyota,Camry,M&M's Core,0,0,35,Running,0,Joe Gibbs Racing,,Ben Beshore,0,0,4047,18,False,0,0
5007,1,2021,272499,1,2,10,Aric Almirola,,Tampa,Florida,,2686,Stewart-Haas Racing,11,2,0.0,52,4,Ford,Mustang,Smithfield,10,0,60,Running,0,Stewart-Haas Racing,,Mike Bugarewicz,1,0,3193,10,False,0,0
5007,1,2021,272514,3,12,6,Ryan Newman,,South Bend,Indiana,,2803,Roush Fenway Racing,7,12,0.0,0,0,Ford,Mustang,Kohler Generators ,8,0,60,Running,0,Roush Fenway Racing,,Scott Graves,3,0,5061,6,False,0,154
5007,1,2021,272500,13,7,11,Denny Hamlin,,Chesterfield,Virginia,,1447,Joe Gibbs Racing,12,7,0.0,1,1,Toyota,Camry,FedEx,0,0,60,Running,0,Joe Gibbs Racing,,Christopher Gabehart,13,0,7540,11,False,0,7439
5007,1,2021,272508,17,15,43,Erik Jones,,Byron,Michigan,,1690,Richard Petty Motorsports,33,15,0.0,0,0,Chevrolet,Camaro,Armor All,0,0,59,Running,0,Richard Petty Motorsports,,Jerry Baxter,17,0,2562,43,False,1,0
5007,1,2021,272515,19,20,66,Timmy Hill,,Port Tobacco,Maryland,,2256,Motorsports Business Management,40,20,0.0,0,0,Ford,Mustang,VSI Racing,0,0,57,Running,0,Motorsports Business Management,,Clinton Cram,19,0,7229,66,False,3,0
5007,1,2021,272503,4,11,22,Joey Logano,,Middletown,Connecticut,,2593,Team Penske,23,11,0.0,0,0,Ford,Mustang,Shell Pennzoil,7,0,60,Running,0,Team Penske,,Paul Wolfe,4,0,4414,22,False,0,181
