season,series_id,race_id,race_id_short,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,1,1,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,150,running,150,48,
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,2,5,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,150,running,0,42,
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,3,4,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,150,running,0,41,
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,4,7,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,150,running,0,40,
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,5,3,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,150,running,0,39,
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,6,8,77,mexico,Ruben_Pardo,Ruben Pardo,ZTE,,Toyota,150,running,0,38,
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,7,6,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,150,running,0,37,
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,8,2,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,148,running,0,36,
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,9,10,51,mexico,Jacobo_Cosio,Jacobo Cosio,Chevron / Havoline / Pioneer,,Ford,147,running,0,35,
2020,MX,2020_Gran_Premio_Queretaro,2020_01_MX,10,9,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,147,running,0,34,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,1,1,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,210,running,112,48,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,2,6,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,210,running,95,43,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,3,3,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,210,running,0,41,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,4,2,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,210,running,0,40,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,5,7,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,210,running,0,39,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,6,8,47,mexico,Xavi_Razo,Xavi Razo,Valtons Group / HO Speed Racing,,Toyota,210,running,0,38,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,7,10,77,mexico,Ruben_Pardo,Ruben Pardo,ZTE,,Toyota,208,running,0,37,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,8,5,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,207,running,0,36,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,9,4,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,207,running,3,36,
2020,MX,2020_Gran_Premio_San_Luis_Potosi,2020_02_MX,10,9,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,0,dnf,0,34,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,1,3,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,220,running,59,47,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,2,2,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,220,running,0,42,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,3,7,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,220,running,0,41,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,4,4,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,220,running,0,40,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,5,5,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,219,running,0,39,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,6,11,51,mexico,Jacobo_Cosio,Jacobo Cosio,Chevron / Havoline / Pioneer,,Ford,219,running,0,38,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,7,8,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,218,running,0,37,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,8,1,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,218,running,161,38,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,9,6,6,mexico,Rogelio_Lopez,Rogelio Lopez,Akron / Alpha Racing,,Toyota,216,dnf,0,35,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,10,10,77,mexico,Ruben_Pardo,Ruben Pardo,ITCR Infraestructura / Lumo,,Toyota,171,running,0,34,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,11,12,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,102,dnf,0,33,
2020,MX,2020_Gran_Premio_Aguascalientes,2020_03_MX,12,9,47,mexico,Xavi_Razo,Xavi Razo,Valtons Group / HO Speed Racing,,Toyota,50,dnf,0,32,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,1,7,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,85,running,35,48,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,2,2,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,85,running,1,43,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,3,9,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,85,running,0,41,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,4,11,77,mexico,Ruben_Pardo,Ruben Pardo,ITCR Infraestructura / Lumo,,Toyota,85,running,0,40,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,5,3,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,85,running,23,40,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,6,6,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,85,running,0,38,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,7,4,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,85,running,25,38,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,8,5,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,85,running,0,36,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,9,8,08,mexico,Jose_Luis_Ramirez,Jose Luis Ramirez,Prestoflam,,Ford,53,dnf,0,35,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,10,10,51,mexico,Jacobo_Cosio,Jacobo Cosio,Chevron / Havoline / Pioneer,,Ford,47,crash,0,34,
2020,MX,2020_Gran_Premio_Puebla,2020_04_MX,11,1,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,9,dnf,1,34,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,1,3,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,81,running,7,47,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,2,1,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,81,running,74,44,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,3,2,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,81,running,0,41,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,4,6,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,81,running,0,40,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,5,5,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,81,running,0,39,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,6,4,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,81,running,0,38,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,7,7,08,mexico,Jose_Luis_Ramirez,Jose Luis Ramirez,Prestoflam,,Ford,81,running,0,37,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,8,11,77,mexico,Ruben_Pardo,Ruben Pardo,ITCR Infraestructura / Lumo,,Toyota,81,running,0,36,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,9,8,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,81,running,0,35,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,10,10,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,65,dnf,0,34,
2020,MX,2020_Gran_Premio_Puebla_%28Sept_12%29,2020_05_MX,11,9,51,mexico,Jacobo_Cosio,Jacobo Cosio,Chevron / Havoline / Pioneer,,Ford,46,dnf,0,33,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,1,1,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,72,running,72,48,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,2,3,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,72,running,0,42,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,3,5,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,72,running,0,41,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,4,4,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,72,running,0,40,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,5,9,51,mexico,Jacobo_Cosio,Jacobo Cosio,Chevron / Havoline / Pioneer,,Ford,72,running,0,39,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,6,8,77,mexico,Ruben_Pardo,Ruben Pardo,ITCR Infraestructura / Lumo,,Toyota,72,running,0,38,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,7,2,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,71,running,0,37,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,8,6,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,68,running,0,36,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,9,10,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,67,running,0,35,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_2%29,2020_06_MX,10,7,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,29,dnf,0,34,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,1,5,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,72,running,26,47,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,2,1,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,72,running,41,44,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,3,3,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,72,running,0,41,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,4,4,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,72,running,0,40,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,5,2,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,72,running,0,39,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,6,6,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,72,running,0,38,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,7,7,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,71,running,0,37,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,8,9,51,mexico,Jacobo_Cosio,Jacobo Cosio,Chevron / Havoline / Pioneer,,Ford,68,running,0,36,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,9,8,77,mexico,Ruben_Pardo,Ruben Pardo,ITCR Infraestructura / Lumo,,Toyota,67,running,4,36,
2020,MX,2020_Gran_Premio_Queretaro_%28Oct_3%29,2020_07_MX,10,10,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,29,running,0,34,
2020,MX,2020_Gran_Premio_San_Luis_Potosi_%28October%29,2020_08_MX,1,1,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,236,running,192,48,
2020,MX,2020_Gran_Premio_San_Luis_Potosi_%28October%29,2020_08_MX,2,6,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,236,running,0,42,
2020,MX,2020_Gran_Premio_San_Luis_Potosi_%28October%29,2020_08_MX,3,5,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,236,running,40,42,
2020,MX,2020_Gran_Premio_San_Luis_Potosi_%28October%29,2020_08_MX,4,2,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,236,running,0,40,
2020,MX,2020_Gran_Premio_San_Luis_Potosi_%28October%29,2020_08_MX,5,4,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,231,running,0,39,
2020,MX,2020_Gran_Premio_San_Luis_Potosi_%28October%29,2020_08_MX,6,9,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,212,radiator,0,38,
2020,MX,2020_Gran_Premio_San_Luis_Potosi_%28October%29,2020_08_MX,7,3,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,204,mechanical,4,38,
2020,MX,2020_Gran_Premio_San_Luis_Potosi_%28October%29,2020_08_MX,8,7,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,184,dnf,0,36,
2020,MX,2020_Gran_Premio_San_Luis_Potosi_%28October%29,2020_08_MX,9,8,77,mexico,Ruben_Pardo,Ruben Pardo,ITCR Infraestructura / Lumo,,Toyota,168,crash,0,35,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,1,7,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,210,running,106,48,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,2,9,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,210,running,38,43,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,3,10,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,210,running,1,42,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,4,1,08,mexico,Jose_Luis_Ramirez,Jose Luis Ramirez,Prestoflam,,Ford,210,running,65,40,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,5,6,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,210,running,0,39,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,6,3,77,mexico,Ruben_Pardo,Ruben Pardo,ITCR Infraestructura / Lumo,,Toyota,210,running,0,38,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,7,5,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,209,running,0,37,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,8,4,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,209,running,0,36,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,9,2,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,208,running,0,35,
2020,MX,2020_Gran_Premio_Aguascalientes_%28November%29,2020_09_MX,10,8,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,198,running,0,34,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,1,8,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,154,running,14,47,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,2,9,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,154,running,24,43,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,3,10,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,154,running,99,43,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,4,7,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,154,running,8,41,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,5,6,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,154,running,0,39,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,6,2,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,154,running,0,38,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,7,3,77,mexico,Ruben_Pardo,Ruben Pardo,ITCR Infraestructura / Lumo,,Toyota,154,running,0,37,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,8,1,20,mexico,Homero_Richards,Homero Richards,HRI,,Toyota,154,running,9,37,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,9,5,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,152,running,0,35,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_27%29,2020_10_MX,10,4,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,13,crash,0,34,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_28%29,2020_11_MX,1,8,28,mexico,Ruben_Rovelo,Ruben Rovelo,Alessandros / Marketing & Advertising / Andra,,Toyota,154,running,137,48,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_28%29,2020_11_MX,2,10,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,154,running,0,42,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_28%29,2020_11_MX,3,9,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,154,running,0,41,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_28%29,2020_11_MX,4,6,1,mexico,Luis_Michael_Dorrbecker,Luis Michael Dorrbecker,FedEx / Telcel,,Ford,154,running,0,40,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_28%29,2020_11_MX,5,5,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,154,running,0,39,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_28%29,2020_11_MX,6,1,26,mexico,Santiago_Tovar,Santiago Tovar,Freightliner / Quaker State / Briggs Equipmen,,Toyota,154,running,0,38,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_28%29,2020_11_MX,7,2,31,mexico,Jorge_Goeters,Jorge Goeters,MM / Vitadeyun / Mecano,,Toyota,154,running,0,37,
2020,MX,2020_Gran_Premio_Queretaro_%28Nov_28%29,2020_11_MX,8,7,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,129,running,17,37,
2020,MX,2020_Gran_Premio_Puebla_%28December%29,2020_12_MX,1,10,2,mexico,Abraham_Calderon,Abraham Calderon,Commscope / Telcel,,Ford,140,running,68,43,
2020,MX,2020_Gran_Premio_Puebla_%28December%29,2020_12_MX,2,11,88,mexico,"Ruben_Garcia,_Jr","Ruben Garcia, Jr.",Canel's / HDI / Seguros,,Toyota,140,running,11,42,
2020,MX,2020_Gran_Premio_Puebla_%28December%29,2020_12_MX,3,9,48,mexico,Salvador_de_Alba_Jr,"Salvador de Alba, Jr.",Sidral Aga,,Ford,140,running,12,41,
2020,MX,2020_Gran_Premio_Puebla_%28December%29,2020_12_MX,4,4,77,mexico,Ruben_Pardo,Ruben Pardo,ITCR Infraestructura / Lumo,,Toyota,140,running,0,40,
2020,MX,2020_Gran_Premio_Puebla_%28December%29,2020_12_MX,5,8,31,mexico,Jorge_Goeters,Jorge Goeters,Z Motors / Autoforum / Saga,,Ford,140,running,0,39,
2020,MX,2020_Gran_Premio_Puebla_%28December%29,2020_12_MX,6,3,51,mexico,Jacobo_Cosio,Jacobo Cosio,Chevron / Havoline / Pioneer,,Ford,139,running,3,38,
2020,MX,2020_Gran_Premio_Puebla_%28December%29,2020_12_MX,7,6,11,mexico,Hugo_Oliveras,Hugo Oliveras,Monster Energy / 3M / Quaker State,,Toyota,119,running,0,37,
