season,series_id,race_num,race_date,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2002,W,1,02/17/02,Daytona,Daytona_International_Speedway,43,Ward Burton,burtowa01,19,Dodge ,2.500,P,500,10573184,185.831,9,142.971,20,https://www.racing-reference.info/race-results/2002_Daytona_500/W, https://www.racing-reference.info/tracks/Daytona_International_Speedway,https://www.racing-reference.info/driver/burtowa01/
2002,W,2,02/24/02,Rockingham,North_Carolina_Speedway,43,Matt Kenseth,kensema01,25,Ford ,1.017,P,400,2949536,156.008,10,115.478,17,https://www.racing-reference.info/race-results/2002_Subway_400/W, https://www.racing-reference.info/tracks/North_Carolina_Speedway,https://www.racing-reference.info/driver/kensema01/
2002,W,3,03/03/02,Las Vegas,Las_Vegas_Motor_Speedway,43,Sterling Marlin,marlist01,24,Dodge ,1.500,P,401,4137735,172.850,6,136.754,22,https://www.racing-reference.info/race-results/2002_UAW-Daimler_Chrysler_400/W, https://www.racing-reference.info/tracks/Las_Vegas_Motor_Speedway,https://www.racing-reference.info/driver/marlist01/
2002,W,4,03/10/02,Atlanta,Atlanta_Motor_Speedway,43,Tony Stewart,stewato01,9,Pontiac ,1.540,P,501,2911575,191.542,7,148.443,34,https://www.racing-reference.info/race-results/2002_MBNA_America_500/W, https://www.racing-reference.info/tracks/Atlanta_Motor_Speedway,https://www.racing-reference.info/driver/stewato01/
2002,W,5,03/17/02,Darlington,Darlington_Raceway,43,Sterling Marlin,marlist01,11,Dodge ,1.366,P,400,2834398,170.089,5,126.070,11,https://www.racing-reference.info/race-results/2002_Carolina_Dodge_Dealers_400/W, https://www.racing-reference.info/tracks/Darlington_Raceway,https://www.racing-reference.info/driver/marlist01/
2002,W,6,03/24/02,Bristol,Bristol_Motor_Speedway,43,Kurt Busch,buschku01,27,Ford ,0.533,P,267,3323726,127.216,14,82.281,14,https://www.racing-reference.info/race-results/2002_Food_City_500/W, https://www.racing-reference.info/tracks/Bristol_Motor_Speedway,https://www.racing-reference.info/driver/buschku01/
2002,W,7,04/08/02,Fort Worth,Texas_Motor_Speedway,43,Matt Kenseth,kensema01,31,Ford ,1.500,P,501,4676954,194.224,7,142.453,24,https://www.racing-reference.info/race-results/2002_Samsung_Radio_Shack_500/W, https://www.racing-reference.info/tracks/Texas_Motor_Speedway,https://www.racing-reference.info/driver/kensema01/
2002,W,8,04/14/02,Martinsville,Martinsville_Speedway,43,Bobby Labonte,labonbo01,15,Pontiac ,0.526,P,263,2855415,94.181,14,73.951,19,https://www.racing-reference.info/race-results/2002_Virginia_500/W, https://www.racing-reference.info/tracks/Martinsville_Speedway,https://www.racing-reference.info/driver/labonbo01/
2002,W,9,04/21/02,Talladega,Talladega_Superspeedway,43,"Dale Earnhardt, Jr.",earnhda02,4,Chevrolet ,2.660,P,500,3592402,186.532,3,159.022,26,https://www.racing-reference.info/race-results/2002_Aaron%27s_499/W, https://www.racing-reference.info/tracks/Talladega_Superspeedway,https://www.racing-reference.info/driver/earnhda02/
2002,W,10,04/28/02,Fontana,California_Speedway,43,Jimmie Johnson,johnsji01,4,Chevrolet ,2.000,P,500,3697421,187.432,5,150.088,20,https://www.racing-reference.info/race-results/2002_NAPA_Auto_Parts_500/W, https://www.racing-reference.info/tracks/California_Speedway,https://www.racing-reference.info/driver/johnsji01/
2002,W,11,05/05/02,Richmond,Richmond_International_Raceway,43,Tony Stewart,stewato01,3,Pontiac ,0.750,P,300,3018747,127.389,14,86.824,13,https://www.racing-reference.info/race-results/2002_Pontiac_Excitement_400/W, https://www.racing-reference.info/tracks/Richmond_International_Raceway,https://www.racing-reference.info/driver/stewato01/
2002,W,12,05/26/02,Charlotte,Lowe's_Motor_Speedway,43,Mark Martin,martima01,25,Ford ,1.500,P,600,4028334,186.464,9,137.729,21,https://www.racing-reference.info/race-results/2002_Coca-Cola_Racing_Family_600/W, https://www.racing-reference.info/tracks/Lowe's_Motor_Speedway,https://www.racing-reference.info/driver/martima01/
2002,W,13,06/02/02,Dover,Dover_International_Speedway,43,Jimmie Johnson,johnsji01,10,Chevrolet ,1.000,P,400,3450082,154.939,7,117.551,14,https://www.racing-reference.info/race-results/2002_MBNA_Platinum_400/W, https://www.racing-reference.info/tracks/Dover_International_Speedway,https://www.racing-reference.info/driver/johnsji01/
2002,W,14,06/09/02,Pocono,Pocono_Raceway,43,Dale Jarrett,jarreda01,13,Ford ,2.500,P,500,2930864,NTT,5,143.426,17,https://www.racing-reference.info/race-results/2002_Pocono_500/W, https://www.racing-reference.info/tracks/Pocono_Raceway,https://www.racing-reference.info/driver/jarreda01/
2002,W,15,06/16/02,Michigan,Michigan_International_Speedway,43,Matt Kenseth,kensema01,20,Ford ,2.000,P,400,3087454,189.071,4,154.822,15,https://www.racing-reference.info/race-results/2002_Sirius_Satellite_Radio_400/W, https://www.racing-reference.info/tracks/Michigan_International_Speedway,https://www.racing-reference.info/driver/kensema01/
