season,series_id,race_id,race_id_short,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2010,M,2010_Atlanta_150,2010_01,1,9,19,usa,Corey_Lajoie,Corey Lajoie,Hill Enterprises / LeBleu Water / Hawke,,Pontiac,150,3300,running,19,185
2010,M,2010_Atlanta_150,2010_01,2,8,83,usa,Tim_Brown,Tim Brown,Hayes Jewelers / Triad Medical Billing,,Chevrolet,150,2000,running,101,180
2010,M,2010_Atlanta_150,2010_01,3,7,40,usa,Frank_Fleming,Frank Fleming,Jerry Hunt Auto & Truck Center,,Ford,150,2000,running,1,170
2010,M,2010_Atlanta_150,2010_01,4,11,98,usa,Dave_Brigati,Dave Brigati,WPW Grower / Integra Shocks,,Chevrolet,150,1500,running,0,160
2010,M,2010_Atlanta_150,2010_01,5,2,44,usa,Brandon_Hire,Brandon Hire,Clemmons Speed Shop,,Chevrolet,150,1400,running,29,160
2010,M,2010_Atlanta_150,2010_01,6,6,79,usa,James_Civali,James Civali,Hill Enterprises / Coors Light / LeBleu Water,,Pontiac,150,1650,running,0,150
2010,M,2010_Atlanta_150,2010_01,7,15,4,usa,Jason_Myers,Jason Myers,Wendell Edwards / Moorefield & Trantham Ent.,,Ford,150,1200,running,0,146
2010,M,2010_Atlanta_150,2010_01,8,14,11,usa,Zach_Brewer,Zach Brewer,Country Inn & Suites / Phoenix,,Chevrolet,150,1100,running,0,142
2010,M,2010_Atlanta_150,2010_01,9,17,25,usa,John_Smith_(3),John Smith,Tutterow Surveying,,Chevrolet,150,1050,running,0,138
2010,M,2010_Atlanta_150,2010_01,10,13,02,usa,Buddy_Emory,Buddy Emory,T & C Motorsports,,Chevrolet,150,1000,running,0,134
2010,M,2010_Atlanta_150,2010_01,11,1,15,usa,Adam_Gay,Adam Gay,Lucas Oil,,Pontiac,150,800,running,0,130
2010,M,2010_Atlanta_150,2010_01,12,12,47,usa,Andy_Seuss,Andy Seuss,Q Racing Oil / Rockingham Boats / MUA,,Dodge,149,750,running,0,127
2010,M,2010_Atlanta_150,2010_01,13,19,81,usa,Lee_Jeffreys,Lee Jeffreys,Gene Pack Builders,,Chevrolet,149,700,running,0,124
2010,M,2010_Atlanta_150,2010_01,14,20,36,usa,L_W_Miller,L.W. Miller,John Baker Plumbing & Utilities,,Pontiac,149,675,running,0,121
2010,M,2010_Atlanta_150,2010_01,15,5,18,usa,Jonathan_Kievman,Jonathan Kievman,A Best Forklift,,Chevrolet,148,665,running,0,118
2010,M,2010_Atlanta_150,2010_01,16,10,23,usa,Brian_Loftin,Brian Loftin,QMF Metal & Electronic Solutions,,Chevrolet,147,640,running,0,115
2010,M,2010_Atlanta_150,2010_01,17,3,1,usa,Burt_Myers,Burt Myers,Capital Bank / Patterson's Brand Chili,,Ford,144,630,running,0,112
2010,M,2010_Atlanta_150,2010_01,18,23,12,usa,Mike_Norman,Mike Norman,AutoTrader.com / Comb's Wholesale,,Ford,142,725,running,0,109
2010,M,2010_Atlanta_150,2010_01,19,4,7,usa,Gary_Putnam,Gary Putnam,Putnam Racing,,Chevrolet,141,610,running,0,106
2010,M,2010_Atlanta_150,2010_01,20,21,97,usa,Bryan_Dauzat,Bryan Dauzat,"OB Builders, Inc.",,Chevrolet,113,600,running,0,103
2010,M,2010_Atlanta_150,2010_01,21,16,31,usa,Gene_Pack,Gene Pack,B&J Builders / Comtech Solutions,,Chevrolet,23,575,crash,0,100
2010,M,2010_Atlanta_150,2010_01,22,18,48,usa,Bradley_Robbins,Bradley Robbins,Tri-City Trading,,Chevrolet,22,550,crash,0,97
2010,M,2010_Atlanta_150,2010_01,23,22,0,usa,Greg_Butcher,Greg Butcher,Butcher Racing,,Chevrolet,12,550,suspension,0,94
