race_id,stage_number,driver_fullname,driver_id,car_number,finishing_position,stage_points
5146,1,Martin Truex Jr,3368,19,1,10
5146,1,Brad Keselowski,1816,6,2,9
5146,1,Todd Gilliland,4231,38,3,8
5146,1,Ricky Stenhouse Jr,3888,47,4,7
5146,1,Joey Logano,3859,22,5,6
5146,1,Austin Dillon,3873,3,6,5
5146,1,Kurt Busch,453,45,7,4
5146,1,Erik Jones,4059,43,8,3
5146,1,Kyle Larson,4030,5,9,2
5146,1,Chase Elliott,4062,9,10,1
5146,2,Martin Truex Jr,3368,19,1,10
5146,2,Joey Logano,3859,22,2,9
5146,2,Bubba Wallace,4025,23,3,8
5146,2,Brad Keselowski,1816,6,4,7
5146,2,Ricky Stenhouse Jr,3888,47,5,6
5146,2,Austin Cindric,4180,2,6,5
5146,2,Chris Buescher,3989,17,7,4
5146,2,Kevin Harvick,1416,4,8,3
5146,2,Kyle Larson,4030,5,9,2
5146,2,Todd Gilliland,4231,38,10,1
5147,1,Tyler Reddick,4065,8,1,10
5147,1,Erik Jones,4059,43,2,9
5147,1,William Byron,4184,24,3,8
5147,1,Chase Briscoe,4228,14,4,7
5147,1,Kyle Larson,4030,5,5,6
5147,1,Alex Bowman,4045,48,6,5
5147,1,Joey Logano,3859,22,7,4
5147,1,Ryan Blaney,4023,12,8,3
5147,1,Austin Cindric,4180,2,9,2
5147,1,Ricky Stenhouse Jr,3888,47,10,1
5147,2,Tyler Reddick,4065,8,1,10
5147,2,Erik Jones,4059,43,2,9
5147,2,Joey Logano,3859,22,3,8
5147,2,Ryan Blaney,4023,12,4,7
5147,2,Kyle Larson,4030,5,5,6
5147,2,Cole Custer,4104,41,6,5
5147,2,Austin Cindric,4180,2,7,4
5147,2,Aric Almirola,40,10,8,3
5147,2,William Byron,4184,24,9,2
5147,2,Denny Hamlin,1361,11,10,1
5148,1,Alex Bowman,4045,48,1,10
5148,1,William Byron,4184,24,2,9
5148,1,Ross Chastain,4001,1,3,8
5148,1,Denny Hamlin,1361,11,4,7
5148,1,Chase Elliott,4062,9,5,6
5148,1,Kyle Larson,4030,5,6,5
