race_id,stage_number,driver_fullname,driver_id,car_number,finishing_position,stage_points
5009,1,Denny Hamlin,1361,11,1,10
5009,1,Ryan Preece,4070,37,2,9
5009,1,Austin Dillon,3873,3,3,8
5009,1,Kyle Larson,4030,5,4,7
5009,1,Austin Cindric,4180,33,5,0
5009,1,Christopher Bell,4153,20,6,5
5009,1,Bubba Wallace,4025,23,7,4
5009,1,Joey Logano,3859,22,8,3
5009,1,Ross Chastain,4001,42,9,2
5009,1,Cole Custer,4104,41,10,1
5009,2,Denny Hamlin,1361,11,1,10
5009,2,Kevin Harvick,1416,4,2,9
5009,2,Bubba Wallace,4025,23,3,8
5009,2,Chase Elliott,4062,9,4,7
5009,2,Austin Dillon,3873,3,5,6
5009,2,Joey Logano,3859,22,6,5
5009,2,Michael McDowell,3832,34,7,4
5009,2,Kyle Larson,4030,5,8,3
5009,2,Kyle Busch,454,18,9,2
5009,2,Brad Keselowski,1816,2,10,1
5020,1,Chase Elliott,4062,9,1,10
5020,1,Joey Logano,3859,22,2,9
5020,1,Denny Hamlin,1361,11,3,8
5020,1,Brad Keselowski,1816,2,4,7
5020,1,Kurt Busch,453,1,5,6
5020,1,Kyle Larson,4030,5,6,5
5020,1,Martin Truex Jr,3368,19,7,4
5020,1,Austin Dillon,3873,3,8,3
5020,1,Kevin Harvick,1416,4,9,2
5020,1,Chris Buescher,3989,17,10,1
5020,2,Denny Hamlin,1361,11,1,10
5020,2,Kurt Busch,453,1,2,9
5020,2,Joey Logano,3859,22,3,8
5020,2,Christopher Bell,4153,20,4,7
5020,2,Martin Truex Jr,3368,19,5,6
5020,2,Chase Elliott,4062,9,6,5
5020,2,William Byron,4184,24,7,4
5020,2,Cole Custer,4104,41,8,3
5020,2,AJ Allmendinger,3774,16,9,0
5020,2,Kyle Busch,454,18,10,1
5011,1,Chris Buescher,3989,17,1,10
5011,1,Brad Keselowski,1816,2,2,9
5011,1,Martin Truex Jr,3368,19,3,8
5011,1,William Byron,4184,24,4,7
5011,1,Alex Bowman,4045,48,5,6
5011,1,Kyle Larson,4030,5,6,5
5011,1,Joey Logano,3859,22,7,4
5011,1,Chase Elliott,4062,9,8,3
5011,1,Kurt Busch,453,1,9,2
5011,1,Austin Dillon,3873,3,10,1
5011,2,William Byron,4184,24,1,10
5011,2,Denny Hamlin,1361,11,2,9
5011,2,Kurt Busch,453,1,3,8
5011,2,Martin Truex Jr,3368,19,4,7
5011,2,Kyle Larson,4030,5,5,6
5011,2,Chris Buescher,3989,17,6,5
5011,2,Kevin Harvick,1416,4,7,4
5011,2,Ryan Blaney,4023,12,8,3
5011,2,Alex Bowman,4045,48,9,2
5011,2,Brad Keselowski,1816,2,10,1
5010,1,Brad Keselowski,1816,2,1,10
5010,1,Chase Elliott,4062,9,2,9
5010,1,Ryan Blaney,4023,12,3,8
5010,1,Denny Hamlin,1361,11,4,7
5010,1,Alex Bowman,4045,48,5,6
5010,1,Christopher Bell,4153,20,6,5
5010,1,William Byron,4184,24,7,4
5010,1,Matt DiBenedetto,3916,21,8,3
5010,1,Joey Logano,3859,22,9,2
5010,1,Martin Truex Jr,3368,19,10,1
5010,2,Kyle Larson,4030,5,1,10
5010,2,Brad Keselowski,1816,2,2,9
5010,2,Denny Hamlin,1361,11,3,8
5010,2,William Byron,4184,24,4,7
5010,2,Ryan Blaney,4023,12,5,6
5010,2,Alex Bowman,4045,48,6,5
5010,2,Christopher Bell,4153,20,7,4
5010,2,Martin Truex Jr,3368,19,8,3
5010,2,Kyle Busch,454,18,9,2
5010,2,Chase Elliott,4062,9,10,1
5012,1,Ryan Blaney,4023,12,1,10
5012,1,Joey Logano,3859,22,2,9
5012,1,Brad Keselowski,1816,2,3,8
5012,1,Denny Hamlin,1361,11,4,7
5012,1,Chase Elliott,4062,9,5,6
5012,1,Kyle Busch,454,18,6,5
5012,1,Kevin Harvick,1416,4,7,4
5012,1,William Byron,4184,24,8,3
5012,1,Kyle Larson,4030,5,9,2
5012,1,Matt DiBenedetto,3916,21,10,1
