race_id,stage_number,driver_fullname,driver_id,car_number,finishing_position,stage_points
4871,1,Chase Elliott,4062,9,1,10
4871,1,Alex Bowman,4045,88,2,9
4871,1,Aric Almirola,40,10,3,8
4871,1,Joey Logano,3859,22,4,7
4871,1,Jimmie Johnson,1717,48,5,6
4871,1,Ryan Blaney,4023,12,6,5
4871,1,Ricky Stenhouse Jr,3888,47,7,4
4871,1,Matt DiBenedetto,3916,21,8,3
4871,1,Chris Buescher,3989,17,9,2
4871,1,Ty Dillon,4013,13,10,1
4871,2,Denny Hamlin,1361,11,1,10
4871,2,Kyle Busch,454,18,2,9
4871,2,Ricky Stenhouse Jr,3888,47,3,8
4871,2,Martin Truex Jr,3368,19,4,7
4871,2,Ross Chastain,4001,77,5,0
4871,2,Jimmie Johnson,1717,48,6,5
4871,2,Chase Elliott,4062,9,7,4
4871,2,Ryan Blaney,4023,12,8,3
4871,2,Joey Logano,3859,22,9,2
4871,2,Chris Buescher,3989,17,10,1
4873,1,Chase Elliott,4062,9,1,10
4873,1,Martin Truex Jr,3368,19,2,9
4873,1,Kevin Harvick,1416,4,3,8
4873,1,Ryan Blaney,4023,12,4,7
4873,1,Joey Logano,3859,22,5,6
4873,1,William Byron,4184,24,6,5
4873,1,Kyle Larson,4030,42,7,4
4873,1,Alex Bowman,4045,88,8,3
4873,1,Jimmie Johnson,1717,48,9,2
4873,1,Ross Chastain,4001,6,10,0
4873,2,Chase Elliott,4062,9,1,10
4873,2,Ryan Blaney,4023,12,2,9
4873,2,Martin Truex Jr,3368,19,3,8
4873,2,William Byron,4184,24,4,7
4873,2,Joey Logano,3859,22,5,6
4873,2,Kevin Harvick,1416,4,6,5
4873,2,Jimmie Johnson,1717,48,7,4
4873,2,Kyle Larson,4030,42,8,3
4873,2,Alex Bowman,4045,88,9,2
4873,2,Kyle Busch,454,18,10,1
4875,1,Alex Bowman,4045,88,1,10
4875,1,Ryan Blaney,4023,12,2,9
4875,1,Jimmie Johnson,1717,48,3,8
4875,1,Aric Almirola,40,10,4,7
4875,1,Kurt Busch,453,1,5,6
4875,1,Brad Keselowski,1816,2,6,5
4875,1,Joey Logano,3859,22,7,4
4875,1,Matt DiBenedetto,3916,21,8,3
4875,1,Chase Elliott,4062,9,9,2
4875,1,Kyle Busch,454,18,10,1
4875,2,Ryan Blaney,4023,12,1,10
4875,2,Alex Bowman,4045,88,2,9
4875,2,Jimmie Johnson,1717,48,3,8
4875,2,Brad Keselowski,1816,2,4,7
4875,2,Martin Truex Jr,3368,19,5,6
4875,2,Chase Elliott,4062,9,6,5
4875,2,Kyle Busch,454,18,7,4
4875,2,Denny Hamlin,1361,11,8,3
4875,2,Erik Jones,4059,20,9,2
4875,2,Kevin Harvick,1416,4,10,1
4874,1,Kevin Harvick,1416,4,1,10
4874,1,Chase Elliott,4062,9,2,9
4874,1,Joey Logano,3859,22,3,8
4874,1,Matt DiBenedetto,3916,21,4,7
4874,1,Kyle Busch,454,18,5,6
4874,1,Alex Bowman,4045,88,6,5
4874,1,Martin Truex Jr,3368,19,7,4
4874,1,Aric Almirola,40,10,8,3
4874,1,Tyler Reddick,4065,8,9,2
4874,1,Erik Jones,4059,20,10,1
4874,2,Brad Keselowski,1816,2,1,10
4874,2,Kevin Harvick,1416,4,2,9
4874,2,Martin Truex Jr,3368,19,3,8
4874,2,Tyler Reddick,4065,8,4,7
4874,2,Kyle Busch,454,18,5,6
4874,2,Aric Almirola,40,10,6,5
4874,2,Joey Logano,3859,22,7,4
4874,2,Clint Bowyer,339,14,8,3
4874,2,Kyle Larson,4030,42,9,2
4874,2,Cole Custer,4104,41,10,1
4967,1,William Byron,4184,24,1,10
4967,1,Denny Hamlin,1361,11,2,9
4967,1,Alex Bowman,4045,88,3,8
4967,1,Kevin Harvick,1416,4,4,7
4967,1,Brad Keselowski,1816,2,5,6
4967,1,Aric Almirola,40,10,6,5
4967,1,Clint Bowyer,339,14,7,4
4967,1,Tyler Reddick,4065,8,8,3
4967,1,Ryan Newman,2394,6,9,2
4967,1,Chase Elliott,4062,9,10,1
4967,2,Brad Keselowski,1816,2,1,10
4967,2,Alex Bowman,4045,88,2,9
4967,2,Martin Truex Jr,3368,19,3,8
4967,2,Kevin Harvick,1416,4,4,7
4967,2,Clint Bowyer,339,14,5,6
4967,2,Kurt Busch,453,1,6,5
4967,2,Ryan Preece,4070,37,7,4
4967,2,Joey Logano,3859,22,8,3
4967,2,Denny Hamlin,1361,11,9,2
4967,2,Erik Jones,4059,20,10,1
4968,1,Clint Bowyer,339,14,1,10
4968,1,Martin Truex Jr,3368,19,2,9
4968,1,Ryan Blaney,4023,12,3,8
4968,1,Alex Bowman,4045,88,4,7
4968,1,Joey Logano,3859,22,5,6
4968,1,Aric Almirola,40,10,6,5
4968,1,Chase Elliott,4062,9,7,4
4968,1,Denny Hamlin,1361,11,8,3
4968,1,Matt Kenseth,1810,42,9,2
4968,1,Ryan Preece,4070,37,10,1
4968,2,Clint Bowyer,339,14,1,10
4968,2,Chase Elliott,4062,9,2,9
4968,2,Martin Truex Jr,3368,19,3,8
4968,2,Erik Jones,4059,20,4,7
4968,2,Kevin Harvick,1416,4,5,6
4968,2,William Byron,4184,24,6,5
4968,2,Denny Hamlin,1361,11,7,4
4968,2,Alex Bowman,4045,88,8,3
4968,2,Joey Logano,3859,22,9,2
4968,2,Matt DiBenedetto,3916,21,10,1
4885,1,Alex Bowman,4045,88,1,10
4885,1,Martin Truex Jr,3368,19,2,9
4885,1,Chase Elliott,4062,9,3,8
4885,1,Tyler Reddick,4065,8,4,7
4885,1,Joey Logano,3859,22,5,6
4885,1,Kyle Busch,454,18,6,5
4885,1,Austin Dillon,3873,3,7,4
4885,1,William Byron,4184,24,8,3
4885,1,Kurt Busch,453,1,9,2
4885,1,Ryan Newman,2394,6,10,1
4885,2,Alex Bowman,4045,88,1,10
4885,2,Martin Truex Jr,3368,19,2,9
4885,2,Kyle Busch,454,18,3,8
4885,2,William Byron,4184,24,4,7
4885,2,Chase Elliott,4062,9,5,6
4885,2,Erik Jones,4059,20,6,5
4885,2,Joey Logano,3859,22,7,4
4885,2,Austin Dillon,3873,3,8,3
4885,2,Ryan Blaney,4023,12,9,2
4885,2,Kevin Harvick,1416,4,10,1
4885,3,Joey Logano,3859,22,1,10
4885,3,Alex Bowman,4045,88,2,9
4885,3,Ryan Blaney,4023,12,3,8
4885,3,Martin Truex Jr,3368,19,4,7
4885,3,Kyle Busch,454,18,5,6
4885,3,Erik Jones,4059,20,6,5
4885,3,Brad Keselowski,1816,2,7,4
4885,3,Austin Dillon,3873,3,8,3
4885,3,William Byron,4184,24,9,2
4885,3,Tyler Reddick,4065,8,10,1
4969,1,Joey Logano,3859,22,1,10
4969,1,Ryan Blaney,4023,12,2,9
4969,1,Matt DiBenedetto,3916,21,3,8
4969,1,Kevin Harvick,1416,4,4,7
4969,1,Alex Bowman,4045,88,5,6
4969,1,Ricky Stenhouse Jr,3888,47,6,5
4969,1,Austin Dillon,3873,3,7,4
4969,1,Kurt Busch,453,1,8,3
4969,1,Chase Elliott,4062,9,9,2
4969,1,Chris Buescher,3989,17,10,1
